Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,1.32,1.34,1.27,1.28,28204000.0,0.0,1.0,20.766758862428,21.08140672398,19.980139208549,20.137463139324,1410200.0
2009-02-28,0.46,0.49,0.41,0.42,66596000.0,0.0,1.0,7.2369008156947,7.7088726080227,6.4502811618149,6.6076050925908,3329800.0
2009-03-31,1.04,1.05,0.96,1.0,127012000.0,0.0,1.0,16.361688800701,16.519012731477,15.103097354493,15.732393077597,6350600.0
2009-04-30,1.45,1.46,1.36,1.38,59888000.0,0.0,1.0,22.811969962516,22.969293893292,21.396054585532,21.710702447084,2994400.0
2009-05-31,1.71,1.71,1.65,1.69,42606000.0,0.0,1.0,26.902392162691,26.902392162691,25.958448578035,26.587744301139,2130300.0
2009-06-30,1.33,1.33,1.08,1.16,17698000.0,0.0,1.0,20.924082793204,20.924082793204,16.990984523805,18.249575970013,884900.0
2009-07-31,13.09,13.19,12.8701,13.14,4983800.0,0.0,1.0,10.296851269287,10.375513234675,10.123873607399,10.336182251981,4983800.0
2009-08-31,45.07,47.67,42.8,45.33,69599400.0,0.0,1.0,35.452947800365,37.498158900453,33.667321186058,35.657468910374,69599400.0
2009-09-30,45.78,46.07,43.18,44.11,28831200.0,0.0,1.0,36.01144775462,36.239567454245,33.966236654532,34.697792932641,28831200.0
2009-10-31,36.1,36.13,33.02,33.62,15101600.0,0.0,1.0,28.396969505063,28.420568094679,25.974180971113,26.446152763441,15101600.0
2009-11-30,32.48,33.4,28.04,28.4,40778500.0,0.0,1.0,25.549406358018,26.273096439587,22.056815094791,22.339998170188,40778500.0
2009-12-31,30.65,31.09,29.97,29.98,5231900.0,0.0,1.0,24.109892391418,24.456005039125,23.574991026779,23.582857223318,5231900.0
2010-01-31,24.53,24.74,24.08,24.23,5708200.0,0.0,1.0,19.295780109673,19.460970236988,18.941801265427,19.059794213509,5708200.0
2010-02-28,25.67,25.94,24.71,24.77,27126500.0,0.0,1.0,20.192526515096,20.404913821644,19.437371647371,19.484568826604,27126500.0
2010-03-31,33.95,34.72,33.6,34.14,8121500.0,0.0,1.0,26.705737249221,27.311434382709,26.430420370363,26.855194983459,8121500.0
2010-04-30,40.45,40.73,38.22,38.9,11897600.0,0.0,1.0,31.81876499944,32.039018502527,30.064603171288,30.599504535927,11897600.0
2010-05-31,36.99,37.0,34.99,35.38,6277400.0,0.0,1.0,29.097060997016,29.104927193555,27.523821689256,27.83060335427,6277400.0
2010-06-30,34.53,36.01,34.4,34.44,4299400.0,0.0,1.0,27.161976648472,28.326173736214,27.059716093467,27.091180879622,4299400.0
2010-07-31,38.33,39.3,38.01,38.47,2402700.0,0.0,1.0,30.151131333215,30.914152397479,29.899413043974,30.261258084758,2402700.0
2010-08-31,33.84,34.47,33.55,33.93,2763800.0,0.0,1.0,26.619209087295,27.114779469239,26.391089387669,26.690004856144,2763800.0
2010-09-30,39.95,40.14,37.88,39.1,18751300.0,0.0,1.0,31.425455172501,31.574912906738,29.797152488969,30.756828466703,18751300.0
2010-10-31,41.95,42.2,41.5,42.01,1763900.0,0.0,1.0,32.99869448026,33.19534939373,32.644715636014,33.045891659493,1763900.0
2010-11-30,40.99,41.58,40.93,41.29,1750500.0,0.0,1.0,32.243539612536,32.707645208325,32.196342433303,32.4795255087,1750500.0
2010-12-31,57.5,58.36,57.19,57.62,3125600.0,0.0,1.0,45.230630098092,45.907123000429,44.986778005389,45.325024456558,3125600.0
2011-01-31,40.42,40.98,40.28,40.35,4947700.0,0.0,1.0,37.888380908233,38.413306522004,37.75714950479,37.822765206512,4947700.0
2011-02-28,38.48,38.7,37.06,37.06,10861200.0,0.0,1.0,36.069888603384,36.276109380223,34.738827225609,34.738827225609,10861200.0
2011-03-31,35.83,35.84,35.0,35.14,6693400.0,0.0,1.0,33.585865609648,33.595239281323,32.807850860667,32.939082264109,6693400.0
2011-04-30,31.88,31.93,31.11,31.15,4486900.0,0.0,1.0,29.88326529823,29.930133656603,29.161492579296,29.198987265993,4486900.0
2011-05-31,28.94,28.95,28.12,28.5,25816800.0,0.0,1.0,27.127405825934,27.136779497609,26.358764748627,26.714964272257,25816800.0
2011-06-30,29.24,29.4,29.0,29.32,6188000.0,0.0,1.0,27.408615976168,27.55859472296,27.183647855981,27.483605349564,6188000.0
2011-07-31,28.65,28.9899,28.46,28.7,6366700.0,0.0,1.0,26.855569347374,27.17418044759,26.677469585559,26.902437705747,6366700.0
2011-08-31,25.07,25.74,24.93,25.33,4971600.0,0.0,1.0,23.499794887912,24.127830890102,23.368563484469,23.743510351448,4971600.0
2011-09-30,22.53,22.86,21.88,21.95,6004500.0,0.0,1.0,21.118882282595,21.428213447853,20.509593623754,20.575209325475,6004500.0
2011-10-31,25.82,25.82,24.69,24.69,6867000.0,0.0,1.0,24.202820263498,24.202820263498,23.143595364282,23.143595364282,6867000.0
2011-11-30,21.99,23.32,21.71,23.31,10920800.0,0.0,1.0,20.612704012173,21.859402344879,20.350241205288,21.850028673204,10920800.0
2011-12-31,23.23,23.39,22.98,23.2,2266000.0,0.0,1.0,21.775039299808,21.9250180466,21.540697507946,21.746918284785,2266000.0
2012-01-31,25.44,25.6299,24.91,25.11,3666200.0,0.0,1.0,23.846620739868,24.024626764966,23.34981614112,23.53728957461,3666200.0
2012-02-29,29.13,29.59,28.725,29.22,7310400.0,0.0,1.0,27.305505587749,27.736694484775,26.925871884933,27.38986863282,7310400.0
2012-03-31,30.22,30.92,30.1,30.83,19838900.0,0.0,1.0,28.327235800267,28.98339281748,28.214751740173,28.89902977241,19838900.0
