Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,7.5,8.12,7.5,7.88,762200.0,0.0,1.0,7.5,8.12,7.5,7.88,762200.0
2009-02-28,7.16,7.4,6.85,6.85,485500.0,0.0,1.0,7.16,7.4,6.85,6.85,485500.0
2009-03-31,8.0,8.23,7.8901,7.93,881200.0,0.0,1.0,8.0,8.23,7.8901,7.93,881200.0
2009-04-30,12.51,12.83,12.3,12.41,1140400.0,0.0,1.0,12.51,12.83,12.3,12.41,1140400.0
2009-05-31,11.7,11.9,11.58,11.83,481900.0,0.0,1.0,11.7,11.9,11.58,11.83,481900.0
2009-06-30,10.9,10.96,10.58,10.6,655100.0,0.0,1.0,10.9,10.96,10.58,10.6,655100.0
2009-07-31,11.03,11.3,10.9,10.91,496600.0,0.0,1.0,11.03,11.3,10.9,10.91,496600.0
2009-08-31,13.36,13.56,13.08,13.4,519900.0,0.0,1.0,13.36,13.56,13.08,13.4,519900.0
2009-09-30,14.31,14.39,13.7,14.22,875000.0,0.0,1.0,14.31,14.39,13.7,14.22,875000.0
2009-10-31,15.95,16.12,15.5502,15.72,917600.0,0.0,1.0,15.95,16.12,15.5502,15.72,917600.0
2009-11-30,16.11,16.43,15.99,16.36,640500.0,0.0,1.0,16.11,16.43,15.99,16.36,640500.0
2009-12-31,17.86,18.1,17.79,17.82,249200.0,0.0,1.0,17.86,18.1,17.79,17.82,249200.0
2010-01-31,18.18,19.09,18.14,18.75,1092700.0,0.0,1.0,18.18,19.09,18.14,18.75,1092700.0
2010-02-28,17.84,18.2,17.84,18.1,800400.0,0.0,1.0,17.84,18.2,17.84,18.1,800400.0
2010-03-31,19.5,19.85,19.3,19.34,245700.0,0.0,1.0,19.5,19.85,19.3,19.34,245700.0
2010-04-30,17.89,17.93,16.885,17.0,1533300.0,0.0,1.0,17.89,17.93,16.885,17.0,1533300.0
2010-05-31,15.18,15.225,14.88,14.92,933500.0,0.0,1.0,15.18,15.225,14.88,14.92,933500.0
2010-06-30,14.95,15.17,14.78,14.87,1060500.0,0.0,1.0,14.95,15.17,14.78,14.87,1060500.0
2010-07-31,17.25,17.67,17.19,17.35,685200.0,0.0,1.0,17.25,17.67,17.19,17.35,685200.0
2010-08-31,15.72,16.44,15.72,15.99,469300.0,0.0,1.0,15.72,16.44,15.72,15.99,469300.0
2010-09-30,19.95,19.95,19.295,19.58,646000.0,0.0,1.0,19.95,19.95,19.295,19.58,646000.0
2010-10-31,16.98,17.17,16.91,17.02,1108100.0,0.0,1.0,16.98,17.17,16.91,17.02,1108100.0
2010-11-30,17.36,17.84,16.73,17.49,1702800.0,0.0,1.0,17.36,17.84,16.73,17.49,1702800.0
2010-12-31,20.04,20.24,19.5,19.54,349300.0,0.0,1.0,20.04,20.24,19.5,19.54,349300.0
2011-01-31,20.3,21.0,20.29,20.83,863200.0,0.0,1.0,20.3,21.0,20.29,20.83,863200.0
2011-02-28,20.51,21.15,20.15,20.85,1181300.0,0.0,1.0,20.51,21.15,20.15,20.85,1181300.0
2011-03-31,20.35,20.62,20.1,20.48,671100.0,0.0,1.0,20.35,20.62,20.1,20.48,671100.0
2011-04-30,24.17,24.28,23.87,24.14,611000.0,0.0,1.0,24.17,24.28,23.87,24.14,611000.0
2011-05-31,24.53,24.75,24.09,24.5,624400.0,0.0,1.0,24.53,24.75,24.09,24.5,624400.0
2011-06-30,22.55,22.86,22.44,22.8,443200.0,0.0,1.0,22.55,22.86,22.44,22.8,443200.0
2011-07-31,21.91,22.26,21.52,21.99,952900.0,0.0,1.0,21.91,22.26,21.52,21.99,952900.0
2011-08-31,19.02,19.26,18.8,19.1,510500.0,0.0,1.0,19.02,19.26,18.8,19.1,510500.0
2011-09-30,15.48,15.81,15.15,15.17,385900.0,0.0,1.0,15.48,15.81,15.15,15.17,385900.0
2011-10-31,23.16,23.86,22.7601,23.03,1352800.0,0.0,1.0,23.16,23.86,22.7601,23.03,1352800.0
2011-11-30,23.33,24.99,22.95,24.5,1271900.0,0.0,1.0,23.33,24.99,22.95,24.5,1271900.0
2011-12-31,24.02,24.06,23.5001,23.725,696200.0,0.0,1.0,24.02,24.06,23.5001,23.725,696200.0
2012-01-31,24.08,24.89,23.42,23.56,2936100.0,0.0,1.0,24.08,24.89,23.42,23.56,2936100.0
2012-02-29,26.74,26.92,25.35,25.61,1060200.0,0.0,1.0,26.74,26.92,25.35,25.61,1060200.0
2012-03-31,27.59,27.96,27.45,27.55,674200.0,0.0,1.0,27.59,27.96,27.45,27.55,674200.0
2012-04-30,31.91,32.09,31.515,31.71,580200.0,0.0,1.0,31.91,32.09,31.515,31.71,580200.0
2012-05-31,31.46,31.58,30.6113,31.23,1000300.0,0.0,1.0,31.46,31.58,30.6113,31.23,1000300.0
2012-06-30,32.75,33.46,32.291,33.46,1022100.0,0.0,1.0,32.75,33.46,32.291,33.46,1022100.0
2012-07-31,34.44,35.05,33.94,33.96,1238300.0,0.0,1.0,34.44,35.05,33.94,33.96,1238300.0
2012-08-31,33.89,34.5,33.82,33.95,822200.0,0.0,1.0,33.89,34.5,33.82,33.95,822200.0
2012-09-30,37.28,37.41,36.78,36.97,541100.0,0.0,1.0,37.28,37.41,36.78,36.97,541100.0
