Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,16.94,17.7,16.29,16.73,16425900.0,0.0,1.0,14.654417267308,15.311876365487,14.092116722813,14.472750937548,16425900.0
2009-02-28,12.15,12.93,12.02,12.06,22406200.0,0.0,1.0,10.510694793258,11.185455446653,10.398234684359,10.43283779479,22406200.0
2009-03-31,13.17,13.84,13.0,13.63,21751900.0,0.0,1.0,11.393074109236,11.972676208946,11.246010889906,11.791009879186,21751900.0
2009-04-30,25.72,26.33,24.91,25.22,38295400.0,0.0,1.0,22.527152084446,23.061427464364,21.817704448816,22.089221445168,38295400.0
2009-05-31,24.48,25.3,24.0,24.85,19593800.0,0.0,1.0,21.441084099037,22.159290347452,21.02067068533,21.765152772102,19593800.0
2009-06-30,23.99,24.33,23.08,23.24,19825000.0,0.18,1.0,21.174654937134,21.474754256793,20.371447934517,20.512671143768,19825000.0
2009-07-31,28.04,28.39,27.8,28.33,11846600.0,0.0,1.0,24.749367421311,25.058293191548,24.537532607434,25.005334488079,11846600.0
2009-08-31,33.82,33.9699,33.47,33.82,9759700.0,0.0,1.0,29.851055855518,29.983364349685,29.542130085281,29.851055855518,9759700.0
2009-09-30,34.06,34.85,33.14,33.9,15041200.0,0.18,1.0,30.222516637551,30.923508655862,29.406171502303,30.080543570552,15041200.0
2009-10-31,36.13,36.25,34.58,34.84,13368900.0,0.0,1.0,32.059293191859,32.165772992109,30.6839291053,30.914635339175,13368900.0
2009-11-30,40.89,41.89,40.77,41.83,14374600.0,0.0,1.0,36.282991935099,37.170323603847,36.176512134849,37.117083703722,14374600.0
2009-12-31,40.9,41.08,40.49,40.52,4030500.0,0.0,1.0,36.291865251786,36.451584952161,35.9280592676,35.954679217662,4030500.0
2010-01-31,37.6,38.77,37.36,37.66,14219900.0,0.0,1.0,33.506726026817,34.549355533502,33.292853307497,33.560194206647,14219900.0
2010-02-28,38.15,38.32,37.76,38.19,6475500.0,0.0,1.0,33.996851008592,34.148344184777,33.649307839697,34.032496461812,6475500.0
2010-03-31,41.01,41.6,40.83,41.26,6882700.0,0.0,1.0,36.704817701532,37.232880184924,36.543713893039,36.928572991105,6882700.0
2010-04-30,47.52,48.03,45.8,46.12,14019700.0,0.0,1.0,42.531405442009,42.987866232738,40.991969049748,41.278375820401,14019700.0
2010-05-31,40.17,40.71,39.55,39.87,12494000.0,0.0,1.0,35.952999928567,36.436311354044,35.398086810426,35.68449358108,12494000.0
2010-06-30,39.82,40.6,39.58,39.7,8975500.0,0.18,1.0,35.80133329531,36.502615062521,35.585554290015,35.693443792663,8975500.0
2010-07-31,43.74,44.89,43.74,44.64,7333600.0,0.0,1.0,39.32572371514,40.359664782182,39.32572371514,40.134894984999,7333600.0
2010-08-31,39.73,40.39,39.47,39.87,8312900.0,0.0,1.0,35.720416168324,36.313808432888,35.486655579254,35.846287254747,8312900.0
2010-09-30,43.35,43.5,41.98,42.03,12293300.0,0.0,1.0,38.975082831535,39.109944709844,37.743344342972,37.788298302408,12293300.0
2010-10-31,41.09,41.48,40.91,41.46,9598200.0,0.0,1.0,37.118065745476,37.470366685869,36.955465311449,37.452299970977,9598200.0
2010-11-30,42.75,43.4,42.62,43.22,9393300.0,0.0,1.0,38.617603081507,39.204771315494,38.500169434709,39.042170881467,9393300.0
2010-12-31,42.51,42.97,42.4,42.92,3464000.0,0.0,1.0,38.400802502803,38.816336945318,38.301435570898,38.771170158088,3464000.0
2011-01-31,44.13,44.23,43.28,43.38,9931600.0,0.0,1.0,40.023521621164,40.114216209021,39.252617624382,39.343312212239,9931600.0
2011-02-28,43.73,43.95,43.3,43.57,9023700.0,0.0,1.0,39.660743269737,39.860271363022,39.270756541954,39.515631929167,9023700.0
2011-03-31,45.83,46.01,45.11,45.2,5997300.0,0.0,1.0,41.565329614728,41.72857987287,40.91232858216,40.993953711231,5997300.0
2011-04-30,48.33,49.15,48.31,49.08,8551400.0,0.0,1.0,44.003175836124,44.749763963284,43.984966369608,44.686030830478,8551400.0
2011-05-31,51.39,51.7,51.07,51.6,4978400.0,0.0,1.0,46.789224213086,47.071470944085,46.497872748828,46.980423611505,4978400.0
2011-06-30,50.97,51.82,50.17,51.7,7579000.0,0.0,1.0,46.570871539086,47.347509577309,45.839918091347,47.237866560148,7579000.0
2011-07-31,50.13,50.37,49.54,50.04,6893900.0,0.0,1.0,45.80337041896,46.022656453282,45.264292251252,45.721138156089,6893900.0
2011-08-31,49.0,49.98,48.82,49.71,7974800.0,0.0,1.0,44.770898674028,45.666316647509,44.606434148287,45.419619858897,7974800.0
2011-09-30,46.08,46.15,44.87,44.9,7858200.0,0.0,1.0,42.10291858978,42.166877016457,40.997351500075,41.024762254365,7858200.0
2011-10-31,51.32,52.04,50.59,50.62,8020300.0,0.0,1.0,47.085096279269,47.74568219745,46.415335556668,46.442859969926,8020300.0
2011-11-30,47.11,48.07,46.8,48.04,12252500.0,0.0,1.0,43.222503618791,44.103284843033,42.938084681796,44.075760429775,12252500.0
2011-12-31,47.65,47.69,47.16,47.17,3333000.0,0.0,1.0,43.717943057427,43.754642275104,43.268377640887,43.277552445306,3333000.0
2012-01-31,49.5,50.19,49.17,50.14,6896300.0,0.0,1.0,45.584741881973,46.220165556691,45.28084360276,46.174120362871,6896300.0
2012-02-29,53.46,53.84,52.57,52.89,10159700.0,0.0,1.0,49.231521232531,49.581464705564,48.411916782532,48.706606022981,10159700.0
2012-03-31,58.18,58.31,57.535,57.86,5779700.0,0.0,1.0,53.578187529155,53.697905033088,52.984204528875,53.283498288706,5779700.0
2012-04-30,60.05,60.31,59.75,60.21,7902500.0,0.0,1.0,55.489694725377,55.729949856578,55.212477266299,55.637544036885,7902500.0
2012-05-31,55.58,56.16,55.02,55.83,5433700.0,0.0,1.0,51.35915458512,51.895108339337,50.841681994842,51.590169134351,5433700.0
2012-06-30,57.65,58.21,57.63,58.21,5334800.0,0.0,1.0,53.271955052756,53.789427643034,53.253473888817,53.789427643034,5334800.0
2012-07-31,58.19,58.34,57.22,57.71,5307500.0,0.0,1.0,53.951962962782,54.091038309825,53.052609051906,53.506921852245,5307500.0
2012-08-31,57.55,58.44,57.05,58.3,4736000.0,0.0,1.0,53.3585748154,54.183755207853,52.894990325257,54.053951550614,4736000.0
2012-09-30,56.46,57.21,56.15,56.86,5443400.0,0.0,1.0,52.347960626889,53.043337362103,52.060538243001,52.718828219003,5443400.0
2012-10-31,55.96,56.06,55.37,55.97,5706700.0,0.0,1.0,52.065157935133,52.158197888555,51.516222209941,52.074461930475,5706700.0
2012-11-30,55.86,56.0928,55.71,55.9,5716100.0,0.0,1.0,51.97211798171,52.188714993277,51.832558051577,52.009333963079,5716100.0
2012-12-31,56.47,57.49,56.24,57.48,5604600.0,0.0,1.0,52.539661697586,53.488669222494,52.325669804715,53.479365227152,5604600.0
2013-01-31,59.37,59.82,58.81,58.81,5940900.0,0.0,1.0,55.425863990568,55.845969073872,54.903066553567,54.903066553567,5940900.0
2013-02-28,62.43,62.65,61.88,62.15,5366500.0,0.0,1.0,58.282578557035,58.487963264428,57.769116788552,58.021179838534,5366500.0
2013-03-31,67.31,67.48,67.0,67.46,4354300.0,0.0,1.0,62.838384793753,62.997091158557,62.548979069699,62.978419821521,4354300.0
2013-04-30,67.88,68.48,67.6,68.41,4685400.0,0.0,1.0,63.561825123118,64.123656223205,63.299637276411,64.058109261528,4685400.0
2013-05-31,76.13,77.385,75.71,75.71,7187700.0,0.0,1.0,71.287002749307,72.462166133655,70.893720979247,70.893720979247,7187700.0
2013-06-30,75.01,75.33,74.33,74.76,7964400.0,0.0,1.0,70.238251362479,70.537894615859,69.601509449048,70.004155070777,7964400.0
2013-07-31,75.15,75.86,73.47,73.77,10320700.0,0.0,1.0,70.586243562645,71.253126236357,69.00826765865,69.290049070078,10320700.0
2013-08-31,72.15,72.24,71.47,71.91,3779500.0,0.0,1.0,67.768429448368,67.852963871796,67.129724915798,67.543004319226,3779500.0
2013-09-30,74.97,75.85,74.64,75.52,3330500.0,0.0,1.0,70.417174715789,71.243733522643,70.107215163218,70.933773970073,3330500.0
2013-10-31,82.79,82.99,81.69,81.8,5637700.0,0.0,1.0,78.002090780714,78.190524385693,76.965705953334,77.069344436072,5637700.0
2013-11-30,85.88,86.19,85.51,85.8,2144600.0,0.0,1.0,80.913389977627,81.205462065343,80.564787808418,80.838016535636,2144600.0
2013-12-31,89.87,90.79,89.52,90.73,3083500.0,0.0,1.0,84.672640396942,85.539434979841,84.34288158823,85.482904898348,3083500.0
2014-01-31,85.28,85.91,84.91,85.02,4778000.0,0.0,1.0,80.554778129334,81.149870885215,80.205279209214,80.309184293574,4778000.0
2014-02-28,90.25,92.135,90.09,91.28,4689200.0,0.0,1.0,85.249398759057,87.029954068319,85.098264090897,86.222328185338,4689200.0
2014-03-31,91.08,91.94,89.88,90.03,5172400.0,0.0,1.0,86.033409850138,86.845758691498,84.899899838937,85.041588590337,5172400.0
2014-04-30,87.61,87.66,86.96,87.43,4351600.0,0.0,1.0,82.966227681859,83.013577429424,82.350680963526,82.795768590629,4351600.0
2014-05-31,91.0,91.68,90.89,91.5,3594800.0,0.0,1.0,86.176540566707,86.820497133579,86.072371122066,86.650038042348,3594800.0
2014-06-30,95.0,95.34,94.55,94.87,2634300.0,0.0,1.0,89.964520371837,90.286498655273,89.53837264376,89.84141102817,2634300.0
2014-07-31,90.07,90.26,87.99,88.0,7561100.0,0.0,1.0,85.529917140504,85.710339970045,83.554761953958,83.564257892355,7561100.0
2014-08-31,89.37,89.7,89.09,89.55,2672700.0,0.0,1.0,84.865201452724,85.17856741982,84.599315177612,85.036128343868,2672700.0
2014-09-30,88.2,88.32,87.35,87.54,3859548.0,0.0,1.0,83.754176660292,83.868127921054,82.947021896559,83.127444726099,3859548.0
2014-10-31,89.94,90.599,89.3675,89.95,6848648.0,0.0,1.0,85.665247265489,86.292925694974,85.119957582817,85.674771976103,6848648.0
2014-11-30,91.61,92.55,91.58,92.42,3070020.0,0.0,1.0,87.255873938085,88.151196735835,87.227299806242,88.027375497848,3070020.0
2014-12-31,94.65,94.75,93.0,93.04,2306225.0,0.0,1.0,90.151385964849,90.246633070992,88.57980871348,88.617907555938,2306225.0
2015-01-31,82.12,82.2,80.56,80.69,7210192.0,0.0,1.0,78.442132868796,78.518549949038,76.951999804069,77.076177559463,7210192.0
2015-02-28,83.25,83.38,81.52,81.59,8121085.0,0.0,1.0,79.521524127219,79.645701882613,77.869004766978,77.93586971219,8121085.0
2015-03-31,77.89,78.53,77.62,78.12,5918270.0,0.26,1.0,74.649204056347,75.262575356849,74.390438038948,74.869634367465,5918270.0
2015-04-30,77.04,77.68,76.98,77.45,6753217.0,0.0,1.0,73.834570297869,74.44794159837,73.777066738447,74.227511287252,6753217.0
2015-05-31,80.04,80.1,79.58,79.72,7385145.0,0.0,1.0,76.709748268969,76.767251828391,76.268887646734,76.403062618719,7385145.0
2015-06-30,78.17,78.41,77.65,77.72,7793019.0,0.29,1.0,75.197097112258,75.427969612027,74.696873362759,74.764211175191,7793019.0
2015-07-31,76.39,76.6698,75.99,76.06,6344779.0,0.0,1.0,73.484792738971,73.753951594952,73.100005239356,73.167343051789,6344779.0
2015-08-31,76.41,77.26,75.97,76.72,4559387.0,0.0,1.0,73.504032113952,74.321705550634,73.080765864376,73.802242426154,4559387.0
2015-09-30,73.89,74.19,73.3,74.13,4869231.0,0.0,1.0,71.079870866378,71.368461491089,70.512309304446,71.310743366147,4869231.0
2015-10-31,74.08,74.28,73.06,73.26,6310102.0,0.0,1.0,71.530410762192,71.723527421917,70.545515797594,70.738632457319,6310102.0
2015-11-30,71.85,72.07,71.42,71.64,5376258.0,0.0,1.0,69.377160006257,69.589588331954,68.961959187848,69.174387513545,5376258.0
2015-12-31,70.01,70.32,69.53,69.55,3531279.0,0.0,1.0,67.600486736786,67.899817559359,67.137006753445,67.156318419418,3531279.0
2016-01-31,53.18,53.705,53.05,53.5,13980679.0,0.0,1.0,51.580881242027,52.090094529956,51.454790332635,51.891258865146,13980679.0
2016-02-29,55.3,56.15,54.81,55.58,10374760.0,0.0,1.0,53.637132995188,54.461573556597,53.161867259788,53.908713415417,10374760.0
2016-03-31,60.51,61.52,60.28,61.4,6308444.0,0.0,1.0,58.690468671589,59.670098044557,58.467384754972,59.553706435887,6308444.0
2016-04-30,65.57,65.79,64.85,65.43,5051200.0,0.0,1.0,63.90632270794,64.120740749662,63.20459093503,63.769874863207,5051200.0
2016-05-31,65.7,65.92,65.4,65.76,5255824.0,0.0,1.0,64.033024278048,64.247442319771,63.740636039336,64.091501925791,5255824.0
2016-06-30,59.87,60.76,58.82,60.76,8535412.0,0.0,1.0,58.634725719441,59.506362697733,57.606389958536,59.506362697733,8535412.0
2016-07-31,64.7,64.74,64.17,64.46,3732749.0,0.0,1.0,63.365070219607,63.40424491526,62.846005502197,63.130022045685,3732749.0
2016-08-31,65.47,65.715,64.865,65.58,4783608.0,0.0,1.0,64.119183110937,64.359128121815,63.526665839177,64.226913523985,4783608.0
2016-09-30,63.78,64.37,63.63,64.04,4289218.0,0.0,1.0,62.464052219575,63.041878980465,62.317147110874,62.718687741323,4289218.0
2016-10-31,66.81,66.83,66.31,66.42,3233384.0,0.0,1.0,65.756863124046,65.776547860799,65.264744705216,65.373010757359,3233384.0
2016-11-30,72.0,72.33,71.78,72.04,4812440.0,0.0,1.0,70.8650523115,71.189850467928,70.648520207215,70.904421785007,4812440.0
2016-12-31,73.96,74.34,73.84,74.08,3378805.0,0.0,1.0,72.794156513313,73.168166511624,72.676048092794,72.912264933832,3378805.0
2017-01-31,76.86,77.25,75.97,76.38,5568099.0,0.0,1.0,75.965877146219,76.351340223073,75.0862306375,75.491461051629,5568099.0
2017-02-28,80.12,80.49,79.77,80.06,4415162.0,0.0,1.0,79.187953121976,79.553648861556,78.842024719671,79.128651110152,4415162.0
2017-03-31,78.93,79.43,78.8,79.11,5228391.0,0.0,1.0,78.011796554138,78.505979986003,77.883308861854,78.18970258961,5228391.0
2017-04-30,79.94,80.17,79.05,79.25,5303679.0,0.0,1.0,79.335191313198,79.563451183126,78.451924859999,78.650411703415,5303679.0
2017-05-31,77.09,77.11,75.98,76.94,3004102.0,0.0,1.0,76.506753794527,76.526602478868,75.40515181357,76.357888661965,3004102.0
2017-06-30,84.09,84.64,83.59,84.24,3290128.0,0.0,1.0,83.453793314071,83.999632133464,82.957576205532,83.602658446633,3290128.0
2017-07-31,85.17,85.7,84.84,85.23,3020537.0,0.0,1.0,84.844248715987,85.372221615124,84.515510873129,84.904019232871,3020537.0
2017-08-31,86.0,86.28,85.7,86.1,3700988.0,0.0,1.0,85.671074199541,85.95000327833,85.372221615124,85.77069172768,3700988.0
2017-09-30,90.04,90.77,89.93,90.46,2953374.0,0.0,1.0,89.695622336357,90.422830291771,89.586043055404,90.11401595454,2953374.0
2017-10-31,94.98,95.61,94.52,95.52,3108501.0,0.0,1.0,94.98,95.61,94.52,95.52,3108501.0
2017-11-30,97.02,98.49,96.81,97.71,5144247.0,0.0,1.0,97.02,98.49,96.81,97.71,5144247.0
2017-12-31,100.0,100.25,99.26,99.31,2048345.0,0.0,1.0,100.0,100.25,99.26,99.31,2048345.0
2018-01-31,98.74,99.7149,98.5,99.4,3160668.0,0.0,1.0,98.74,99.7149,98.5,99.4,3160668.0
2018-02-28,100.04,100.36,97.43,97.51,4030945.0,0.0,1.0,100.04,100.36,97.43,97.51,4030945.0
2018-03-31,92.81,93.74,90.87,91.42,4306212.0,0.0,1.0,92.81,93.74,90.87,91.42,4306212.0
