Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,135.5,136.6,132.31,132.89,888800.0,0.0,1.0,135.5,136.6,132.31,132.89,888800.0
2009-02-28,140.19,145.39,140.05,142.23,1719400.0,0.0,1.0,140.19,145.39,140.05,142.23,1719400.0
2009-03-31,163.81,165.21,161.5,162.62,966500.0,0.0,1.0,163.81,165.21,161.5,162.62,966500.0
2009-04-30,165.93,169.9899,164.72,166.39,1057900.0,0.0,1.0,165.93,169.9899,164.72,166.39,1057900.0
2009-05-31,150.88,153.8,149.3,152.15,1855300.0,0.0,1.0,150.88,153.8,149.3,152.15,1855300.0
2009-06-30,151.21,152.96,150.41,151.11,902100.0,0.0,1.0,151.21,152.96,150.41,151.11,902100.0
2009-07-31,157.16,157.61,153.47,153.57,677200.0,0.0,1.0,157.16,157.61,153.47,153.57,677200.0
2009-08-31,146.61,147.56,145.76,147.25,1153800.0,0.0,1.0,146.61,147.56,145.76,147.25,1153800.0
2009-09-30,145.17,147.0,144.45,146.22,994500.0,0.0,1.0,145.17,147.0,144.45,146.22,994500.0
2009-10-31,138.02,138.5,135.31,135.31,893000.0,0.0,1.0,138.02,138.5,135.31,135.31,893000.0
2009-11-30,149.63,149.97,146.98,147.87,665200.0,0.0,1.0,149.63,149.97,146.98,147.87,665200.0
2009-12-31,159.46,160.28,158.07,158.07,272000.0,0.0,1.0,159.46,160.28,158.07,158.07,272000.0
2010-01-31,155.31,156.66,154.97,155.03,422300.0,0.0,1.0,155.31,156.66,154.97,155.03,422300.0
2010-02-28,166.5,167.09,164.51,165.93,584000.0,0.0,1.0,166.5,167.09,164.51,165.93,584000.0
2010-03-31,173.11,173.8399,172.43,173.09,297500.0,0.0,1.0,173.11,173.8399,172.43,173.09,297500.0
2010-04-30,186.49,187.9399,183.61,185.01,443100.0,0.0,1.0,186.49,187.9399,183.61,185.01,443100.0
2010-05-31,190.9,193.33,190.88,190.88,998100.0,0.0,1.0,190.9,193.33,190.88,190.88,998100.0
2010-06-30,195.28,197.13,192.7,193.22,560300.0,0.0,1.0,195.28,197.13,192.7,193.22,560300.0
2010-07-31,207.9,212.38,207.68,211.57,525500.0,0.0,1.0,207.9,212.38,207.68,211.57,525500.0
2010-08-31,210.59,213.21,209.53,209.78,479200.0,0.0,1.0,210.59,213.21,209.53,209.78,479200.0
2010-09-30,231.5,231.73,226.8,228.91,679900.0,0.0,1.0,231.5,231.73,226.8,228.91,679900.0
2010-10-31,235.88,237.69,235.35,237.63,233700.0,0.0,1.0,235.88,237.69,235.35,237.63,233700.0
2010-11-30,256.87,260.25,256.72,259.41,429500.0,0.0,1.0,256.87,260.25,256.72,259.41,429500.0
2010-12-31,274.96,275.04,272.25,272.59,159100.0,0.0,1.0,274.96,275.04,272.25,272.59,159100.0
2011-01-31,251.39,255.379,251.07,253.53,360400.0,0.0,1.0,251.39,255.379,251.07,253.53,360400.0
2011-02-28,255.51,260.0,255.45,257.95,524800.0,0.0,1.0,255.51,260.0,255.45,257.95,524800.0
2011-03-31,273.19,273.87,270.8,273.56,359800.0,0.0,1.0,273.19,273.87,270.8,273.56,359800.0
2011-04-30,282.27,283.26,281.09,282.38,251000.0,0.0,1.0,282.27,283.26,281.09,282.38,251000.0
2011-05-31,298.86,299.6,293.12,294.0,486200.0,0.0,1.0,298.86,299.6,293.12,294.0,486200.0
2011-06-30,292.55,296.2,291.87,294.85,381100.0,0.0,1.0,292.55,296.2,291.87,294.85,381100.0
2011-07-31,284.46,288.09,282.5,285.45,287500.0,0.0,1.0,284.46,288.09,282.5,285.45,287500.0
2011-08-31,310.24,310.87,304.84,307.0,321600.0,0.0,1.0,310.24,310.87,304.84,307.0,321600.0
2011-09-30,314.57,325.53,313.71,319.19,535700.0,0.0,1.0,314.57,325.53,313.71,319.19,535700.0
2011-10-31,326.01,328.505,323.59,323.59,399800.0,0.0,1.0,326.01,328.505,323.59,323.59,399800.0
2011-11-30,325.74,330.7,325.74,328.38,281900.0,0.0,1.0,325.74,330.7,325.74,328.38,281900.0
2011-12-31,324.88,329.4,324.24,324.97,225900.0,0.0,1.0,324.88,329.4,324.24,324.97,225900.0
2012-01-31,349.6,351.22,346.44,347.88,234800.0,0.0,1.0,349.6,351.22,346.44,347.88,234800.0
2012-02-29,374.97,375.58,372.22,374.48,363400.0,0.0,1.0,374.97,375.58,372.22,374.48,363400.0
2012-03-31,376.1,376.1,371.8,371.8,308400.0,0.0,1.0,376.1,376.1,371.8,371.8,308400.0
2012-04-30,398.85,399.1,393.73,396.16,258000.0,0.0,1.0,398.85,399.1,393.73,396.16,258000.0
2012-05-31,377.99,382.68,373.5,380.26,1006500.0,0.0,1.0,377.99,382.68,373.5,380.26,1006500.0
2012-06-30,363.97,367.17,357.57,367.17,674700.0,0.0,1.0,363.97,367.17,357.57,367.17,674700.0
2012-07-31,374.17,379.48,372.614,375.23,336600.0,0.0,1.0,374.17,379.48,372.614,375.23,336600.0
2012-08-31,363.03,363.53,359.37,361.64,447800.0,0.0,1.0,363.03,363.53,359.37,361.64,447800.0
2012-09-30,370.28,371.39,368.55,369.67,458500.0,0.0,1.0,370.28,371.39,368.55,369.67,458500.0
2012-10-31,371.75,379.33,366.53,375.0,370200.0,0.0,1.0,371.75,379.33,366.53,375.0,370200.0
2012-11-30,379.7,384.02,377.79,383.77,428600.0,0.0,1.0,379.7,384.02,377.79,383.77,428600.0
2012-12-31,347.79,354.76,346.9801,354.43,265300.0,0.0,1.0,347.79,354.76,346.9801,354.43,265300.0
2013-01-31,364.67,369.7,363.2,369.7,465900.0,0.0,1.0,364.67,369.7,363.2,369.7,465900.0
2013-02-28,376.01,380.16,375.115,380.15,459600.0,0.0,1.0,376.01,380.16,375.115,380.15,459600.0
2013-03-31,393.24,396.79,391.05,396.77,537600.0,0.0,1.0,393.24,396.79,391.05,396.77,537600.0
2013-04-30,404.05,409.25,400.74,409.09,289900.0,0.0,1.0,404.05,409.25,400.74,409.09,289900.0
2013-05-31,417.01,419.23,408.6506,408.83,388500.0,0.0,1.0,417.01,419.23,408.6506,408.83,388500.0
2013-06-30,423.54,427.67,418.37,423.69,365400.0,0.0,1.0,423.54,427.67,418.37,423.69,365400.0
2013-07-31,444.04,452.185,443.2501,448.58,364200.0,0.0,1.0,444.04,452.185,443.2501,448.58,364200.0
2013-08-31,419.45,420.82,416.047,419.94,223600.0,0.0,1.0,419.45,420.82,416.047,419.94,223600.0
2013-09-30,418.89,424.41,417.42,422.73,306600.0,0.0,1.0,418.89,424.41,417.42,422.73,306600.0
2013-10-31,430.86,435.05,428.63,434.69,238900.0,0.0,1.0,430.86,435.05,428.63,434.69,238900.0
2013-11-30,459.11,463.71,458.28,461.6,163300.0,0.0,1.0,459.11,463.71,458.28,461.6,163300.0
2013-12-31,483.74,483.74,475.82,477.94,174800.0,0.0,1.0,483.74,483.74,475.82,477.94,174800.0
