Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,4.04,4.12,3.7,3.78,2551300.0,0.0,1.0,4.04,4.12,3.7,3.78,2551300.0
2009-02-28,4.19,4.35,4.16,4.2,3609700.0,0.0,1.0,4.19,4.35,4.16,4.2,3609700.0
2009-03-31,4.12,4.31,4.08,4.2,1608500.0,0.0,1.0,4.12,4.31,4.08,4.2,1608500.0
2009-04-30,5.05,5.7,5.01,5.58,18870600.0,0.0,1.0,5.05,5.7,5.01,5.58,18870600.0
2009-05-31,5.96,6.0,5.55,5.65,6452400.0,0.0,1.0,5.96,6.0,5.55,5.65,6452400.0
2009-06-30,6.1,6.15,5.8075,5.9,2835300.0,0.0,1.0,6.1,6.15,5.8075,5.9,2835300.0
2009-07-31,6.22,6.3,5.9,5.9,6397700.0,0.0,1.0,6.22,6.3,5.9,5.9,6397700.0
2009-08-31,6.24,6.35,6.13,6.27,2904300.0,0.0,1.0,6.24,6.35,6.13,6.27,2904300.0
2009-09-30,7.43,7.55,7.18,7.34,3283900.0,0.0,1.0,7.43,7.55,7.18,7.34,3283900.0
2009-10-31,6.42,6.46,6.05,6.11,5492300.0,0.0,1.0,6.42,6.46,6.05,6.11,5492300.0
2009-11-30,6.15,6.15,5.95,6.0,3800400.0,0.0,1.0,6.15,6.15,5.95,6.0,3800400.0
2009-12-31,6.03,6.08,5.99,5.99,1108200.0,0.0,1.0,6.03,6.08,5.99,5.99,1108200.0
2010-01-31,5.8,6.0,5.79,5.81,3145100.0,0.0,1.0,5.8,6.0,5.79,5.81,3145100.0
2010-02-28,5.72,5.78,5.6,5.7,2135000.0,0.0,1.0,5.72,5.78,5.6,5.7,2135000.0
2010-03-31,6.61,6.74,6.6,6.67,1700800.0,0.0,1.0,6.61,6.74,6.6,6.67,1700800.0
2010-04-30,7.68,7.68,7.36,7.4525,3181000.0,0.0,1.0,7.68,7.68,7.36,7.4525,3181000.0
