Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,35.05,35.16,33.39,33.72,1097700.0,0.0,1.0,8.7625,8.79,8.3475,8.43,4390800.0
2009-02-28,36.58,37.63,36.0811,36.6,1076300.0,0.0,1.0,9.145,9.4075,9.020275,9.15,4305200.0
2009-03-31,43.99,45.09,43.86,43.97,1051300.0,0.0,1.0,10.9975,11.2725,10.965,10.9925,4205200.0
2009-04-30,53.66,54.71,53.21,53.8,1512400.0,0.0,1.0,13.415,13.6775,13.3025,13.45,6049600.0
2009-05-31,59.02,59.02,56.45,58.29,3557400.0,0.0,1.0,14.755,14.755,14.1125,14.5725,14229600.0
2009-06-30,63.53,63.68,61.25,62.29,1582500.0,0.0,1.0,15.8825,15.92,15.3125,15.5725,6330000.0
2009-07-31,65.44,65.86,64.53,65.08,1780500.0,0.0,1.0,16.36,16.465,16.1325,16.27,7122000.0
2009-08-31,62.27,62.66,61.15,61.71,1015500.0,0.0,1.0,15.5675,15.665,15.2875,15.4275,4062000.0
2009-09-30,73.45,75.0,72.5,74.8,890600.0,0.0,1.0,18.3625,18.75,18.125,18.7,3562400.0
2009-10-31,77.85,78.74,75.52,76.04,1338300.0,0.0,1.0,19.4625,19.685,18.88,19.01,5353200.0
2009-11-30,74.86,75.47,74.1,75.29,868900.0,0.0,1.0,18.715,18.8675,18.525,18.8225,3475600.0
2009-12-31,84.0,84.17,82.37,82.44,447300.0,0.0,1.0,21.0,21.0425,20.5925,20.61,1789200.0
2010-01-31,80.25,80.4,75.63,75.66,1710200.0,0.0,1.0,20.0625,20.1,18.9075,18.915,6840800.0
2010-02-28,82.73,83.96,82.24,82.95,732900.0,0.0,1.0,20.6825,20.99,20.56,20.7375,2931600.0
2010-03-31,84.78,85.99,84.25,84.93,647600.0,0.0,1.0,21.195,21.4975,21.0625,21.2325,2590400.0
2010-04-30,86.68,86.92,84.72,84.77,1662300.0,0.0,1.0,21.67,21.73,21.18,21.1925,6649200.0
2010-05-31,84.61,85.3203,83.13,83.71,497900.0,0.0,1.0,21.1525,21.330075,20.7825,20.9275,1991600.0
2010-06-30,75.73,78.39,75.48,75.89,1047200.0,0.0,1.0,18.9325,19.5975,18.87,18.9725,4188800.0
2010-07-31,76.83,77.84,76.01,77.45,632800.0,0.0,1.0,19.2075,19.46,19.0025,19.3625,2531200.0
2010-08-31,74.0,74.07,72.65,72.85,657300.0,0.0,1.0,18.5,18.5175,18.1625,18.2125,2629200.0
2010-09-30,83.0,84.68,82.71,83.99,1641100.0,0.0,1.0,20.75,21.17,20.6775,20.9975,6564400.0
2010-10-31,86.6,88.0965,84.92,87.83,956800.0,0.0,1.0,21.65,22.024125,21.23,21.9575,3827200.0
2010-11-30,87.3,88.22,86.95,87.86,461000.0,0.0,1.0,21.825,22.055,21.7375,21.965,1844000.0
2010-12-31,95.6,95.76,94.57,94.74,277100.0,0.0,1.0,23.9,23.94,23.6425,23.685,1108400.0
2011-01-31,96.53,99.0,96.03,98.85,603900.0,0.0,1.0,24.1325,24.75,24.0075,24.7125,2415600.0
2011-02-28,99.8,101.41,99.8,100.45,498900.0,0.0,1.0,24.95,25.3525,24.95,25.1125,1995600.0
2011-03-31,110.33,111.71,110.13,111.2,398500.0,0.0,1.0,27.5825,27.9275,27.5325,27.8,1594000.0
2011-04-30,115.2,124.75,113.0,120.18,3441800.0,0.0,1.0,28.8,31.1875,28.25,30.045,13767200.0
2011-05-31,121.88,122.35,118.62,120.1,928400.0,0.0,1.0,30.47,30.5875,29.655,30.025,3713600.0
2011-06-30,60.58,61.27,60.44,61.11,727600.0,0.0,1.0,30.29,30.635,30.22,30.555,1455200.0
2011-07-31,63.71,68.12,62.99,66.49,3102500.0,0.0,1.0,31.855,34.06,31.495,33.245,6205000.0
2011-08-31,67.82,67.93,65.69,65.96,2135800.0,0.0,1.0,33.91,33.965,32.845,32.98,4271600.0
2011-09-30,69.6,70.25,68.52,68.52,1406700.0,0.0,1.0,34.8,35.125,34.26,34.26,2813400.0
2011-10-31,64.36,64.7,63.39,63.43,2196500.0,0.0,1.0,32.18,32.35,31.695,31.715,4393000.0
2011-11-30,59.45,61.0,59.45,60.98,1480900.0,0.0,1.0,29.725,30.5,29.725,30.49,2961800.0
2011-12-31,61.73,61.95,61.25,61.25,521200.0,0.0,1.0,30.865,30.975,30.625,30.625,1042400.0
2012-01-31,61.4,61.4,60.6101,60.89,784500.0,0.0,1.0,30.7,30.7,30.30505,30.445,1569000.0
2012-02-29,74.67,74.91,73.83,73.83,1350000.0,0.0,1.0,37.335,37.455,36.915,36.915,2700000.0
2012-03-31,76.67,76.7,75.48,76.16,759000.0,0.0,1.0,38.335,38.35,37.74,38.08,1518000.0
2012-04-30,78.5,81.48,78.0,81.11,2487500.0,0.0,1.0,39.25,40.74,39.0,40.555,4975000.0
2012-05-31,79.49,79.54,77.7507,77.96,1553300.0,0.0,1.0,39.745,39.77,38.87535,38.98,3106600.0
2012-06-30,80.63,82.66,80.01,82.66,2394200.0,0.0,1.0,40.315,41.33,40.005,41.33,4788400.0
2012-07-31,74.2,74.9,73.29,73.92,1621200.0,0.0,1.0,37.1,37.45,36.645,36.96,3242400.0
2012-08-31,74.19,74.2,72.97,73.14,1299100.0,0.0,1.0,37.095,37.1,36.485,36.57,2598200.0
2012-09-30,74.64,78.09,74.56,77.3883,3112200.0,0.0,1.0,37.32,39.045,37.28,38.69415,6224400.0
2012-10-31,77.29,78.2799,75.17,76.19,1835600.0,0.0,1.0,38.645,39.13995,37.585,38.095,3671200.0
