Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,54.73,54.97,52.98,53.23,705500.0,0.0,1.0,11.984457614711,12.037011421171,11.601252775944,11.655996324339,2822000.0
2009-02-28,48.0,49.52,47.76,48.92,615100.0,0.0,1.0,10.528779739837,10.862191098266,10.476135841138,10.730581351518,2460400.0
2009-03-31,52.63,52.84,52.09,52.23,740900.0,0.0,1.0,11.544368285576,11.590431696938,11.425919513503,11.456628454411,2963600.0
2009-04-30,54.82,55.08,54.09,54.41,651400.0,0.0,1.0,12.024743861206,12.081774751463,11.864618669329,11.934810534261,2605600.0
2009-05-31,50.23,50.27,49.27,50.27,647200.0,0.0,1.0,11.036130723637,11.044919201219,10.825207261668,11.044919201219,2588800.0
2009-06-30,54.88,54.9,53.69,54.31,716900.0,0.0,1.0,12.057791242548,12.062185481339,11.796334034482,11.932555437004,2867600.0
2009-07-31,59.51,59.98,58.87,58.98,561900.0,0.0,1.0,13.075057522668,13.178322134257,12.934441881356,12.958610194706,2247600.0
2009-08-31,57.22,57.44,56.68,57.13,563400.0,0.0,1.0,12.602649997674,12.6511047862,12.483715516745,12.582827584185,2253600.0
2009-09-30,56.6,56.85,56.1375,56.74,486300.0,0.0,1.0,12.466095593644,12.521157853334,12.364230413219,12.49693045907,1945200.0
2009-10-31,55.36,57.1,55.2,56.88,1267800.0,0.0,1.0,12.192986785586,12.576220113023,12.157746939385,12.527765324496,5071200.0
2009-11-30,58.64,59.24,58.35,59.04,435700.0,0.0,1.0,12.946904617179,13.079376356099,12.882876610034,13.035219109792,1742800.0
2009-12-31,61.25,61.384,60.45,60.45,267000.0,0.0,1.0,13.523156681483,13.552742036509,13.346527696256,13.346527696256,1068000.0
2010-01-31,61.31,61.51,60.17,60.29,426400.0,0.0,1.0,13.536403855375,13.580561101682,13.284707551426,13.31120189921,1705600.0
2010-02-28,67.52,67.52,66.85,67.18,513100.0,0.0,1.0,14.941943148473,14.941943148473,14.793674459056,14.866702321008,2052400.0
