Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-31,30.85,30.85,30.5,30.63,30700.0,0.0,1.0,30.85,30.85,30.5,30.63,30700.0
2010-02-28,29.25,29.75,29.25,29.75,2700.0,0.0,1.0,29.25,29.75,29.25,29.75,2700.0
2010-03-31,34.5,34.5,34.25,34.5,91700.0,0.0,1.0,34.5,34.5,34.25,34.5,91700.0
2010-04-30,37.5,38.0,37.25,37.9,130400.0,0.0,1.0,37.5,38.0,37.25,37.9,130400.0
2010-05-31,36.0,36.0,36.0,36.0,400.0,0.0,1.0,36.0,36.0,36.0,36.0,400.0
2010-06-30,35.35,35.35,35.25,35.3,1000.0,0.0,1.0,35.35,35.35,35.25,35.3,1000.0
2010-07-31,36.5,36.5,36.5,36.5,105600.0,0.0,1.0,36.5,36.5,36.5,36.5,105600.0
2010-08-31,33.75,33.75,33.75,33.75,0.0,0.0,1.0,33.75,33.75,33.75,33.75,0.0
2010-09-30,33.01,33.03,32.01,32.5,83300.0,0.0,1.0,33.01,33.03,32.01,32.5,83300.0
2010-10-31,32.61,32.61,31.36,32.48,22900.0,0.0,1.0,32.61,32.61,31.36,32.48,22900.0
2010-11-30,34.0,34.26,33.1,33.52,82300.0,0.0,1.0,34.0,34.26,33.1,33.52,82300.0
2010-12-31,38.12,39.0,38.11,38.94,9800.0,0.0,1.0,38.12,39.0,38.11,38.94,9800.0
2011-01-31,42.24,42.53,40.5,42.0,81400.0,0.0,1.0,42.24,42.53,40.5,42.0,81400.0
2011-02-28,45.97,46.589,45.75,45.77,185400.0,0.0,1.0,45.97,46.589,45.75,45.77,185400.0
2011-03-31,49.76,50.69,49.65,50.63,345800.0,0.0,1.0,49.76,50.69,49.65,50.63,345800.0
2011-04-30,58.47,61.15,58.02,58.94,556000.0,0.0,1.0,58.47,61.15,58.02,58.94,556000.0
2011-05-31,56.6,58.23,56.45,56.49,213100.0,0.0,1.0,56.6,58.23,56.45,56.49,213100.0
2011-06-30,54.52,54.85,54.05,54.26,556600.0,0.0,1.0,54.52,54.85,54.05,54.26,556600.0
2011-07-31,54.46,54.46,53.83,54.0,460800.0,0.0,1.0,54.46,54.46,53.83,54.0,460800.0
2011-08-31,50.25,51.68,49.6,49.88,395700.0,0.0,1.0,50.25,51.68,49.6,49.88,395700.0
2011-09-30,47.27,47.85,46.7001,46.84,241600.0,0.0,1.0,47.27,47.85,46.7001,46.84,241600.0
2011-10-31,45.29,47.21,45.29,45.94,790700.0,0.0,1.0,45.29,47.21,45.29,45.94,790700.0
2011-11-30,54.12,54.35,52.85,52.87,1685600.0,0.0,1.0,54.12,54.35,52.85,52.87,1685600.0
2011-12-31,57.03,57.465,56.55,56.94,222300.0,0.0,1.0,57.03,57.465,56.55,56.94,222300.0
2012-01-31,57.11,57.69,56.92,57.64,193500.0,0.0,1.0,57.11,57.69,56.92,57.64,193500.0
2012-02-29,63.25,63.82,62.89,63.41,359100.0,0.0,1.0,63.25,63.82,62.89,63.41,359100.0
2012-03-31,63.22,63.63,62.7,63.45,433100.0,0.0,1.0,63.22,63.63,62.7,63.45,433100.0
2012-04-30,60.47,60.74,60.18,60.47,209100.0,0.0,1.0,60.47,60.74,60.18,60.47,209100.0
2012-05-31,63.86,63.86,61.66,62.7,2103800.0,0.0,1.0,63.86,63.86,61.66,62.7,2103800.0
2012-06-30,70.95,71.86,70.3,70.87,693500.0,0.0,1.0,70.95,71.86,70.3,70.87,693500.0
2012-07-31,77.0,77.8,76.06,76.92,529400.0,0.0,1.0,77.0,77.8,76.06,76.92,529400.0
2012-08-31,77.05,78.33,76.92,77.8,210600.0,0.0,1.0,77.05,78.33,76.92,77.8,210600.0
2012-09-30,75.03,75.74,74.07,75.06,623900.0,0.0,1.0,75.03,75.74,74.07,75.06,623900.0
2012-10-31,76.55,77.81,75.99,77.41,533700.0,0.0,1.0,76.55,77.81,75.99,77.41,533700.0
2012-11-30,71.03,71.46,70.3,70.85,1827500.0,0.0,1.0,71.03,71.46,70.3,70.85,1827500.0
2012-12-31,73.92,76.69,73.18,76.24,758300.0,0.0,1.0,73.92,76.69,73.18,76.24,758300.0
2013-01-31,81.44,81.94,77.97,77.97,2691200.0,0.0,1.0,81.44,81.94,77.97,77.97,2691200.0
2013-02-28,86.94,87.25,84.21,86.39,1619200.0,0.0,1.0,86.94,87.25,84.21,86.39,1619200.0
2013-03-31,104.43,105.068,103.84,104.18,586000.0,0.0,1.0,104.43,105.068,103.84,104.18,586000.0
2013-04-30,101.38,101.38,99.41,100.74,804600.0,0.0,1.0,101.38,101.38,99.41,100.74,804600.0
2013-05-31,111.21,113.39,111.21,112.0,851500.0,0.0,1.0,111.21,113.39,111.21,112.0,851500.0
2013-06-30,124.46,127.03,123.71,123.85,2394000.0,0.0,1.0,124.46,127.03,123.71,123.85,2394000.0
2013-07-31,124.58,126.65,123.87,125.74,792800.0,0.0,1.0,124.58,126.65,123.87,125.74,792800.0
2013-08-31,121.26,121.95,120.35,121.42,538900.0,0.0,1.0,121.26,121.95,120.35,121.42,538900.0
2013-09-30,132.97,135.16,132.69,134.76,683300.0,0.0,1.0,132.97,135.16,132.69,134.76,683300.0
2013-10-31,135.06,137.92,133.56,134.04,1003200.0,0.0,1.0,135.06,137.92,133.56,134.04,1003200.0
2013-11-30,136.23,136.23,134.26,135.1,660500.0,0.0,1.0,136.23,136.23,134.26,135.1,660500.0
2013-12-31,134.06,136.76,134.06,136.76,454700.0,0.0,1.0,134.06,136.76,134.06,136.76,454700.0
2014-01-31,137.1,138.72,136.84,137.0,1355000.0,0.0,1.0,137.1,138.72,136.84,137.0,1355000.0
2014-02-28,124.07,127.09,124.02,126.77,2532900.0,0.0,1.0,124.07,127.09,124.02,126.77,2532900.0
2014-03-31,123.38,125.08,121.65,123.2,821700.0,0.0,1.0,123.38,125.08,121.65,123.2,821700.0
2014-04-30,135.2,137.82,134.81,135.53,1843200.0,0.0,1.0,135.2,137.82,134.81,135.53,1843200.0
