Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,65.54,65.96,64.69,65.04,4818300.0,0.0,1.0,26.679556050968,26.850526657337,26.333544109507,26.476019614815,9636600.0
2009-02-28,58.87,60.98,58.27,60.18,4784200.0,0.0,1.0,23.964379992684,24.82330375325,23.7201362693,24.497645455405,9568400.0
2009-03-31,59.06,59.79,58.582,58.98,2769600.0,0.0,1.0,24.041723838422,24.338887035206,23.847143005459,24.009158008637,5539200.0
2009-04-30,60.44,60.44,58.18,59.0,5968100.0,0.0,1.0,24.786255517129,24.786255517129,23.859436564966,24.195716007787,11936200.0
2009-05-31,64.03,65.96,63.92,65.95,4874400.0,0.0,1.0,26.258503321671,27.049990302942,26.213392664707,27.045889334128,9748800.0
2009-06-30,71.46,71.89,70.1,70.74,3712100.0,0.0,1.0,29.305523151126,29.481864810166,28.747791392302,29.010253396455,7424200.0
2009-07-31,72.23,73.05,71.13,72.44,4992700.0,0.0,1.0,29.7987673987,30.137061587637,29.344958120857,29.885403715379,9985400.0
2009-08-31,72.46,73.28,72.36,72.7,1960400.0,0.0,1.0,29.893654793158,30.231948982095,29.852399404263,29.992667726505,3920800.0
2009-09-30,76.56,76.7,75.92,76.28,2860600.0,0.0,1.0,31.585125737844,31.642883282296,31.321091248917,31.469610648938,5721200.0
2009-10-31,78.98,80.1,78.08,78.63,4946300.0,0.0,1.0,32.764115152695,33.228736689426,32.390758560679,32.618920922467,9892600.0
2009-11-30,83.68,84.68,83.14,84.19,2869100.0,0.0,1.0,34.713866244335,35.12870690213,34.489852289125,34.92543497981,5738200.0
2009-12-31,82.94,83.07,82.12,82.15,1325300.0,0.0,1.0,34.406884157566,34.460813443079,34.066714818174,34.079160037907,2650600.0
2010-01-31,80.47,80.86,79.3,80.03,3346300.0,0.0,1.0,33.567989465484,33.730677621213,33.079924998296,33.384443853892,6692600.0
2010-02-28,83.38,83.385,82.51,82.94,1833700.0,0.0,1.0,34.781893396695,34.783979142281,34.418973664683,34.598347785103,3667400.0
2010-03-31,85.19,85.55,84.97,85.26,1877300.0,0.0,1.0,35.536933298926,35.687106981137,35.44516049313,35.566133737133,3754600.0
2010-04-30,85.24,85.46,84.02,84.1,2621800.0,0.0,1.0,35.782196912207,35.874548898607,35.270063169447,35.303645709956,5243600.0
2010-05-31,78.13,78.89,78.01,78.09,2650300.0,0.0,1.0,32.797548624481,33.116582759315,32.747174813718,32.780757354226,5300600.0
2010-06-30,78.01,79.25,77.73,78.76,3880600.0,0.0,1.0,32.747174813718,33.267704191605,32.629635921937,33.062011130988,7761200.0
2010-07-31,77.82,79.48,77.81,78.98,8973000.0,0.0,1.0,32.877101766607,33.578412341428,32.872877004108,33.367174216482,17946000.0
2010-08-31,73.77,74.83,73.6999,73.84,3723300.0,0.0,1.0,31.166072954544,31.61389777943,31.136457369426,31.195646292036,7446600.0
2010-09-30,76.8,77.89,76.35,76.86,5879400.0,0.0,1.0,32.446175991717,32.9066751041,32.256061679266,32.471524566711,11758800.0
2010-10-31,75.36,77.44,74.9,77.12,4423500.0,0.0,1.0,32.057810705584,32.942633506375,31.862128740025,32.806506921638,8847000.0
2010-11-30,76.71,77.23,76.4949,76.55,2729700.0,0.0,1.0,32.632094734944,32.853300435142,32.540592146266,32.564031442575,5459400.0
2010-12-31,80.16,80.6492,80.13,80.37,1109200.0,0.0,1.0,34.09970947664,34.307812993057,34.086947609321,34.189042547874,2218400.0
2011-01-31,76.76,76.93,76.4,76.77,3381800.0,0.0,1.0,32.872431389661,32.945233804151,32.718261570741,32.876713884631,6763600.0
2011-02-28,78.25,78.62,78.0,78.52,1915300.0,0.0,1.0,33.51052314019,33.66897545408,33.40346076594,33.62615050438,3830600.0
2011-03-31,81.06,81.36,80.62,80.76,2074300.0,0.0,1.0,34.713904226758,34.842379075858,34.525474448078,34.585429377658,4148600.0
2011-04-30,83.67,85.0,83.67,84.35,4928700.0,0.0,1.0,36.089321074683,36.662989020534,36.089321074683,36.382624986847,9857400.0
2011-05-31,86.18,87.58,86.0,87.53,3086100.0,0.0,1.0,37.171957573995,37.775818569628,37.094318303128,37.754252105498,6172200.0
2011-06-30,86.69,87.53,86.4,87.41,1930800.0,0.0,1.0,37.391935508119,37.754252105498,37.266850016166,37.702492591587,3861600.0
2011-07-31,84.68,85.3,84.34,84.38,2152400.0,0.0,1.0,36.76674040104,37.035934768643,36.619117683322,36.636485061877,4304800.0
2011-08-31,90.65,90.99,89.64,89.97,3004200.0,0.0,1.0,39.358821650381,39.506444368099,38.920295341866,39.063576214945,6008400.0
2011-09-30,89.03,89.99,88.63,88.68,2760400.0,0.0,1.0,38.655442818902,39.072259904223,38.481769033351,38.503478256545,5520800.0
2011-10-31,90.78,91.59,90.35,90.37,2562600.0,0.0,1.0,39.658673361369,40.012534624011,39.470821086139,39.479558401266,5125200.0
2011-11-30,90.63,91.64,90.52,91.5,3003700.0,0.0,1.0,39.593143497916,40.034377911829,39.545088264718,39.97321670594,6007400.0
2011-12-31,92.8,93.09,92.1,92.39,1492700.0,0.0,1.0,40.541142189194,40.667833258535,40.235336159749,40.362027229091,2985400.0
2012-01-31,89.78,90.935,89.77,90.72,2961600.0,0.0,1.0,39.477410396153,39.985278618559,39.473013268687,39.890740378025,5923200.0
2012-02-29,92.98,93.49,92.62,93.18,2195000.0,0.0,1.0,40.884491185502,41.108744686304,40.7261945967,40.972433734836,4390000.0
2012-03-31,97.0,97.93,96.93,97.78,3010900.0,0.0,1.0,42.652136427121,43.061069281525,42.621356534854,42.995112369524,6021800.0
2012-04-30,98.15,98.94,98.05,98.94,2082200.0,0.0,1.0,43.4284153068,43.777966484511,43.384168322279,43.777966484511,4164400.0
2012-05-31,99.01,99.01,98.04,98.3,2446200.0,0.0,1.0,43.808939373675,43.808939373675,43.379743623827,43.49478578358,4892400.0
2012-06-30,102.74,104.33,101.97,104.1,2699600.0,0.0,1.0,45.459351896287,46.162878950162,45.11865011548,46.061110885765,5399200.0
2012-07-31,107.25,107.72,106.86,107.36,1732500.0,0.0,1.0,47.738067340477,47.947269127424,47.56447436833,47.787029460826,3465000.0
2012-08-31,106.15,106.52,105.76,106.31,1348600.0,0.0,1.0,47.248446136985,47.413136905432,47.074853164838,47.319663766584,2697200.0
2012-09-30,107.43,107.47,106.49,107.22,1509900.0,0.0,1.0,47.818187173776,47.835991581175,47.399783599882,47.724714034927,3019800.0
2012-10-31,103.96,105.22,103.56,104.96,2332200.0,0.0,1.0,46.539940946532,47.104007179627,46.360872301105,46.9876125601,4664400.0
2012-11-30,108.14,108.75,107.8701,108.5,1567500.0,0.0,1.0,48.411208291246,48.684287975523,48.290381722744,48.572370072131,3135000.0
2012-12-31,103.77,104.63,102.82,104.54,1779200.0,0.0,1.0,46.454883339954,46.839880927622,46.029595307064,46.799590482401,3558400.0
2013-01-31,108.14,111.08,106.74,107.37,4635000.0,0.0,1.0,48.687945790237,50.011623990933,48.057622837525,48.341268166245,9270000.0
2013-02-28,114.66,115.69,114.41,114.43,1952900.0,0.0,1.0,51.623449827156,52.08718742808,51.510892157028,51.519896770638,3905800.0
2013-03-31,117.11,118.45,116.28,118.03,1690000.0,0.0,1.0,52.726514994402,53.329824106284,52.35282352958,53.140727220471,3380000.0
2013-04-30,119.06,119.78,118.32,119.41,1694000.0,0.0,1.0,53.908933883194,54.234941210557,53.573870796737,54.067409667329,3388000.0
2013-05-31,59.42,59.47,57.8325,57.84,4731300.0,0.0,1.0,53.809320533166,53.854599328633,52.371718777084,52.378510596404,4731300.0
2013-06-30,57.1,57.67,56.8,57.29,5508900.0,0.0,1.0,51.70838442349,52.224562691816,51.436711650687,51.880443846265,5508900.0
2013-07-31,60.34,60.67,59.85,59.87,3867500.0,0.0,1.0,54.957980823663,55.258546512622,54.511686315814,54.529902418175,3867500.0
2013-08-31,57.33,57.82,57.25,57.77,3502500.0,0.0,1.0,52.216457418306,52.662751926155,52.143593008862,52.617211670252,3502500.0
2013-09-30,60.16,60.54,59.095,59.3,5172800.0,0.0,1.0,54.794035902412,55.140141847275,53.82402845168,54.010743500882,5172800.0
2013-10-31,65.0,65.23,64.67,64.73,3944900.0,0.0,1.0,59.522803826644,59.733422978646,59.220611130294,59.275555256903,3944900.0
2013-11-30,65.9,66.4,65.73,65.81,1621600.0,0.0,1.0,60.346965725782,60.804833447526,60.19129070039,60.264549535869,1621600.0
2013-12-31,65.42,65.52,65.001,65.21,1827400.0,0.0,1.0,59.907412712909,59.998986257257,59.523719562088,59.715108269776,1827400.0
2014-01-31,60.61,61.59,60.0,61.23,6831800.0,0.0,1.0,55.797537393119,56.699724930576,55.235971681029,56.36830910049,6831800.0
2014-02-28,62.39,63.15,62.09,62.83,3366200.0,0.0,1.0,57.43620455299,58.135860194283,57.160024694585,57.841268345318,3366200.0
2014-03-31,64.5,64.915,64.03,64.87,3568300.0,0.0,1.0,59.378669557106,59.760718361233,58.945987778938,59.719291382472,3568300.0
2014-04-30,67.31,67.68,67.08,67.3,3839500.0,0.0,1.0,62.298801908204,62.641255580853,62.085925300881,62.289546403537,3839500.0
2014-05-31,66.94,68.47,66.8469,68.4,7885400.0,0.0,1.0,61.956348235554,63.372440449483,61.870179487112,63.30765191682,7885400.0
2014-06-30,68.31,68.86,67.92,68.18,2711400.0,0.0,1.0,63.224352374824,63.733405131465,62.863387692842,63.104030814163,2711400.0
2014-07-31,64.73,64.99,63.4,63.4,6849300.0,0.0,1.0,60.221434870825,60.463325386296,58.98407184938,58.98407184938,6849300.0
2014-08-31,64.74,64.76,64.4,64.73,2102500.0,0.0,1.0,60.23073835219,60.249345314918,59.914419985805,60.221434870825,2102500.0
2014-09-30,65.76,65.83,65.1601,65.22,5033942.0,0.0,1.0,61.179693451344,61.244817820894,60.621577604302,60.677305457674,5033942.0
2014-10-31,67.02,67.12,66.46,66.88,4362581.0,0.0,1.0,62.70525644697,62.798818453008,62.181309213155,62.574269638516,4362581.0
2014-11-30,68.88,69.9,68.83,69.59,1876657.0,0.0,1.0,64.445509759285,65.399842220877,64.398728756266,65.109800002158,1876657.0
2014-12-31,70.09,70.41,69.12,69.19,2202333.0,0.0,1.0,65.57761003235,65.877008451673,64.670058573777,64.735551978004,2202333.0
2015-01-31,68.35,68.59,67.46,67.52,5926644.0,0.0,1.0,64.28645434902,64.512185863925,63.449366647913,63.50579952664,5926644.0
2015-02-28,71.04,71.13,70.73,70.82,1997274.0,0.0,1.0,66.816528411915,66.901177730004,66.524958538496,66.609607856585,1997274.0
2015-03-31,68.86,69.735,68.84,69.34,4180377.0,0.0,1.0,64.766133818193,65.589113299618,64.747322858618,65.217596848003,4180377.0
2015-04-30,67.49,67.67,66.78,67.28,5582309.0,0.0,1.0,63.827119119347,63.99734998972,63.15565290843,63.628516437245,5582309.0
2015-05-31,67.21,67.35,66.74,66.79,4755211.0,0.0,1.0,63.562315543211,63.694717331279,63.117823826125,63.165110179007,4755211.0
2015-06-30,65.85,65.88,65.31,65.41,2786610.0,0.0,1.0,62.276126744836,62.304498556565,61.765434133717,61.860006839479,2786610.0
2015-07-31,68.06,68.29,67.8,68.02,3548048.0,0.0,1.0,64.731572692868,64.950324701674,64.484287813347,64.693528865249,3548048.0
2015-08-31,62.8,63.05,62.4,62.81,3634551.0,0.0,1.0,59.728809361036,59.966583283651,59.348371084851,59.73832031794,3634551.0
2015-09-30,63.66,63.99,63.09,63.46,3456413.0,0.0,1.0,60.546751654833,60.860613232686,60.00462711127,60.356532516741,3456413.0
2015-10-31,67.69,68.07,66.35,66.35,7455122.0,0.0,1.0,64.7457345262,65.109205926997,63.464019586547,63.464019586547,7455122.0
2015-11-30,66.56,66.765,65.65,65.68,3561114.0,0.0,1.0,63.664885360671,63.860968616365,62.794467006131,62.82316211672,3561114.0
2015-12-31,67.21,67.29,66.61,66.62,2002052.0,0.0,1.0,64.286612756772,64.363133051676,63.712710544987,63.72227558185,2002052.0
2016-01-31,64.99,67.65,64.35,67.53,9512571.0,0.0,1.0,62.534298003455,65.09378765862,61.918480943566,64.978321959891,9512571.0
