Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,48.55,48.55,46.46,47.76,492400.0,0.0,1.0,48.55,48.55,46.46,47.76,492400.0
2009-02-28,53.16,55.42,53.0,54.63,307000.0,0.0,1.0,53.16,55.42,53.0,54.63,307000.0
2009-03-31,65.5,68.3,64.8415,66.38,418500.0,0.0,1.0,65.5,68.3,64.8415,66.38,418500.0
2009-04-30,82.23,84.45,80.61,81.09,1010700.0,0.0,1.0,82.23,84.45,80.61,81.09,1010700.0
2009-05-31,80.54,80.54,77.8,79.19,634400.0,0.0,1.0,80.54,80.54,77.8,79.19,634400.0
2009-06-30,79.45,80.8,79.45,80.0,525400.0,0.0,1.0,79.45,80.8,79.45,80.0,525400.0
2009-07-31,94.05,95.39,93.45,93.83,296700.0,0.0,1.0,94.05,95.39,93.45,93.83,296700.0
2009-08-31,84.47,85.39,83.57,83.88,233600.0,0.0,1.0,84.47,85.39,83.57,83.88,233600.0
2009-09-30,96.11,97.81,95.25,97.05,707700.0,0.0,1.0,96.11,97.81,95.25,97.05,707700.0
2009-10-31,81.74,83.7,81.48,81.49,907300.0,0.0,1.0,81.74,83.7,81.48,81.49,907300.0
2009-11-30,83.09,84.16,82.42,83.45,295100.0,0.0,1.0,83.09,84.16,82.42,83.45,295100.0
2009-12-31,90.19,90.34,87.92,88.16,313300.0,0.0,1.0,90.19,90.34,87.92,88.16,313300.0
2010-01-31,99.01,99.65,96.44,96.46,254500.0,0.0,1.0,99.01,99.65,96.44,96.46,254500.0
2010-02-28,104.1,105.7199,103.5,104.71,309500.0,0.0,1.0,104.1,105.7199,103.5,104.71,309500.0
2010-03-31,114.15,114.91,112.53,112.67,314800.0,0.0,1.0,114.15,114.91,112.53,112.67,314800.0
2010-04-30,139.69,142.84,134.87,134.91,516100.0,0.0,1.0,139.69,142.84,134.87,134.91,516100.0
2010-05-31,144.8,146.0,142.05,142.28,510700.0,0.0,1.0,144.8,146.0,142.05,142.28,510700.0
2010-06-30,138.5,141.2999,136.57,136.81,622600.0,0.0,1.0,138.5,141.2999,136.57,136.81,622600.0
2010-07-31,144.0,147.92,143.31,147.9,516800.0,0.0,1.0,144.0,147.92,143.31,147.9,516800.0
2010-08-31,148.39,151.85,148.2,150.83,445200.0,0.0,1.0,148.39,151.85,148.2,150.83,445200.0
2010-09-30,177.11,177.69,172.0,172.0,695800.0,0.0,1.0,177.11,177.69,172.0,172.0,695800.0
2010-10-31,209.82,211.98,208.75,210.21,380700.0,0.0,1.0,209.82,211.98,208.75,210.21,380700.0
2010-11-30,256.14,262.775,255.3605,258.49,2382400.0,0.0,1.0,256.14,262.775,255.3605,258.49,2382400.0
2010-12-31,217.41,217.91,212.58,212.66,653400.0,0.0,1.0,217.41,217.91,212.58,212.66,653400.0
2011-01-31,221.14,224.45,218.09,218.92,482000.0,0.0,1.0,221.14,224.45,218.09,218.92,482000.0
