Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,29.55,29.85,28.69,28.96,5675400.0,0.0,1.0,8.1197924737056,8.202226915063,7.883480408481,7.9576714057027,17026200.0
2009-02-28,24.4,25.5,24.05,24.68,8154400.0,0.0,1.0,6.762785585697,7.0676652637407,6.6657784154104,6.8403913219263,24463200.0
2009-03-31,25.94,26.4,25.35,25.85,6264800.0,0.0,1.0,7.1896171349582,7.3171122730492,7.0260907621893,7.1646724340274,18794400.0
2009-04-30,30.48,30.98,29.45,29.59,8017900.0,0.0,1.0,8.4479387152477,8.5865203870858,8.1624604712614,8.201263339376,24053700.0
2009-05-31,29.59,31.85,29.59,31.76,10349600.0,0.0,1.0,8.2639772057181,8.8951562690815,8.2639772057181,8.8700208196556,31048800.0
2009-06-30,34.81,35.49,34.08,34.63,5893600.0,0.0,1.0,9.7218332724247,9.9117455569766,9.5179568493029,9.6715623735728,17680800.0
2009-07-31,40.32,40.56,39.81,40.12,4351100.0,0.0,1.0,11.260681342837,11.327709207973,11.118247129423,11.204824788557,13053300.0
2009-08-31,43.28,43.29,42.15,42.5,4458000.0,0.0,1.0,12.14854607826,12.15135304362,11.831358992575,11.929602780176,13374000.0
2009-09-30,43.17,43.47,41.56,41.86,7172900.0,0.0,1.0,12.117669459299,12.2018784201,11.665748036332,11.749956997134,21518700.0
2009-10-31,43.12,43.71,41.81,42.18,5347600.0,0.0,1.0,12.103634632499,12.269245588741,11.735922170334,11.839779888655,16042800.0
2009-11-30,47.39,47.89,47.1,47.48,2335600.0,0.0,1.0,13.362924317276,13.503913179032,13.281150777457,13.388302312392,7006800.0
2009-12-31,49.29,49.29,48.45,48.49,1702600.0,0.0,1.0,13.89868199195,13.89868199195,13.661820704199,13.67309981314,5107800.0
2010-01-31,44.08,44.17,42.58,42.86,5177500.0,0.0,1.0,12.429578052448,12.454956047564,12.006611467179,12.085565229762,15532500.0
2010-02-28,47.48,47.82,46.97,47.46,2910600.0,0.0,1.0,13.456263237835,13.552622325891,13.311724605752,13.450595056185,8731800.0
2010-03-31,51.2,51.39,50.6,50.9,3450700.0,0.0,1.0,14.510545024793,14.564392750471,14.340499575284,14.425522300038,10352100.0
2010-04-30,57.47,57.91,56.01,56.05,3964900.0,0.0,1.0,16.287519972165,16.412219968472,15.873742711692,15.885079074993,11894700.0
2010-05-31,52.76,52.97,51.64,52.25,3556400.0,0.0,1.0,15.02327789573,15.083074869917,14.704360700066,14.878056672704,10669200.0
2010-06-30,49.89,50.4,49.42,49.63,4659100.0,0.0,1.0,14.206052581841,14.351273804867,14.072221258661,14.132018232848,13977300.0
2010-07-31,51.89,52.93,51.58,52.72,3110800.0,0.0,1.0,14.775547574098,15.071684970071,14.687275850298,15.011887995885,9332400.0
