Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,21.96,22.13,20.97,21.04,5584800.0,0.0,1.0,17.563977808878775,17.699946671697962,16.772159137167026,16.828146315974926,5584800.0
2009-02-28,20.69,21.0,20.27,20.58,3615700.0,0.0,1.0,16.548210421935423,16.796153642370413,16.21228734908801,16.460230569523002,3615700.0
2009-03-31,22.28,23.15,22.16,22.64,3513600.0,0.0,1.0,17.819919197714896,18.515759848613097,17.72394117690135,18.10785326015553,3513600.0
2009-04-30,28.4,29.4,27.73,28.53,9109600.0,0.0,1.0,22.7147982592057,23.514615099318576,22.178920976330073,22.818774448420374,9109600.0
2009-05-31,30.73,31.45,30.2006,31.41,3979500.0,0.0,1.0,24.578371496668705,25.154239621549973,24.154948461512948,25.12224694794546,3979500.0
2009-06-30,31.78,32.18,31.61,31.89,2368700.0,0.0,1.0,25.418179178787227,25.738105914832374,25.282210315968037,25.50615903119964,2368700.0
2009-07-31,35.58,36.19,35.35,35.6,1867300.0,0.0,1.0,28.457483171216154,28.94537144368501,28.273525297990197,28.473479508018414,1867300.0
2009-08-31,35.7,35.85,35.3,35.66,1757300.0,0.0,1.0,28.553461192029705,28.673433718046635,28.23353445598455,28.521468518425184,1757300.0
2009-09-30,38.53,39.345,38.15,39.23,3785200.0,0.0,1.0,30.816942849549143,31.468793574241136,30.51301245030625,31.376814637628154,3785200.0
2009-10-31,38.2,38.49,36.757,36.76,3039600.0,0.0,1.0,30.553003292311896,30.78495017594463,29.39886759202901,29.40126704254935,3039600.0
2009-11-30,37.71,38.22,37.42,38.18,1944700.0,0.0,1.0,30.161093040656585,30.56899962911415,29.92914615702385,30.537006955509636,1944700.0
2009-12-31,42.19,42.24,41.5,41.61,1108000.0,0.0,1.0,33.74427248436227,33.78426332636792,33.192398864684385,33.2803787170968,1108000.0
2010-01-31,42.33,42.38,41.02,41.55,6270800.0,0.0,1.0,33.85624684197807,33.89623768398372,32.80848678143021,33.23238970669003,6270800.0
2010-02-28,42.82,43.12,42.6,43.01,4841100.0,0.0,1.0,34.24815709363338,34.48810214566725,34.072197388808554,34.40012229325483,4841100.0
2010-03-31,47.73,48.25,47.34,47.47,4278600.0,0.0,1.0,38.17525777858761,38.59116253544631,37.86332921094359,37.96730540015826,4278600.0
2010-04-30,47.78,47.78,46.75,47.03,2979900.0,0.0,1.0,38.21524862059326,38.21524862059326,37.39143727527699,37.6153859905086,2979900.0
2010-05-31,43.88,44.21,43.46,43.61,3852500.0,0.0,1.0,35.09596294415304,35.35990250139028,34.76003987130563,34.88001239732256,3852500.0
2010-06-30,42.96,43.37,42.15,42.23,2074500.0,0.0,1.0,34.36013145124919,34.688056355695466,33.71227981075776,33.77626515796678,2074500.0
2010-07-31,54.51,55.9,54.12,55.02,8147300.0,0.0,1.0,43.59801595455291,44.70976136230981,43.28608738690889,44.005922543010485,8147300.0
2010-08-31,58.08,58.49,57.39,57.94,2507600.0,0.0,1.0,46.45336207375588,46.78128697820217,45.901488454078,46.341387716140076,2507600.0
2010-09-30,70.75,71.62,68.14,68.24,3597100.0,0.0,1.0,56.58704143798603,57.28288208888424,54.49951948529142,54.57950116930271,3597100.0
2010-10-31,64.74,65.19,63.69,64.13,3650200.0,0.0,1.0,51.78014222890764,52.14005980695843,50.940334546789124,51.292253956438785,3650200.0
2010-11-30,66.47,67.41,66.03,66.43,5373000.0,0.0,1.0,53.16382536230292,53.915653192009025,52.811905952653255,53.13183268869841,5373000.0
2010-12-31,68.24,68.58,67.33,68.41,1124300.0,0.0,1.0,54.57950116930271,54.85143889494109,53.85166784479999,54.7154700321219,1124300.0
2011-01-31,63.43,63.71,62.76,63.18,2290300.0,0.0,1.0,50.73238216835978,50.956330883591384,50.196504885484146,50.53242795833155,2290300.0
2011-02-28,70.91,71.37,69.19,70.16,1982100.0,0.0,1.0,56.71501213240409,57.08292787885602,55.33932716740994,56.11514950231943,1982100.0
2011-03-31,72.53,73.71,71.95,73.46,1903400.0,0.0,1.0,58.010715413386954,58.95449928472014,57.54682164612149,58.754545074691926,1903400.0
2011-04-30,84.98,85.11,84.03,84.34,4512700.0,0.0,1.0,67.96843507279227,68.07241126200694,67.20860907468504,67.45655229512003,4512700.0
2011-05-31,87.77,88.35,86.34,87.62,2891700.0,0.0,1.0,70.19992405670719,70.66381782397266,69.05618597534578,70.07995153069027,2891700.0
2011-06-30,78.69,80.02,78.55,80.0,1611700.0,0.0,1.0,62.93758714848227,64.0013435458324,62.82561279086647,63.985347209030145,1611700.0
2011-07-31,71.87,73.4,70.7596,72.04,3447200.0,0.0,1.0,57.48283629891246,58.70655606428516,56.59471967965112,57.61880516173165,3447200.0
2011-08-31,58.76,61.61,58.75,60.43,5435200.0,0.0,1.0,46.99723752503264,49.27671551935434,46.989239356631515,48.332931648021145,5435200.0
2011-09-30,55.91,56.99,54.53,54.53,3045400.0,0.0,1.0,44.717759530710936,45.58156171803285,43.61401229135517,43.61401229135517,3045400.0
2011-10-31,72.8,73.98,71.91,72.83,3304100.0,0.0,1.0,58.22666596021743,59.17044983155063,57.514828972516966,58.250660465420815,3304100.0
2011-11-30,68.57,71.44,68.52,71.39,2867100.0,0.0,1.0,54.84344072653995,57.138915057663915,54.80344988453432,57.09892421565827,2867100.0
2011-12-31,61.1,61.39,60.27,60.72,1357400.0,0.0,1.0,48.868808930896776,49.100755814529506,48.204960953603084,48.564878531653875,1357400.0
2012-01-31,65.41,65.56,64.3,65.2,1301500.0,0.0,1.0,52.31601951178327,52.435992037800204,51.428222819257975,52.14805797535957,1301500.0
2012-02-29,75.0,76.5,74.6452,74.74,1651500.0,0.0,1.0,59.98626300846576,61.18598826863507,59.702487993593714,59.77831063003641,1651500.0
2012-03-31,79.0,79.62,78.22,78.91,1880200.0,0.0,1.0,63.18553036891727,63.68141680978725,62.56167323362922,63.113546853307106,1880200.0
2012-04-30,85.27,86.45,84.71,85.61,1916900.0,0.0,1.0,68.200381956425,69.1441658277582,67.75248452596179,68.47231968206339,1916900.0
2012-05-31,73.88,74.25,71.83,73.08,2024000.0,0.0,1.0,59.09046814753933,59.386400378381104,57.45084362530794,58.45061467544903,2024000.0
2012-06-30,80.74,83.95,80.66,83.94,2396100.0,0.0,1.0,64.57721167071367,67.144623727476,64.51322632350464,67.13662555907487,2396100.0
2012-07-31,73.62,74.31,72.43,72.68,2988200.0,0.0,1.0,58.88251576910999,59.43438938878788,57.930733729375675,58.13068793940389,2988200.0
2012-08-31,77.94,78.9,76.3,77.69,1486200.0,0.0,1.0,62.337724518397614,63.10554868490598,61.0260249006125,62.1377703083694,1486200.0
2012-09-30,75.38,77.445,75.36,76.5288,2270800.0,0.0,1.0,60.29019340770865,61.94181518254174,60.274197070906396,61.20902299363033,2270800.0
2012-10-31,63.0,63.45,61.61,61.78,2425300.0,0.0,1.0,50.38846092711124,50.74837850516204,49.27671551935434,49.41268438217353,2425300.0
2012-11-30,62.61,63.1,60.89,61.16,2746500.0,0.0,1.0,50.076532359467215,50.468442611122526,48.700847394473065,48.91679794130354,2746500.0
2012-12-31,64.43,65.81,63.96,65.62,1215500.0,0.0,1.0,51.53219900847266,52.63594624782842,51.1562850936196,52.48398104820698,1215500.0
2013-01-31,75.29,75.5,72.68,73.16,6041100.0,0.0,1.0,60.2182098920985,60.386171428522196,58.13068793940389,58.514600022658065,6041100.0
2013-02-28,71.18,71.94,70.73,70.9,2091100.0,0.0,1.0,56.930962679234575,57.538823477720356,56.57104510118378,56.70701396400297,2091100.0
2013-03-31,70.99,72.26,70.29,72.15,2140400.0,0.0,1.0,56.77899747961312,57.794764866556484,56.21912569153412,57.70678501414407,2140400.0
2013-04-30,61.68,62.85,61.5,62.16,3411500.0,0.0,1.0,49.332702698162244,50.26848840109431,49.18873566694192,49.71661478141642,3411500.0
2013-05-31,64.75,65.43,64.35,64.38,1296500.0,0.0,1.0,51.78814039730877,52.332015848585534,51.46821366126362,51.492208166467,1296500.0
2013-06-30,60.51,60.86,59.36,60.36,1789900.0,0.0,1.0,48.39691699523017,48.67685288926968,47.477127629100366,48.27694446921324,1789900.0
2013-07-31,70.63,72.25,70.3,72.02,4050600.0,0.0,1.0,56.491063417172484,57.78676669815535,56.22712385993523,57.60280882492938,4050600.0
2013-08-31,71.48,72.0199,70.55,70.77,1027100.0,0.0,1.0,57.170907731268436,57.60272884324538,56.42707806996346,56.60303777478829,1027100.0
2013-09-30,70.1,70.86,69.4,70.61,1457000.0,0.0,1.0,56.06716049191266,56.67502129039845,55.50728870383365,56.47506708037023,1457000.0
2013-10-31,56.89,57.55,56.63,56.78,2400300.0,0.0,1.0,45.50158003402156,46.02945914849606,45.29362765559222,45.41360018160915,2400300.0
2013-11-30,59.41,59.705,58.62,59.32,1073600.0,0.0,1.0,47.51711847110601,47.753064438939305,46.88526316741684,47.44513495549585,1073600.0
2013-12-31,63.09,63.44,62.54,63.25,1108200.0,0.0,1.0,50.460444442721396,50.7403803367609,50.02054518065931,50.58841513713946,1108200.0
2014-01-31,54.76,55.19,53.97,54.07,6384000.0,0.0,1.0,43.79797016458113,44.14189140582967,43.16611486089196,43.246096544903246,6384000.0
2014-02-28,60.8,60.8,59.56,60.05,2445200.0,0.0,1.0,48.62886387886291,48.62886387886291,47.63709099712295,48.02900124877825,2445200.0
2014-03-31,57.53,57.955,56.85,57.44,3822700.0,0.0,1.0,46.013462811693806,46.35338496874177,45.469587360417044,45.94147929608364,3822700.0
2014-04-30,58.31,59.36,57.77,59.31,2333000.0,0.0,1.0,46.63731994698185,47.477127629100366,46.20541885332089,47.43713678709472,2333000.0
2014-05-31,61.84,62.44,61.55,61.97,5955800.0,0.0,1.0,49.460673392580304,49.940563496648025,49.22872650894757,49.564649581794974,5955800.0
2014-06-30,63.95,64.1,62.45,62.55,4932400.0,0.0,1.0,51.14828692521847,51.268259451235394,49.948561665049155,50.02854334906044,4932400.0
2014-07-31,68.44,68.852,67.59,67.73,3137700.0,0.0,1.0,54.73946453732528,55.068989075451796,54.059620223229345,54.171594580845145,3137700.0
2014-08-31,70.01,70.53,69.85,70.26,1897500.0,0.0,1.0,55.99517697630251,56.411081733161204,55.86720628188444,56.19513118633073,1897500.0
2014-09-30,71.01,71.77,70.9,71.34,2409501.0,0.0,1.0,56.794993816415385,57.402854614901166,56.70701396400297,57.058933373652636,2409501.0
2014-10-31,64.89,64.89,64.06,64.23,1583194.0,0.0,1.0,51.90011475492457,51.90011475492457,51.23626677763089,51.37223564045008,1583194.0
2014-11-30,66.08,66.94,65.9,66.31,667370.0,0.0,1.0,52.8518967946589,53.539739277155974,52.707929763438585,53.03585466788486,667370.0
2014-12-31,65.695,65.695,63.79,63.8,848855.0,0.0,1.0,52.54396731121543,52.54396731121543,51.02031623080041,51.028314399201534,848855.0
2015-01-31,60.04,60.33,58.85,59.26,2481888.0,0.0,1.0,48.02100308037712,48.25294996400986,47.0692210406428,47.39714594508908,2481888.0
2015-02-28,63.48,64.09,63.23,63.675,872293.0,0.0,1.0,50.77237301036541,51.26026128283428,50.572418800337196,50.92833729418743,872293.0
2015-03-31,63.74,64.35,63.58,63.87,1303004.0,0.0,1.0,50.98032538879477,51.46821366126362,50.85235469437671,51.08430157800944,1303004.0
2015-04-30,68.45,68.45,66.73,67.16,2264892.0,0.0,1.0,54.74746270572642,54.74746270572642,53.37177774073227,53.7156989819808,2264892.0
2015-05-31,65.32,65.65,64.84,65.01,2848577.0,0.0,1.0,52.2440359961731,52.50797555341037,51.86012391291894,51.99609277573813,2848577.0
2015-06-30,70.41,70.48,69.7,70.16,1181601.0,0.0,1.0,56.31510371234765,56.37109089115556,55.74723375586751,56.11514950231943,1181601.0
2015-07-31,75.81,75.92,75.3401,75.61,1553407.0,0.0,1.0,60.634114648957194,60.72209450136961,60.25828071578815,60.47415128093461,1553407.0
