Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-11-30,23.12,23.12,22.62,23.0,853000.0,0.0,1.0,22.321099834235,22.321099834235,21.838377086954,22.205246374887,853000.0
2009-12-31,22.8,22.84,22.38,22.43,156700.0,0.0,1.0,22.012157275975,22.050775095758,21.60667016826,21.654942442988,156700.0
2010-01-31,24.0,24.0,23.23,23.49,337800.0,0.0,1.0,23.170691869448,23.170691869448,22.427298838636,22.678314667222,337800.0
2010-02-28,23.91,23.96,23.51,23.89,265000.0,0.0,1.0,23.083801774937,23.132074049665,22.697623577113,23.064492865046,265000.0
2010-03-31,26.4,26.4,24.85,25.25,1212100.0,0.0,1.0,25.487761056392,25.487761056392,23.991320539824,24.377498737648,1212100.0
2010-04-30,29.13,29.24,28.32,28.57,879600.0,0.0,1.0,28.123427256542,28.229626260944,27.341416405948,27.582777779588,879600.0
2010-05-31,30.46,30.82,30.14,30.23,968700.0,0.0,1.0,29.407469764307,29.755030142349,29.098527206048,29.185417300559,968700.0
2010-06-30,28.28,28.72,27.21,27.55,1636800.0,0.0,1.0,27.302798586166,27.727594603772,26.269771906986,26.598023375137,1636800.0
2010-07-31,28.59,29.27,28.34,29.18,718800.0,0.0,1.0,27.60208668948,28.258589625781,27.36072531584,28.17169953127,718800.0
2010-08-31,27.49,27.58,26.64,27.31,2336400.0,0.0,1.0,26.540096645463,26.626986739974,25.719467975087,26.366316456442,2336400.0
2010-09-30,29.55,29.66,28.89,29.25,788100.0,0.0,1.0,28.528914364257,28.635113368659,27.891720337848,28.239280715889,788100.0
2010-10-31,27.87,28.45,27.739,28.19,1135400.0,0.0,1.0,26.906965933396,27.466924320241,26.780492573609,27.215908491655,1135400.0
2010-11-30,32.51,33.07,32.401,32.84,706100.0,0.0,1.0,31.386633028156,31.92728250511,31.281399469249,31.705230041361,706100.0
2010-12-31,30.61,30.84,30.34,30.67,572400.0,0.0,1.0,29.552286588491,29.77433905224,29.29161630496,29.610213318165,572400.0
2011-01-31,28.35,28.42,27.73,27.81,1477000.0,0.0,1.0,27.370379770785,27.437960955404,26.771803564158,26.849039203723,1477000.0
2011-02-28,28.2,28.37,27.99,28.25,1061600.0,0.0,1.0,27.225562946601,27.389688680676,27.022819392743,27.273835221329,1061600.0
2011-03-31,31.41,31.4499,30.86,31.35,902800.0,0.0,1.0,30.32464298414,30.363164259373,29.793647962132,30.266716254466,902800.0
2011-04-30,33.18,33.18,32.54,32.59,785000.0,0.0,1.0,32.033481509511,32.033481509511,31.415596392993,31.463868667721,785000.0
2011-05-31,34.75,35.09,34.37,35.07,1246800.0,0.0,1.0,33.549230935971,33.877482404122,33.182361648038,33.85817349423,1246800.0
2011-06-30,33.66,34.39,33.5305,33.89,1313300.0,0.0,1.0,32.4968953469,33.201670557929,32.371870155355,32.718947810649,1313300.0
2011-07-31,31.25,31.87,31.1,31.46,3847700.0,0.0,1.0,30.17017170501,30.768747911637,30.025354880826,30.372915258868,3847700.0
2011-08-31,36.41,36.86,36.22,36.6,4411400.0,0.0,1.0,35.151870456941,35.586320929493,34.968435812975,35.335305100908,4411400.0
2011-09-30,37.34,38.3885,36.94,37.76,1778000.0,0.0,1.0,36.049734766882,37.062004367929,35.663556569058,36.455221874598,1778000.0
2011-10-31,38.82,39.92,38.72,39.66,2322000.0,0.0,1.0,37.478594098832,38.540584142848,37.382049549376,38.289568314262,2322000.0
2011-11-30,40.47,40.6,39.48,40.57,1764700.0,0.0,1.0,39.071579164856,39.197087079149,38.115788125241,39.168123714312,1764700.0
2011-12-31,41.22,41.48,41.1,41.14,563600.0,0.0,1.0,39.795663285776,40.046679114362,39.679809826429,39.718427646212,563600.0
2012-01-31,42.43,42.65,42.35,42.61,1342500.0,0.0,1.0,40.963852334194,41.176250342998,40.88661669463,41.137632523215,1342500.0
2012-02-29,42.4,42.44,41.71,42.06,1759000.0,0.0,1.0,40.934888969358,40.97350678914,40.268731578111,40.606637501207,1759000.0
2012-03-31,46.5,46.64,43.18,46.2,3562500.0,0.0,1.0,44.893215497055,45.028377866293,41.687936455115,44.603581848687,3562500.0
2012-04-30,48.69,48.74,47.4,47.46,2027200.0,0.0,1.0,47.007541130142,47.05581340487,45.762116442159,45.820043171833,2027200.0
2012-05-31,48.46,49.5,48.46,48.91,4625400.0,0.0,1.0,46.785488666393,47.789551980736,46.785488666393,47.219939138945,4625400.0
2012-06-30,54.34,54.69,53.72,54.39,3181100.0,0.0,1.0,52.462308174408,52.800214097504,51.86373196778,52.510580449136,3181100.0
2012-07-31,51.0,51.26,50.32,51.01,2716100.0,0.0,1.0,49.237720222576,49.488736051162,48.581217286275,49.247374677522,2716100.0
2012-08-31,50.3,51.42,50.2901,51.07,4392300.0,0.0,1.0,48.561908376384,49.643207330292,48.552350465988,49.305301407196,4392300.0
2012-09-30,51.83,51.99,51.5,51.54,26313000.0,0.0,1.0,50.039039983061,50.193511262191,49.720442969857,49.759060789639,26313000.0
2012-10-31,48.4,49.0,47.92,48.62,4080400.0,0.0,1.0,46.72756193672,47.306829233456,46.264148099331,46.939959945523,4080400.0
2012-11-30,50.68,50.8,49.77,50.0,66137200.0,0.0,1.0,48.928777664317,49.044631123664,48.050222264267,48.272274728016,66137200.0
2012-12-31,42.6,44.12,42.6,44.09,3404100.0,0.0,1.0,41.12797806827,42.595455220001,41.12797806827,42.566491855165,3404100.0
2013-01-31,46.63,46.83,46.19,46.22,3008800.0,0.0,1.0,45.018723411348,45.21181251026,44.593927393741,44.622890758578,3008800.0
2013-02-28,46.37,46.68,46.08,46.34,5017900.0,0.0,1.0,44.767707582762,45.066995686076,44.48772838934,44.738744217925,5017900.0
