Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,43.34,43.74,42.5,42.71,1249867.0,0.0,1.0,14.446666666666667,14.58,14.166666666666666,14.236666666666666,3749601.0
2009-02-28,36.8,39.55,36.6,38.82,5199067.0,0.0,1.0,12.266666666666666,13.183333333333332,12.2,12.94,15597201.0
2009-03-31,45.02,45.33,44.01,44.55,2332267.0,0.0,1.0,15.006666666666668,15.11,14.669999999999998,14.849999999999998,6996801.0
2009-04-30,43.44,43.53,42.29,42.34,2023000.0,0.0,1.0,14.479999999999999,14.51,14.096666666666666,14.113333333333333,6069000.0
2009-05-31,44.9,45.01,43.89,44.77,1703200.0,0.0,1.0,14.966666666666665,15.003333333333332,14.629999999999999,14.923333333333334,5109600.0
2009-06-30,42.65,43.28,41.966,42.1,1082400.0,0.0,1.0,14.216666666666665,14.426666666666666,13.988666666666667,14.033333333333333,3247200.0
2009-07-31,46.54,46.99,45.7,46.12,898600.0,0.0,1.0,15.513333333333332,15.663333333333334,15.233333333333334,15.373333333333331,2695800.0
2009-08-31,50.84,51.13,49.87,49.94,1564867.0,0.0,1.0,16.946666666666665,17.043333333333333,16.62333333333333,16.646666666666665,4694601.0
2009-09-30,48.83,49.06,48.04,48.68,1771467.0,0.0,1.0,16.276666666666664,16.35333333333333,16.013333333333332,16.226666666666667,5314401.0
2009-10-31,45.73,45.94,44.7,45.13,1889867.0,0.0,1.0,15.243333333333332,15.313333333333333,14.9,15.043333333333333,5669601.0
2009-11-30,50.38,50.6399,48.8,48.97,1967667.0,0.0,1.0,16.793333333333333,16.879966666666665,16.266666666666666,16.32333333333333,5903001.0
2009-12-31,48.56,48.95,48.3,48.3,394067.0,0.0,1.0,16.186666666666667,16.316666666666666,16.099999999999998,16.099999999999998,1182201.0
2010-01-31,49.24,49.89,48.98,49.52,1516600.0,0.0,1.0,16.413333333333334,16.63,16.326666666666664,16.506666666666668,4549800.0
2010-02-28,56.34,56.4,55.55,55.74,1419667.0,0.0,1.0,18.78,18.799999999999997,18.516666666666666,18.58,4259001.0
2010-03-31,59.7,59.9,59.01,59.22,967800.0,0.0,1.0,19.9,19.966666666666665,19.669999999999998,19.74,2903400.0
2010-04-30,62.46,62.46,60.2,60.72,1582200.0,0.0,1.0,20.82,20.82,20.066666666666666,20.24,4746600.0
2010-05-31,62.56,63.01,61.78,62.59,1445200.0,0.0,1.0,20.85333333333333,21.00333333333333,20.593333333333334,20.863333333333333,4335600.0
2010-06-30,41.8,42.3,41.6,41.63,2408100.0,0.0,1.0,20.9,21.15,20.8,20.815,4816200.0
2010-07-31,42.91,44.42,42.7101,44.32,1837800.0,0.0,1.0,21.455,22.21,21.35505,22.16,3675600.0
2010-08-31,44.81,45.68,44.7,45.2725,1678700.0,0.0,1.0,22.405,22.84,22.35,22.63625,3357400.0
2010-09-30,49.7,49.84,48.6,48.76,1522200.0,0.0,1.0,24.85,24.92,24.3,24.38,3044400.0
2010-10-31,51.33,51.56,50.92,51.31,862600.0,0.0,1.0,25.665,25.78,25.46,25.655,1725200.0
2010-11-30,54.96,55.47,54.78,54.95,1848700.0,0.0,1.0,27.48,27.735,27.39,27.475,3697400.0
2010-12-31,56.53,56.79,56.01,56.08,710900.0,0.0,1.0,28.265,28.395,28.005,28.04,1421800.0
2011-01-31,50.94,51.33,50.31,50.58,1079800.0,0.0,1.0,25.47,25.665,25.155,25.29,2159600.0
2011-02-28,50.42,50.77,49.97,50.32,1926800.0,0.0,1.0,25.21,25.385,24.985,25.16,3853600.0
