Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,47.35,47.82,46.51,47.0,758200.0,0.0,1.0,23.675,23.91,23.255,23.5,1516400.0
2009-02-28,49.57,49.57,46.81,46.92,1979600.0,0.0,1.0,24.785,24.785,23.405,23.46,3959200.0
2009-03-31,44.26,44.68,43.75,43.95,1103000.0,0.0,1.0,22.13,22.34,21.875,21.975,2206000.0
2009-04-30,47.82,47.82,46.1,46.37,1212600.0,0.0,1.0,23.91,23.91,23.05,23.185,2425200.0
2009-05-31,45.04,45.14,44.41,45.11,996900.0,0.0,1.0,22.52,22.57,22.205,22.555,1993800.0
2009-06-30,49.5,49.68,48.88,49.46,552000.0,0.0,1.0,24.75,24.84,24.44,24.73,1104000.0
2009-07-31,49.92,50.57,49.31,49.7,709200.0,0.0,1.0,24.96,25.285,24.655,24.85,1418400.0
2009-08-31,51.8,51.8,50.98,51.71,572700.0,0.0,1.0,25.9,25.9,25.49,25.855,1145400.0
2009-09-30,56.08,56.91,55.68,56.64,1003200.0,0.0,1.0,28.04,28.455,27.84,28.32,2006400.0
2009-10-31,53.3,53.97,52.71,53.03,987400.0,0.0,1.0,26.65,26.985,26.355,26.515,1974800.0
2009-11-30,59.25,59.32,58.27,59.24,790500.0,0.0,1.0,29.625,29.66,29.135,29.62,1581000.0
2009-12-31,59.25,59.44,58.67,58.74,423400.0,0.0,1.0,29.625,29.72,29.335,29.37,846800.0
2010-01-31,60.08,60.4,59.64,59.76,666800.0,0.0,1.0,30.04,30.2,29.82,29.88,1333600.0
2010-02-28,61.66,62.04,61.33,61.61,628500.0,0.0,1.0,30.83,31.02,30.665,30.805,1257000.0
2010-03-31,62.85,63.6,62.85,63.4,619000.0,0.0,1.0,31.425,31.8,31.425,31.7,1238000.0
2010-04-30,64.11,64.16,62.32,62.43,1492000.0,0.0,1.0,32.055,32.08,31.16,31.215,2984000.0
2010-05-31,63.04,63.7,62.9,63.43,1881700.0,0.0,1.0,31.52,31.85,31.45,31.715,3763400.0
2010-06-30,62.73,63.44,62.34,62.44,1053200.0,0.0,1.0,31.365,31.72,31.17,31.22,2106400.0
2010-07-31,57.97,58.23,57.25,57.32,2593400.0,0.0,1.0,28.985,29.115,28.625,28.66,5186800.0
2010-08-31,65.0,65.05,64.26,64.62,1247900.0,0.0,1.0,32.5,32.525,32.13,32.31,2495800.0
2010-09-30,69.23,69.42,68.56,69.03,1290600.0,0.0,1.0,34.615,34.71,34.28,34.515,2581200.0
2010-10-31,70.97,72.34,70.87,71.75,656000.0,0.0,1.0,35.485,36.17,35.435,35.875,1312000.0
2010-11-30,71.97,73.16,71.55,72.7,794500.0,0.0,1.0,35.985,36.58,35.775,36.35,1589000.0
2010-12-31,69.67,69.92,69.34,69.49,404700.0,0.0,1.0,34.835,34.96,34.67,34.745,809400.0
2011-01-31,74.3,74.84,73.57,73.85,964600.0,0.0,1.0,37.15,37.42,36.785,36.925,1929200.0
2011-02-28,78.76,79.37,78.4,79.37,901400.0,0.0,1.0,39.38,39.685,39.2,39.685,1802800.0
2011-03-31,83.97,85.89,83.97,85.51,1049300.0,0.0,1.0,41.985,42.945,41.985,42.755,2098600.0
2011-04-30,88.14,88.36,87.81,88.09,945000.0,0.0,1.0,44.07,44.18,43.905,44.045,1890000.0
2011-05-31,84.275,84.275,83.74,84.05,1137600.0,0.0,1.0,42.1375,42.1375,41.87,42.025,2275200.0
2011-06-30,85.72,86.74,85.72,86.61,517300.0,0.0,1.0,42.86,43.37,42.86,43.305,1034600.0
2011-07-31,82.98,84.24,82.19,83.54,1368300.0,0.0,1.0,41.49,42.12,41.095,41.77,2736600.0
