Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,16.305,16.305,15.3975,15.44,13189500.0,0.0,1.0,16.305,16.305,15.3975,15.44,13189500.0
2009-02-28,15.63,16.65,15.53,16.31,6646200.0,0.0,1.0,15.63,16.65,15.53,16.31,6646200.0
2009-03-31,18.15,18.57,17.78,18.19,5683100.0,0.0,1.0,18.15,18.57,17.78,18.19,5683100.0
2009-04-30,20.69,21.12,20.27,20.35,9386800.0,0.0,1.0,20.69,21.12,20.27,20.35,9386800.0
2009-05-31,21.91,23.04,21.86,22.99,8188200.0,0.0,1.0,21.91,23.04,21.86,22.99,8188200.0
2009-06-30,21.68,22.085,21.34,21.72,11538900.0,0.0,1.0,21.68,22.085,21.34,21.72,11538900.0
2009-07-31,21.03,21.77,21.02,21.47,7125700.0,0.0,1.0,21.03,21.77,21.02,21.47,7125700.0
2009-08-31,18.31,18.5,18.03,18.22,10338600.0,0.0,1.0,18.31,18.5,18.03,18.22,10338600.0
2009-09-30,19.3,19.47,18.93,19.05,6800200.0,0.0,1.0,19.3,19.47,18.93,19.05,6800200.0
2009-10-31,18.664,18.93,18.12,18.24,10324100.0,0.0,1.0,18.664,18.93,18.12,18.24,10324100.0
2009-11-30,16.99,17.09,16.74,16.89,5593500.0,0.0,1.0,16.99,17.09,16.74,16.89,5593500.0
2009-12-31,18.26,18.26,17.73,17.75,3866500.0,0.0,1.0,18.26,18.26,17.73,17.75,3866500.0
2010-01-31,16.91,17.0899,16.26,16.28,7559700.0,0.0,1.0,16.91,17.0899,16.26,16.28,7559700.0
2010-02-28,16.41,16.6902,16.38,16.58,5745500.0,0.0,1.0,16.41,16.6902,16.38,16.58,5745500.0
2010-03-31,18.66,18.73,18.56,18.66,4220500.0,0.0,1.0,18.66,18.73,18.56,18.66,4220500.0
2010-04-30,19.81,19.81,19.37,19.37,3977300.0,0.0,1.0,19.81,19.81,19.37,19.37,3977300.0
2010-05-31,16.63,16.67,16.32,16.51,3976800.0,0.0,1.0,16.63,16.67,16.32,16.51,3976800.0
2010-06-30,14.62,14.8,14.37,14.4,9358500.0,0.0,1.0,14.62,14.8,14.37,14.4,9358500.0
2010-07-31,15.88,16.07,15.61,15.93,3533400.0,0.0,1.0,15.88,16.07,15.61,15.93,3533400.0
2010-08-31,14.84,15.34,14.84,15.23,10499200.0,0.0,1.0,14.84,15.34,14.84,15.23,10499200.0
2010-09-30,16.42,16.75,16.24,16.4475,6043200.0,0.0,1.0,16.42,16.75,16.24,16.4475,6043200.0
2010-10-31,15.6,15.9,15.56,15.83,4095500.0,0.0,1.0,15.6,15.9,15.56,15.83,4095500.0
2010-11-30,14.85,14.99,14.7,14.91,6051600.0,0.0,1.0,14.85,14.99,14.7,14.91,6051600.0
2010-12-31,16.59,16.64,16.17,16.38,4571200.0,0.0,1.0,16.59,16.64,16.17,16.38,4571200.0
2011-01-31,15.01,15.59,15.0,15.59,8707500.0,0.0,1.0,15.01,15.59,15.0,15.59,8707500.0
2011-02-28,19.15,19.18,18.66,18.8,5585100.0,0.0,1.0,19.15,19.18,18.66,18.8,5585100.0
2011-03-31,19.67,19.78,19.4,19.53,3862000.0,0.0,1.0,19.67,19.78,19.4,19.53,3862000.0
2011-04-30,20.49,20.72,20.16,20.18,5710300.0,0.0,1.0,20.49,20.72,20.16,20.18,5710300.0
2011-05-31,24.0,24.5,23.77,24.41,6078800.0,0.0,1.0,24.0,24.5,23.77,24.41,6078800.0
2011-06-30,23.61,23.72,23.33,23.6,4357400.0,0.0,1.0,23.61,23.72,23.33,23.6,4357400.0
2011-07-31,22.38,22.64,22.05,22.25,5121100.0,0.0,1.0,22.38,22.64,22.05,22.25,5121100.0
2011-08-31,22.37,22.78,22.32,22.58,8981000.0,0.0,1.0,22.37,22.78,22.32,22.58,8981000.0
2011-09-30,20.42,20.99,20.33,20.45,6719700.0,0.0,1.0,20.42,20.99,20.33,20.45,6719700.0
2011-10-31,23.87,23.87,23.19,23.35,6439600.0,0.0,1.0,23.87,23.87,23.19,23.35,6439600.0
2011-11-30,22.478,23.21,22.44,23.19,7960900.0,0.0,1.0,22.478,23.21,22.44,23.19,7960900.0
2011-12-31,20.85,20.96,20.58,20.6,2027200.0,0.0,1.0,20.85,20.96,20.58,20.6,2027200.0
2012-01-31,18.15,18.81,18.06,18.575,10794000.0,0.0,1.0,18.15,18.81,18.06,18.575,10794000.0
2012-02-29,16.62,16.75,16.28,16.335,8730200.0,0.0,1.0,16.62,16.75,16.28,16.335,8730200.0
2012-03-31,16.56,16.78,16.43,16.485,4035000.0,0.0,1.0,16.56,16.78,16.43,16.485,4035000.0
2012-04-30,15.24,15.55,15.16,15.38,3630900.0,0.0,1.0,15.24,15.55,15.16,15.38,3630900.0
2012-05-31,14.14,14.15,13.61,13.62,7312600.0,0.0,1.0,14.14,14.15,13.61,13.62,7312600.0
2012-06-30,12.16,12.37,11.93,12.35,6509300.0,0.0,1.0,12.16,12.37,11.93,12.35,6509300.0
2012-07-31,11.1,11.33,10.77,11.02,8568100.0,0.0,1.0,11.1,11.33,10.77,11.02,8568100.0
2012-08-31,12.72,13.53,12.57,13.33,8415800.0,0.0,1.0,12.72,13.53,12.57,13.33,8415800.0
2012-09-30,12.69,12.72,12.45,12.69,4994400.0,0.0,1.0,12.69,12.72,12.45,12.69,4994400.0
2012-10-31,11.91,12.4,11.9,12.35,7836500.0,0.0,1.0,11.91,12.4,11.9,12.35,7836500.0
2012-11-30,15.06,15.1,14.77,14.81,4638100.0,0.0,1.0,15.06,15.1,14.77,14.81,4638100.0
2012-12-31,13.89,14.55,13.83,14.52,7190800.0,0.0,1.0,13.89,14.55,13.83,14.52,7190800.0
2013-01-31,14.63,16.18,14.62,15.73,12537800.0,0.0,1.0,14.63,16.18,14.62,15.73,12537800.0
2013-02-28,17.59,18.0,17.52,17.53,7160500.0,0.0,1.0,17.59,18.0,17.52,17.53,7160500.0
2013-03-31,17.63,17.73,17.39,17.7,6487400.0,0.0,1.0,17.63,17.73,17.39,17.7,6487400.0
2013-04-30,17.77,17.79,17.36,17.61,2409300.0,0.0,1.0,17.77,17.79,17.36,17.61,2409300.0
2013-05-31,23.19,23.595,22.99,22.99,4526000.0,0.0,1.0,23.19,23.595,22.99,22.99,4526000.0
