Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,69.74,70.45,65.01,66.05,1133800.0,0.0,1.0,51.916045673936,52.444585857883,48.394925856934,49.169125562998,1133800.0
2009-02-28,53.51,55.87,53.14,54.4,1331200.0,0.0,1.0,39.834063722574,41.590901517104,39.558627288686,40.496600009494,1331200.0
2009-03-31,55.75,58.16,55.14,57.34,1361700.0,0.0,1.0,42.241900153199,44.067962563409,41.77970178381,43.446646722591,1361700.0
2009-04-30,66.44,67.75,62.96,63.49,1840600.0,0.0,1.0,50.341737151185,51.334327092004,47.704933338931,48.106515528728,1840600.0
2009-05-31,66.18,68.09,65.41,68.09,1046800.0,0.0,1.0,50.14473456751,51.59194585527,49.561303838937,51.59194585527,1046800.0
2009-06-30,62.4,62.88,61.65,62.23,731200.0,0.0,1.0,48.071317251526,48.441096614999,47.493536996099,47.940353726963,731200.0
2009-07-31,65.99,65.99,64.33,65.01,813800.0,0.0,1.0,50.836958740837,50.836958740837,49.558138442158,50.081992540412,813800.0
2009-08-31,73.7,74.84,73.19,74.61,556500.0,0.0,1.0,56.776539766626,57.654765754875,56.383649192936,57.477579809878,556500.0
2009-09-30,81.06,81.75,79.1,79.58,494700.0,0.0,1.0,63.23327758706,63.771532725662,61.704320961467,62.078759318755,494700.0
2009-10-31,76.89,77.33,74.11,75.18,766800.0,0.0,1.0,59.980344358118,60.323579518966,57.81172220549,58.646407710279,766800.0
2009-11-30,76.41,79.84,76.02,79.75,858200.0,0.0,1.0,59.60590600083,62.281580095619,59.301674835533,62.211372903628,858200.0
2009-12-31,84.63,86.03,83.64,83.65,294900.0,0.0,1.0,66.81908993365,67.924451222875,66.037441593412,66.045337031192,294900.0
2010-01-31,81.89,82.18,79.55,79.69,372500.0,0.0,1.0,64.655739981881,64.884707677506,62.808207541319,62.918743670242,372500.0
2010-02-28,85.47,87.05,85.04,85.9,560100.0,0.0,1.0,67.482306707185,68.729785876453,67.142802882637,67.821810531732,560100.0
2010-03-31,89.12,90.52,88.54,89.95,593200.0,0.0,1.0,71.185056481081,72.303313652014,70.721778510266,71.84802323242,593200.0
2010-04-30,109.43,110.02,105.61,105.82,370700.0,0.0,1.0,87.407773010825,87.87903853286,84.356528444423,84.524267020063,370700.0
2010-05-31,107.16,108.5,105.22,105.23,415700.0,0.0,1.0,85.59459888367,86.664930747277,84.045013946806,84.053001498027,415700.0
2010-06-30,99.87,101.3,97.47,97.54,623000.0,0.0,1.0,80.564705561508,81.718280498456,78.62863573726,78.685104440468,623000.0
2010-07-31,103.38,106.1,103.11,105.11,287400.0,0.0,1.0,83.39620767947,85.590420146951,83.178399824242,84.791791344449,287400.0
2010-08-31,103.05,105.86,102.61,105.77,358700.0,0.0,1.0,83.129998078636,85.396813164526,82.775051944191,85.324210546117,358700.0
2010-09-30,109.35,111.04,108.9,109.44,610200.0,0.0,1.0,89.05371400391,90.430035692676,88.687237814593,89.127009241773,610200.0
2010-10-31,112.28,113.57,112.28,112.96,139700.0,0.0,1.0,91.439881192126,92.490446268167,91.439881192126,91.99366743376,139700.0
2010-11-30,109.33,111.77,109.33,110.84,449500.0,0.0,1.0,89.037426173273,91.024541510901,89.037426173273,90.267157386313,449500.0
2010-12-31,114.11,115.12,114.0,114.22,116300.0,0.0,1.0,93.770782301307,94.600757677035,93.680388943555,93.86117565906,116300.0
2011-01-31,115.18,116.61,114.98,116.0,289100.0,0.0,1.0,94.6500631449,95.825176795684,94.48571158535,95.323904539056,289100.0
2011-02-28,122.07,124.07,120.9,123.78,480800.0,0.0,1.0,100.3119743714,101.9554899669,99.350517748033,101.71718020555,480800.0
