Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,29.01,29.45,27.66,27.81,3470700.0,0.0,1.0,25.89308176569,26.28580689416,24.688129666977,24.8220132335,3470700.0
2009-02-28,27.44,28.29,27.26,27.55,4004500.0,0.0,1.0,24.491767102742,25.250440646376,24.331106822913,24.589948384859,4004500.0
2009-03-31,28.14,28.65,27.35,28.29,2586000.0,0.0,1.0,25.116557079853,25.571761206033,24.411436962828,25.250440646376,2586000.0
2009-04-30,34.12,35.62,33.68,34.71,2971300.0,0.0,1.0,30.454048598599,31.792884263836,30.061323470129,30.980657293592,2971300.0
2009-05-31,31.73,33.27,31.73,32.81,4695900.0,0.0,1.0,28.487121377571,29.869729852877,28.487121377571,29.456742905707,4695900.0
2009-06-30,33.24,33.75,32.91,33.34,1587500.0,0.0,1.0,29.84279592154,30.300672754271,29.546522676831,29.932575692663,1587500.0
2009-07-31,33.88,34.38,33.64,33.93,1984000.0,0.0,1.0,30.417386456732,30.866285312351,30.201915006035,30.462276342294,1984000.0
2009-08-31,32.69,33.12,31.89,32.66,3443200.0,0.0,1.0,29.349007180359,29.735060196191,28.630769011369,29.322073249022,3443200.0
2009-09-30,34.94,35.57,34.23,35.15,2219800.0,0.0,1.0,31.369052030644,31.934664588723,30.731615655665,31.557589550003,2219800.0
2009-10-31,33.2,33.45,32.11,32.22,2320900.0,0.0,1.0,29.80688401309,30.031333440899,28.828284507841,28.927042256077,2320900.0
2009-11-30,31.92,32.09,31.46,31.93,1432300.0,0.0,1.0,28.8273279757,28.980856978077,28.411896557504,28.836359093487,1432300.0
2009-12-31,35.54,35.56,34.73,34.77,770300.0,0.0,1.0,32.096592614548,32.114654850122,31.365072073812,31.401196544959,770300.0
2010-01-31,34.5,34.93,34.05,34.1,2097000.0,0.0,1.0,31.157356364713,31.545694429549,30.750956064304,30.796111653239,2097000.0
2010-02-28,36.59,36.63,36.0,36.47,2952300.0,0.0,1.0,33.04485998217,33.080984453317,32.512024032744,32.936486568728,2952300.0
2010-03-31,36.92,37.1,36.58,36.92,1151500.0,0.0,1.0,33.342886869137,33.505446989301,33.035828864383,33.342886869137,1151500.0
2010-04-30,40.88,41.58,40.38,40.71,2516700.0,0.0,1.0,36.919209512739,37.55138775782,36.467653623395,36.765680510362,2516700.0
2010-05-31,38.37,38.51,37.65,38.24,2369200.0,0.0,1.0,34.83236466596,34.959456952987,34.17874718982,34.714350399435,2369200.0
2010-06-30,34.95,35.43,34.46,34.51,1382500.0,0.0,1.0,31.727681654295,32.163426638388,31.2828586497,31.328248752209,1382500.0
2010-07-31,42.0,42.76,41.89,42.64,1765400.0,0.0,1.0,38.127686108166,38.817615666313,38.027827882644,38.70867942029,1765400.0
2010-08-31,39.63,40.15,39.21,39.6,1713200.0,0.0,1.0,35.976195249205,36.448252315306,35.594918388123,35.948961187699,1713200.0
2010-09-30,46.78,47.58,46.01,46.23,1709600.0,0.0,1.0,42.466979908095,43.193221548251,41.767972329445,41.967688780488,1709600.0
2010-10-31,49.05,49.6,48.9,49.36,927100.0,0.0,1.0,44.527690562036,45.026981689643,44.391520254507,44.809109197597,927100.0
2010-11-30,51.9,53.24,51.9,52.9,1860500.0,0.0,1.0,47.293662848205,48.514732370683,47.293662848205,48.204908760502,1860500.0
2010-12-31,54.68,54.89,54.11,54.6,663900.0,0.0,1.0,49.826926484391,50.018288125973,49.307516314381,49.754026811407,663900.0
2011-01-31,50.6,51.0,50.34,50.67,3753800.0,0.0,1.0,46.10904316222,46.473541527138,45.872119225022,46.17283037608,3753800.0
2011-02-28,47.93,48.5094,47.77,47.8,1467300.0,0.0,1.0,43.676016576387,44.203992457972,43.530217230419,43.557554607788,1467300.0
2011-03-31,49.65,50.28,49.56,50.15,1280700.0,0.0,1.0,45.243359545538,45.817444470285,45.161347413431,45.698982501686,1280700.0
2011-04-30,54.6,55.3,54.18,54.27,1854500.0,0.0,1.0,49.754026811407,50.391898950015,49.371303528242,49.453315660349,1854500.0
2011-05-31,52.52,52.82,52.205,52.82,1089500.0,0.0,1.0,48.088902034931,48.363591117385,47.800478498355,48.363591117385,1089500.0
2011-06-30,50.61,51.57,50.44,51.19,1325900.0,0.0,1.0,46.340048209975,47.219053273827,46.184391063251,46.871113769386,1325900.0
2011-07-31,47.56,48.51,47.04,47.72,1319800.0,0.0,1.0,43.547375871693,44.417224632797,43.071248128773,43.693876715669,1319800.0
2011-08-31,46.25,46.93,45.1,45.5,2099300.0,0.0,1.0,42.347900211645,42.97052879854,41.294925395571,41.66117750551,2099300.0
2011-09-30,41.02,41.3,40.39,40.55,2396900.0,0.0,1.0,37.559153874198,37.815530351155,36.982306801045,37.12880764502,2396900.0
2011-10-31,46.69,46.82,45.5,45.6,2463000.0,0.0,1.0,42.750777532577,42.869809468307,41.66117750551,41.752740532994,2463000.0
2011-11-30,42.32,43.56,42.27,43.51,2041500.0,0.0,1.0,38.985635306288,40.127936529818,38.939574773081,40.081875996611,2041500.0
2011-12-31,41.1,41.26,40.89,40.96,766800.0,0.0,1.0,37.861758296041,38.009152002303,37.668304056572,37.732788803061,766800.0
2012-01-31,44.6,44.92,43.75,44.65,3694300.0,0.0,1.0,41.085995620521,41.380783033045,40.302966556004,41.132056153728,3694300.0
2012-02-29,42.56,43.69,42.4925,43.675,2956000.0,0.0,1.0,39.206725865681,40.247693916156,39.144544145852,40.233875756194,2956000.0
2012-03-31,46.59,46.81,46.14,46.51,1168000.0,0.0,1.0,42.919204842154,43.121871188264,42.504660043292,42.845507989023,1168000.0
2012-04-30,40.0,40.31,39.91,40.0,3566400.0,0.0,1.0,36.84842656549,37.134001871372,36.765517605717,36.84842656549,3566400.0
2012-05-31,37.83,38.4225,37.34,38.25,3295700.0,0.0,1.0,35.105981907583,35.655817865295,34.651265250572,35.495739042164,3295700.0
2012-06-30,38.1,38.75,37.92,38.75,1614700.0,0.0,1.0,35.356540065528,35.95973563095,35.189501293565,35.95973563095,1614700.0
2012-07-31,35.89,36.09,35.5499,35.57,2042200.0,0.0,1.0,33.305675143092,33.491273778606,32.990064663399,33.008717326268,2042200.0
2012-08-31,36.53,36.72,36.19,36.61,1232100.0,0.0,1.0,33.899590776738,34.075909480477,33.584073096364,33.973830230944,1232100.0
2012-09-30,36.59,36.673,36.21,36.35,1484100.0,0.0,1.0,33.955270367393,34.032293801131,33.602632959915,33.732552004775,1484100.0
2012-10-31,36.39,36.91,36.37,36.61,1549000.0,0.0,1.0,33.769671731878,34.252228184216,33.751111868327,33.973830230944,1549000.0
2012-11-30,37.45,37.59,37.2,37.42,1809200.0,0.0,1.0,35.013878274136,35.14477127703,34.780140768968,34.985829773516,1809200.0
2012-12-31,39.08,39.56,38.83,39.55,1030900.0,0.0,1.0,36.53784680783,36.986622817752,36.304109302662,36.977273317545,1030900.0
2013-01-31,43.01,43.19,42.42,42.9,3358100.0,0.0,1.0,40.212200389068,40.380491392788,39.660579876872,40.109355886794,3358100.0
2013-02-28,38.17,39.1,38.15,38.85,4339500.0,0.0,1.0,35.687042289019,36.556545808243,35.668343288606,36.322808303075,4339500.0
2013-03-31,35.58,35.75,35.4,35.73,2269800.0,0.0,1.0,33.265521735481,33.424463238995,33.09723073176,33.405764238581,2269800.0
2013-04-30,35.56,35.94,35.44,35.93,1663600.0,0.0,1.0,33.246822735067,33.602103742922,33.134628732587,33.592754242716,1663600.0
2013-05-31,38.86,39.385,38.84,39.03,1609000.0,0.0,1.0,36.611421122293,37.106042740646,36.592578393975,36.771584312998,1609000.0
2013-06-30,37.62,38.265,37.62,38.04,2155700.0,0.0,1.0,35.443171966563,36.050849954826,35.443171966563,35.838869261246,2155700.0
2013-07-31,40.43,40.79,40.2,40.32,850500.0,0.0,1.0,38.090575295273,38.429744405001,37.873883919613,37.986940289522,850500.0
2013-08-31,40.43,40.65,40.23,40.56,1165300.0,0.0,1.0,38.090575295273,38.297845306773,37.90214801209,38.213053029341,1165300.0
2013-09-30,43.76,44.16,43.45,44.06,868200.0,0.0,1.0,41.227889560256,41.60474412662,40.935827271323,41.510530485029,868200.0
2013-10-31,46.46,46.479,45.01,45.29,1760500.0,0.0,1.0,43.771657883215,43.789558475117,42.405560080144,42.669358276599,1760500.0
2013-11-30,43.31,43.86,43.3032,43.44,490300.0,0.0,1.0,41.085205251495,41.606952258845,41.078754561222,41.208527271414,490300.0
2013-12-31,44.37,44.48,44.03,44.25,561900.0,0.0,1.0,42.090754029296,42.195103430766,41.768219515662,41.976918318602,561900.0
2014-01-31,40.56,41.355,40.54,40.86,1356100.0,0.0,1.0,38.476470214746,39.230631798097,38.457497596296,38.761059491482,1356100.0
2014-02-28,39.29,39.7,39.02,39.51,2184800.0,0.0,1.0,37.271708943229,37.660647621435,37.015578594166,37.480407746169,2184800.0
2014-03-31,39.38,39.815,39.22,39.63,1498700.0,0.0,1.0,37.357085726249,37.769740177517,37.205304778657,37.594243456863,1498700.0
2014-04-30,40.45,41.315,40.29,41.24,1824600.0,0.0,1.0,38.372120813276,39.192686561198,38.220339865683,39.121539242014,1824600.0
2014-05-31,45.38,45.69,45.21,45.51,1272900.0,0.0,1.0,43.35189895133,43.64804458101,43.189496509247,43.476089054099,1272900.0
2014-06-30,44.13,44.27,43.78,44.16,883400.0,0.0,1.0,42.157763347778,42.291506535376,41.823405378784,42.186422602263,883400.0
2014-07-31,43.85,44.04,43.16,43.18,1477200.0,0.0,1.0,41.890276972583,42.071785584322,41.231114119422,41.250220289079,1477200.0
2014-08-31,41.39,41.41,41.085,41.3,770300.0,0.0,1.0,39.540218104794,39.55932427445,39.248849017527,39.454240341338,770300.0
2014-09-30,40.9,41.11,40.56,40.58,833644.0,0.0,1.0,39.072116948201,39.272731729598,38.747312064035,38.766418233692,833644.0
2014-10-31,42.58,42.67,42.04,42.66,1297047.0,0.0,1.0,40.677035199374,40.76301296283,40.16116861864,40.753459878002,1297047.0
2014-11-30,45.55,47.235,45.55,46.82,1796056.0,0.0,1.0,43.822435415229,45.443528799964,43.822435415229,45.044268411439,1796056.0
2014-12-31,44.91,45.19,44.61,44.61,904141.0,0.0,1.0,43.206708550998,43.476089054099,42.918086583389,42.918086583389,904141.0
2015-01-31,44.21,44.79,43.28,43.68,6983428.0,0.0,1.0,42.533257293244,43.091259763954,41.638529193658,42.023358483803,6983428.0
2015-02-28,48.88,48.95,48.215,48.3,1299063.0,0.0,1.0,47.026139255684,47.093484381459,46.386360560818,46.468136784974,1299063.0
2015-03-31,48.15,48.39,47.94,48.18,653549.0,0.0,1.0,46.32382580117,46.554723375257,46.121790423844,46.352687997931,653549.0
2015-04-30,46.05,46.12,45.51,45.83,1393272.0,0.0,1.0,44.30347202791,44.370817153685,43.783952486215,44.09181591833,1393272.0
2015-05-31,45.86,46.27,45.72,45.84,1813568.0,0.0,1.0,44.466120570973,44.863658936304,44.330375763299,44.446728455591,1813568.0
