Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-11-30,33.53,34.25,33.36,34.2,57476900.0,0.0,1.0,28.72880770728,29.34571022888,28.583150167458,29.302869775991,57476900.0
2010-12-31,36.84,36.96,36.57,36.86,6163900.0,0.0,1.0,31.564845688524,31.667662775457,31.333507242924,31.581981869679,6163900.0
2011-01-31,36.89,37.05,35.89,36.49,13954800.0,0.0,1.0,31.607686141412,31.744775590657,30.750877083635,31.264962518301,13954800.0
2011-02-28,33.49,33.74,32.86,33.53,15886400.0,0.0,1.0,28.694535344969,28.908737609413,28.154745638569,28.72880770728,15886400.0
2011-03-31,31.4,31.55,31.0,31.03,8976600.0,0.0,1.0,26.903804414214,27.032325772881,26.561080791103,26.586785062836,8976600.0
2011-04-30,31.99,32.58,31.91,32.09,13774600.0,0.0,1.0,27.409321758303,27.914839102391,27.34077703368,27.49500266408,13774600.0
2011-05-31,31.44,31.87,31.13,31.81,22938900.0,0.0,1.0,26.938076776525,27.306504671369,26.672465968614,27.255096127903,22938900.0
2011-06-30,30.3,30.56,30.22,30.36,18645700.0,0.0,1.0,25.961314450659,26.184084805681,25.892769726036,26.012722994125,18645700.0
2011-07-31,27.62,28.1,27.31,27.68,12182900.0,0.0,1.0,23.665066175815,24.076334523548,23.399455367904,23.716474719282,12182900.0
2011-08-31,23.87,24.49,23.83,24.03,12329600.0,0.0,1.0,20.452032209149,20.983253824971,20.417759846838,20.589121658394,12329600.0
2011-09-30,20.44,20.5,20.1,20.18,10151100.0,0.0,1.0,17.513177140972,17.564585684439,17.221862061328,17.29040678595,10151100.0
2011-10-31,25.92,26.16,25.61,25.85,8853600.0,0.0,1.0,22.208490777593,22.41412495146,21.942879969682,22.148514143549,8853600.0
2011-11-30,21.02,21.31,20.94,21.29,11147700.0,0.0,1.0,18.010126394483,18.258601021239,17.941581669861,18.241464840083,11147700.0
2011-12-31,20.12,20.37,20.05,20.27,6971400.0,0.0,1.0,17.238998242484,17.453200506928,17.179021608439,17.36751960115,6971400.0
2012-01-31,24.53,24.59,23.95,24.02,9190800.0,0.0,1.0,21.017526187282,21.068934730749,20.520576933771,20.580553567816,9190800.0
2012-02-29,26.07,26.55,25.92,26.02,12018900.0,0.0,1.0,22.33701213626,22.748280483993,22.208490777593,22.294171683371,12018900.0
2012-03-31,25.49,25.78,25.1097,25.65,6035000.0,0.0,1.0,21.840062882749,22.088537509504,21.514218398076,21.977152331993,6035000.0
2012-04-30,23.38,23.49,22.8,23.0,8279100.0,0.0,1.0,20.032195770838,20.126444767194,19.535246517327,19.706608328883,8279100.0
2012-05-31,22.26,22.41,22.0,22.2,6009300.0,0.0,1.0,19.072569626127,19.201090984794,18.849799271105,19.021161082661,6009300.0
2012-06-30,20.0,20.0,19.24,19.72,13447400.0,0.0,1.0,17.13618115555,17.13618115555,16.485006271639,16.896274619373,13447400.0
2012-07-31,19.46,19.77,19.37,19.71,5607600.0,0.0,1.0,16.67350426435,16.939115072261,16.59639144915,16.887706528795,5607600.0
2012-08-31,21.3,21.48,21.105,21.35,5826200.0,0.0,1.0,18.250032930661,18.404258561061,18.082955164394,18.29287338355,5826200.0
2012-09-30,23.0,23.1,22.7072,22.75,8614500.0,0.0,1.0,19.706608328883,19.792289234661,19.455734636766,19.492406064438,8614500.0
2012-10-31,24.3,25.72,23.895,25.5,24700200.0,0.0,1.0,20.820460103994,22.037128966038,20.473452435594,21.848630973327,24700200.0
2012-11-30,25.89,26.17,25.58,25.88,6538600.0,0.0,1.0,22.18278650586,22.422693042038,21.917175697949,22.174218415282,6538600.0
2012-12-31,27.76,28.9,27.62,28.83,13243300.0,0.0,1.0,23.785019443904,24.76178176977,23.665066175815,24.701805135726,13243300.0
2013-01-31,27.8,28.14,27.61,28.09,8685200.0,0.0,1.0,23.819291806215,24.110606885859,23.656498085237,24.06776643297,8685200.0
2013-02-28,27.5,27.57,26.89,27.15,10305500.0,0.0,1.0,23.562249088882,23.622225722926,23.039595563637,23.262365918659,10305500.0
2013-03-31,28.02,28.09,27.64,27.82,9331000.0,0.0,1.0,24.007789798926,24.06776643297,23.68220235697,23.83642798737,9331000.0
2013-04-30,30.77,30.97,30.57,30.84,8117200.0,0.0,1.0,26.364014707814,26.53537651937,26.192652896259,26.423991341859,8117200.0
2013-05-31,34.53,34.78,33.89,33.89,10137400.0,0.0,1.0,29.585616765058,29.799819029502,29.03725896808,29.03725896808,10137400.0
2013-06-30,33.02,33.72,32.8,33.31,15813400.0,0.0,1.0,28.291835087814,28.891601428258,28.103337095102,28.540309714569,15813400.0
2013-07-31,36.62,36.72,35.67,35.87,20696300.0,0.0,1.0,31.376347695813,31.46202860159,30.562379090924,30.733740902479,20696300.0
2013-08-31,34.5,34.5399,33.9,34.08,8099400.0,0.0,1.0,29.559912493324,29.59409917473,29.045827058658,29.200052689058,8099400.0
2013-09-30,35.71,36.315,35.62,35.97,17724400.0,0.0,1.0,30.596651453235,31.11502093319,30.519538638035,30.819421808257,17724400.0
2013-10-31,37.18,37.99,36.95,36.95,28102800.0,0.0,1.0,31.856160768168,32.550176104968,31.659094684879,31.659094684879,28102800.0
2013-11-30,38.9,39.15,38.5,38.73,7672100.0,0.0,1.0,33.329872347545,33.54407461199,32.987148724434,33.184214807723,7672100.0
2013-12-31,40.7,41.04,40.58,40.87,11100900.0,0.0,1.0,34.872128651545,35.163443731189,34.769311564612,35.017786191367,11100900.0
2014-01-31,36.22,36.84,35.88,36.08,27201000.0,0.0,1.0,31.033624072702,31.564845688524,30.742308993057,30.913670804613,27201000.0
2014-02-28,36.73,36.76,35.89,36.2,44345100.0,0.0,1.0,31.470596692168,31.496300963901,30.750877083635,31.016487891546,44345100.0
2014-03-31,34.53,34.79,33.95,34.42,24292600.0,0.0,1.0,29.845977135533,30.070707921958,29.344654611971,29.750898725892,24292600.0
2014-04-30,33.84,34.54,33.84,34.48,14037800.0,0.0,1.0,29.24957620233,29.854620627319,29.24957620233,29.802759676605,14037800.0
2014-05-31,34.3,34.64,34.2,34.58,14172100.0,0.0,1.0,29.647176824465,29.941055545174,29.56074190661,29.889194594461,14172100.0
2014-06-30,36.59,36.9,35.98,36.3,20880200.0,0.0,1.0,31.886124977777,32.156272524733,31.354544320864,31.633406304819,20880200.0
2014-07-31,34.15,34.24,33.78,33.82,13408400.0,0.0,1.0,29.759802350125,29.838232283113,29.437368181178,29.472225929173,13408400.0
2014-08-31,34.74,34.85,34.61,34.8,5548700.0,0.0,1.0,30.273954133041,30.369812940025,30.16066645206,30.326240755033,5548700.0
2014-09-30,32.24,32.54,31.67,31.94,24790459.0,0.0,1.0,28.348912978014,28.612705592573,27.84770701035,28.085120363454,24790459.0
2014-10-31,31.15,31.62,30.95,31.4,15538961.0,0.0,1.0,27.390466478447,27.80374157459,27.214604735407,27.610293657246,15538961.0
2014-11-30,32.4,33.54,32.23,33.43,14039802.0,0.0,1.0,28.489602372445,29.492014307772,28.340119890862,29.3952903491,14039802.0
2014-12-31,35.24,35.45,34.89,34.91,12279685.0,0.0,1.0,31.27129603111,31.457645979082,30.96071278449,30.978460398582,12279685.0
2015-01-31,32.88,33.15,32.62,32.62,19164211.0,0.0,1.0,29.177077568186,29.416670358436,28.946358584983,28.946358584983,19164211.0
2015-02-28,37.38,37.45,37.11,37.31,10490184.0,0.0,1.0,33.170290739015,33.232407388339,32.930697948765,33.108174089691,10490184.0
2015-03-31,37.68,38.04,37.465,37.5,12633263.0,0.0,1.0,33.702860539493,34.024862391781,33.51055387771,33.541859613349,12633263.0
2015-04-30,35.26,35.43,34.93,35.06,15783001.0,0.0,1.0,31.538292532445,31.690348962692,31.243124167848,31.359402614507,15783001.0
2015-05-31,36.49,36.575,35.85,35.97,15803569.0,0.0,1.0,32.638465527763,32.714493742887,32.066017790362,32.173351741125,15803569.0
