Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2011-03-31,34.0,34.11,33.665,33.87,1960600.0,0.0,1.0,27.18082262377372,27.268760579321224,26.913011577333595,27.07689594903576,1960600.0
2011-04-30,32.5,32.86,32.03,32.8,1233900.0,0.0,1.0,25.981668684489584,26.26946562991778,25.60593378351389,26.22149947234641,1233900.0
2011-05-31,34.99,35.31,34.56,34.89,8113400.0,0.0,1.0,27.972264223701252,28.228083730748533,27.628506761106465,27.892320627748973,8113400.0
2011-06-30,32.78,33.39,32.63,33.0,1479200.0,0.0,1.0,26.20551075315596,26.69316668846484,26.085595359227547,26.381386664250964,1479200.0
2011-07-31,27.03,27.15,26.5,26.68,4122700.0,0.0,1.0,21.60875398590011,21.704686301042837,21.18505292735305,21.328951400067144,4122700.0
2011-08-31,19.89,20.41,19.75,20.03,2863200.0,0.0,1.0,15.900781234907626,16.31648793385946,15.78886020057444,16.012702269240812,2863200.0
2011-09-30,19.52,20.31,19.47,20.16,4126700.0,0.0,1.0,15.604989929884207,16.236544337907183,15.565018131908067,16.11662894397877,4126700.0
2011-10-31,22.68,23.73,22.52,23.45,4239400.0,0.0,1.0,18.131207561976115,18.970615319475012,18.003297808452476,18.746773250808637,4239400.0
2011-11-30,24.68,24.73,23.91,24.38,3441400.0,0.0,1.0,19.73007948102163,19.77005127899777,19.114513792189108,19.4902486931648,3441400.0
2011-12-31,21.22,22.35,21.22,22.03,1972500.0,0.0,1.0,16.96403106107289,17.867393695333607,16.96403106107289,17.611574188286326,1972500.0
2012-01-31,25.13,25.45,24.275,24.44,3674000.0,0.0,1.0,20.08982566280687,20.34564516985415,19.406307917414914,19.538214850736168,3674000.0
2012-02-29,26.96,27.37,26.36,26.67,2453400.0,0.0,1.0,23.27083200749266,23.624728191582868,22.752935152726504,23.020515194355685,2453400.0
2012-03-31,23.92,25.0,23.87,24.74,3719300.0,0.0,1.0,20.646821276677468,21.579035615256547,20.603663205446953,21.354613644857878,3719300.0
2012-04-30,27.38,27.45,26.68,26.92,1685900.0,0.0,1.0,23.63335980582897,23.69378110555169,23.029146808601787,23.236305550508252,1685900.0
2012-05-31,25.92,26.1,25.19,25.99,1912300.0,0.0,1.0,22.37314412589799,22.52851318232784,21.743036285932497,22.433565425620706,1912300.0
2012-06-30,29.79,31.39,29.79,30.43,8294800.0,0.0,1.0,25.7135788391397,27.094637118516122,25.7135788391397,26.26600215089027,8294800.0
2012-07-31,27.11,27.14,26.32,26.48,2355400.0,0.0,1.0,23.4003062211842,23.42620106392251,22.718408695742095,22.856514523679735,2355400.0
2012-08-31,28.57,28.87,28.44,28.55,1304200.0,0.0,1.0,24.66052190111518,24.919470328498264,24.54831091591585,24.643258672622977,1304200.0
2012-09-30,32.78,33.55,32.78,33.25,3565200.0,0.0,1.0,28.294431498724386,28.959065795674285,28.294431498724386,28.70011736829121,3565200.0
2012-10-31,29.63,29.65,28.4,28.41,3180100.0,2.5,1.0,27.826042617960425,27.844824961948248,26.670928462709284,26.680319634703196,3180100.0
2012-11-30,31.46,31.95,31.46,31.75,2925300.0,0.0,1.0,29.544627092846273,30.004794520547943,29.544627092846273,29.81697108066971,2925300.0
2012-12-31,30.15,30.59,29.86,30.17,5035300.0,0.0,1.0,30.15,30.59,29.86,30.17,5035300.0
2013-01-31,37.78,38.0,37.58,37.65,1788200.0,0.0,1.0,37.78,38.0,37.58,37.65,1788200.0
2013-02-28,36.6,37.65,36.53,37.09,8893200.0,0.0,1.0,36.6,37.65,36.53,37.09,8893200.0
2013-03-31,40.43,40.92,40.42,40.63,3415000.0,0.0,1.0,40.43,40.92,40.42,40.63,3415000.0
2013-04-30,40.26,40.85,39.56,39.89,4421100.0,0.0,1.0,40.26,40.85,39.56,39.89,4421100.0
2013-05-31,38.78,39.67,38.53,39.06,2975900.0,0.0,1.0,38.78,39.67,38.53,39.06,2975900.0
2013-06-30,36.23,36.47,35.4,36.06,16042800.0,0.0,1.0,36.23,36.47,35.4,36.06,16042800.0
2013-07-31,39.11,39.21,38.84,39.0,3357300.0,0.0,1.0,39.11,39.21,38.84,39.0,3357300.0
2013-08-31,38.71,38.87,37.99,38.19,2079000.0,0.0,1.0,38.71,38.87,37.99,38.19,2079000.0
2013-09-30,41.96,43.0,41.77,42.75,3834200.0,0.0,1.0,41.96,43.0,41.77,42.75,3834200.0
2013-10-31,46.69,47.45,46.67,47.14,5919700.0,0.0,1.0,46.69,47.45,46.67,47.14,5919700.0
2013-11-30,46.83,47.19,46.33,46.42,1462800.0,0.0,1.0,46.83,47.19,46.33,46.42,1462800.0
2013-12-31,47.25,47.98,47.18,47.71,1499800.0,0.0,1.0,47.25,47.98,47.18,47.71,1499800.0
2014-01-31,48.85,50.75,48.81,50.27,2629200.0,0.0,1.0,48.85,50.75,48.81,50.27,2629200.0
2014-02-28,51.61,52.23,50.82,51.2,3005400.0,0.0,1.0,51.61,52.23,50.82,51.2,3005400.0
2014-03-31,51.75,52.68,51.75,52.5,3919100.0,0.0,1.0,51.75,52.68,51.75,52.5,3919100.0
2014-04-30,51.62,52.4,51.4,52.0,4750100.0,0.0,1.0,51.62,52.4,51.4,52.0,4750100.0
2014-05-31,53.3,53.52,52.87,52.99,2607800.0,0.0,1.0,53.3,53.52,52.87,52.99,2607800.0
2014-06-30,55.62,56.83,55.521,56.38,3023600.0,0.0,1.0,55.62,56.83,55.521,56.38,3023600.0
2014-07-31,65.53,65.57,64.51,65.31,4663300.0,0.0,1.0,65.53,65.57,64.51,65.31,4663300.0
2014-08-31,68.98,70.07,68.98,69.82,1779800.0,0.0,1.0,68.98,70.07,68.98,69.82,1779800.0
2014-09-30,72.0,72.189,70.43,70.52,3417824.0,0.0,1.0,72.0,72.189,70.43,70.52,3417824.0
2014-10-31,70.58,70.895,68.91,70.05,3329165.0,0.0,1.0,70.58,70.895,68.91,70.05,3329165.0
2014-11-30,69.05,70.01,68.8,69.69,1031277.0,0.0,1.0,69.05,70.01,68.8,69.69,1031277.0
2014-12-31,74.54,74.915,73.3,73.39,1470208.0,0.0,1.0,74.54,74.915,73.3,73.39,1470208.0
2015-01-31,71.52,72.37,70.6,70.8,5436696.0,0.0,1.0,71.52,72.37,70.6,70.8,5436696.0
2015-02-28,72.33,72.57,71.35,71.54,2787838.0,0.0,1.0,72.33,72.57,71.35,71.54,2787838.0
2015-03-31,76.06,76.69,75.22,75.23,2111562.0,0.0,1.0,76.06,76.69,75.22,75.23,2111562.0
2015-04-30,75.71,76.27,73.88,74.01,5310482.0,0.0,1.0,75.71,76.27,73.88,74.01,5310482.0
2015-05-31,81.53,82.39,81.17,81.83,3423091.0,0.0,1.0,81.53,82.39,81.17,81.83,3423091.0
2015-06-30,91.58,91.58,90.31,90.72,4654572.0,0.0,1.0,91.58,91.58,90.31,90.72,4654572.0
2015-07-31,93.65,94.31,92.78,93.01,1800420.0,0.0,1.0,93.65,94.31,92.78,93.01,1800420.0
2015-08-31,89.0,89.6099,86.13,86.62,2650415.0,0.0,1.0,89.0,89.6099,86.13,86.62,2650415.0
2015-09-30,75.0,77.98,74.5,77.36,5818576.0,0.0,1.0,75.0,77.98,74.5,77.36,5818576.0
2015-10-31,68.39,69.86,68.01,68.79,6279310.0,0.0,1.0,68.39,69.86,68.01,68.79,6279310.0
2015-11-30,69.51,69.71,68.02,68.06,3925883.0,0.0,1.0,69.51,69.71,68.02,68.06,3925883.0
2015-12-31,67.95,68.86,67.6,67.63,2320243.0,0.0,1.0,67.95,68.86,67.6,67.63,2320243.0
2016-01-31,68.0,71.27,67.75,69.58,7218028.0,0.0,1.0,68.0,71.27,67.75,69.58,7218028.0
2016-02-29,70.28,70.54,69.19,69.21,3578852.0,0.0,1.0,70.28,70.54,69.19,69.21,3578852.0
2016-03-31,77.92,78.7,77.84,78.05,2312094.0,0.0,1.0,77.92,78.7,77.84,78.05,2312094.0
2016-04-30,81.47,81.515,79.3,80.62,3281554.0,0.0,1.0,81.47,81.515,79.3,80.62,3281554.0
2016-05-31,77.5,78.11,77.26,78.02,2633982.0,0.0,1.0,77.5,78.11,77.26,78.02,2633982.0
2016-06-30,77.17,77.5,76.21,77.01,2473825.0,0.0,1.0,77.17,77.5,76.21,77.01,2473825.0
2016-07-31,76.73,77.86,75.95,77.13,3725746.0,0.0,1.0,76.73,77.86,75.95,77.13,3725746.0
2016-08-31,75.85,76.15,75.0,75.55,1932636.0,0.0,1.0,75.85,76.15,75.0,75.55,1932636.0
2016-09-30,75.52,75.89,74.74,75.63,2572638.0,0.0,1.0,75.52,75.89,74.74,75.63,2572638.0
2016-10-31,77.42,77.48,76.25,76.53,3310180.0,0.0,1.0,77.42,77.48,76.25,76.53,3310180.0
2016-11-30,71.72,71.8,70.33,70.89,2367434.0,0.0,1.0,71.72,71.8,70.33,70.89,2367434.0
2016-12-31,73.85,74.26,72.855,74.02,1711055.0,0.0,1.0,73.85,74.26,72.855,74.02,1711055.0
2017-01-31,79.7,80.49,78.5,80.28,3077325.0,0.0,1.0,79.7,80.49,78.5,80.28,3077325.0
2017-02-28,86.88,87.62,86.78,87.24,2171377.0,0.0,1.0,86.88,87.62,86.78,87.24,2171377.0
2017-03-31,89.09,89.29,88.54,88.99,1709537.0,0.0,1.0,89.09,89.29,88.54,88.99,1709537.0
2017-04-30,83.6,84.345,83.6,84.21,1463235.0,0.0,1.0,83.6,84.345,83.6,84.21,1463235.0
2017-05-31,81.94,82.58,81.73,81.91,2722738.0,0.0,1.0,81.94,82.58,81.73,81.91,2722738.0
2017-06-30,87.23,87.79,87.095,87.2,1716638.0,0.0,1.0,87.23,87.79,87.095,87.2,1716638.0
2017-07-31,80.33,80.575,79.53,80.34,1882534.0,0.0,1.0,80.33,80.575,79.53,80.34,1882534.0
2017-08-31,77.61,78.88,77.57,78.66,2082112.0,0.0,1.0,77.61,78.88,77.57,78.66,2082112.0
2017-09-30,79.11,79.71,78.97,79.59,1452514.0,0.0,1.0,79.11,79.71,78.97,79.59,1452514.0
2017-10-31,76.16,77.61,74.99,75.65,3475970.0,0.0,1.0,76.16,77.61,74.99,75.65,3475970.0
2017-11-30,82.74,86.04,82.74,85.0,8234327.0,0.0,1.0,82.74,86.04,82.74,85.0,8234327.0
2017-12-31,88.48,89.06,87.78,87.84,1233601.0,0.0,1.0,88.48,89.06,87.78,87.84,1233601.0
2018-01-31,102.0,103.18,100.24,101.16,3632966.0,0.0,1.0,102.0,103.18,100.24,101.16,3632966.0
2018-02-28,101.23,101.87,99.23,99.25,2885708.0,0.0,1.0,101.23,101.87,99.23,99.25,2885708.0
2018-03-31,98.25,98.92,96.93,97.43,2093626.0,0.0,1.0,98.25,98.92,96.93,97.43,2093626.0
