Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-06-30,62.65,62.91,61.82,61.85,3546376.0,0.0,1.0,62.499856207062,62.75923310433,61.671845342707,61.701773446237,3546376.0
2017-07-31,62.81,62.87,62.29,62.53,2062324.0,0.0,1.0,62.659472759227,62.719328966289,62.140718964691,62.380143792938,2062324.0
2017-08-31,64.33,64.76,64.03,64.33,2786136.0,0.0,1.0,64.33,64.76,64.03,64.33,2786136.0
2017-09-30,68.95,69.45,68.435,69.45,7036155.0,0.0,1.0,68.95,69.45,68.435,69.45,7036155.0
2017-10-31,72.65,72.85,72.25,72.28,2685453.0,0.0,1.0,72.65,72.85,72.25,72.28,2685453.0
2017-11-30,76.57,77.79,76.13,77.56,2436454.0,0.0,1.0,76.57,77.79,76.13,77.56,2436454.0
2017-12-31,80.79,80.94,79.84,79.86,1514079.0,0.0,1.0,80.79,80.94,79.84,79.86,1514079.0
2018-01-31,86.52,87.0,85.63,85.65,1829903.0,0.0,1.0,86.52,87.0,85.63,85.65,1829903.0
2018-02-28,80.4,82.08,79.78,80.79,4021001.0,0.0,1.0,80.4,82.08,79.78,80.79,4021001.0
2018-03-31,80.16,80.55,78.48,78.79,1527570.0,0.0,1.0,80.16,80.55,78.48,78.79,1527570.0
