Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,11.9,12.075,11.6399,11.79,3517700.0,0.0,1.0,11.9,12.075,11.6399,11.79,3517700.0
2009-02-28,11.96,11.98,11.27,11.32,4671000.0,0.0,1.0,11.96,11.98,11.27,11.32,4671000.0
2009-03-31,13.0,13.42,13.0,13.09,2532100.0,0.0,1.0,13.0,13.42,13.0,13.09,2532100.0
2009-04-30,15.16,15.91,14.53,14.86,5028900.0,0.0,1.0,15.16,15.91,14.53,14.86,5028900.0
2009-05-31,12.64,12.67,12.27,12.67,2939900.0,0.0,1.0,12.64,12.67,12.27,12.67,2939900.0
2009-06-30,14.175,14.35,14.0,14.25,2870100.0,0.0,1.0,14.175,14.35,14.0,14.25,2870100.0
2009-07-31,14.76,14.97,14.63,14.69,3338300.0,0.0,1.0,14.76,14.97,14.63,14.69,3338300.0
2009-08-31,16.29,16.54,15.955,16.46,4413100.0,0.0,1.0,16.29,16.54,15.955,16.46,4413100.0
2009-09-30,16.57,16.66,15.99,16.34,2889900.0,0.0,1.0,16.57,16.66,15.99,16.34,2889900.0
2009-10-31,15.23,15.3,14.74,14.78,3853800.0,0.0,1.0,15.23,15.3,14.74,14.78,3853800.0
2009-11-30,14.46,14.48,14.235,14.47,3954800.0,0.0,1.0,14.46,14.48,14.235,14.47,3954800.0
2009-12-31,14.65,14.71,14.46,14.5,1595800.0,0.0,1.0,14.65,14.71,14.46,14.5,1595800.0
2010-01-31,15.12,15.31,15.06,15.07,3172700.0,0.0,1.0,15.12,15.31,15.06,15.07,3172700.0
2010-02-28,16.99,17.31,16.91,17.25,5053500.0,0.0,1.0,16.99,17.31,16.91,17.25,5053500.0
2010-03-31,18.34,18.84,18.3,18.54,4013200.0,0.0,1.0,18.34,18.84,18.3,18.54,4013200.0
2010-04-30,17.92,18.21,17.77,17.88,3508900.0,0.0,1.0,17.92,18.21,17.77,17.88,3508900.0
2010-05-31,14.72,15.0404,14.59,14.9,2256200.0,0.0,1.0,14.72,15.0404,14.59,14.9,2256200.0
2010-06-30,13.66,14.15,13.5,13.93,5253200.0,0.0,1.0,13.66,14.15,13.5,13.93,5253200.0
2010-07-31,13.82,14.25,13.76,14.14,2336300.0,0.0,1.0,13.82,14.25,13.76,14.14,2336300.0
2010-08-31,14.06,14.32,13.94,14.18,2801700.0,0.0,1.0,14.06,14.32,13.94,14.18,2801700.0
2010-09-30,16.2,16.4,15.85,16.01,3562300.0,0.0,1.0,16.2,16.4,15.85,16.01,3562300.0
2010-10-31,15.99,16.0699,15.9,16.03,1700900.0,0.0,1.0,15.99,16.0699,15.9,16.03,1700900.0
2010-11-30,16.31,16.5,16.2,16.4,2740600.0,0.0,1.0,16.31,16.5,16.2,16.4,2740600.0
2010-12-31,18.93,19.08,18.8,18.82,1262100.0,0.0,1.0,18.93,19.08,18.8,18.82,1262100.0
2011-01-31,19.82,20.02,19.65,19.92,3837800.0,0.0,1.0,19.82,20.02,19.65,19.92,3837800.0
2011-02-28,20.68,20.76,20.09,20.18,2374300.0,0.0,1.0,20.68,20.76,20.09,20.18,2374300.0
2011-03-31,22.31,22.4,22.11,22.2,1505600.0,0.0,1.0,22.31,22.4,22.11,22.2,1505600.0
2011-04-30,21.96,22.1,21.83,22.02,2400000.0,0.0,1.0,21.96,22.1,21.83,22.02,2400000.0
2011-05-31,21.14,21.5,20.96,21.5,2181600.0,0.0,1.0,21.14,21.5,20.96,21.5,2181600.0
2011-06-30,19.89,20.25,19.73,20.17,3234000.0,0.0,1.0,19.89,20.25,19.73,20.17,3234000.0
2011-07-31,18.3,18.65,18.22,18.57,3159900.0,0.0,1.0,18.3,18.65,18.22,18.57,3159900.0
2011-08-31,16.74,17.1,16.46,16.64,1760900.0,0.0,1.0,16.74,17.1,16.46,16.64,1760900.0
2011-09-30,15.37,15.56,15.19,15.21,1810600.0,0.0,1.0,15.37,15.56,15.19,15.21,1810600.0
2011-10-31,16.6199,16.6199,15.99,16.12,2156700.0,0.0,1.0,16.6199,16.6199,15.99,16.12,2156700.0
2011-11-30,17.11,17.62,17.0,17.61,2811100.0,0.0,1.0,17.11,17.62,17.0,17.61,2811100.0
2011-12-31,17.55,17.79,17.475,17.51,1081700.0,0.0,1.0,17.55,17.79,17.475,17.51,1081700.0
2012-01-31,20.38,21.06,20.01,20.39,7561700.0,0.0,1.0,20.38,21.06,20.01,20.39,7561700.0
2012-02-29,21.37,21.39,20.66,20.73,5177300.0,0.0,1.0,21.37,21.39,20.66,20.73,5177300.0
2012-03-31,21.87,21.89,21.52,21.55,1851400.0,0.0,1.0,21.87,21.89,21.52,21.55,1851400.0
2012-04-30,20.14,20.24,18.8,19.12,27896300.0,0.0,1.0,20.14,20.24,18.8,19.12,27896300.0
2012-05-31,16.8,16.97,16.6,16.76,3450200.0,0.0,1.0,16.8,16.97,16.6,16.76,3450200.0
2012-06-30,18.02,18.31,17.96,18.04,3489100.0,0.0,1.0,18.02,18.31,17.96,18.04,3489100.0
2012-07-31,18.73,19.15,18.51,18.52,4438000.0,0.0,1.0,18.73,19.15,18.51,18.52,4438000.0
2012-08-31,19.83,19.9,19.405,19.63,1196200.0,0.0,1.0,19.83,19.9,19.405,19.63,1196200.0
2012-09-30,20.32,20.366,20.11,20.22,1851600.0,0.0,1.0,20.32,20.366,20.11,20.22,1851600.0
2012-10-31,20.53,20.65,20.18,20.62,2779900.0,0.0,1.0,20.53,20.65,20.18,20.62,2779900.0
2012-11-30,18.97,19.12,18.83,19.08,4730600.0,0.0,1.0,18.97,19.12,18.83,19.08,4730600.0
2012-12-31,19.92,20.0912,19.76,20.0101,1622500.0,0.0,1.0,19.92,20.0912,19.76,20.0101,1622500.0
2013-01-31,23.56,23.96,23.46,23.84,2031600.0,0.0,1.0,23.56,23.96,23.46,23.84,2031600.0
2013-02-28,22.07,22.18,21.81,21.82,1875400.0,0.0,1.0,22.07,22.18,21.81,21.82,1875400.0
2013-03-31,22.32,22.63,22.3,22.6,1411200.0,0.0,1.0,22.32,22.63,22.3,22.6,1411200.0
2013-04-30,20.38,20.43,20.12,20.365,4058600.0,0.0,1.0,20.38,20.43,20.12,20.365,4058600.0
2013-05-31,20.52,20.99,20.51,20.75,4017200.0,0.0,1.0,20.52,20.99,20.51,20.75,4017200.0
2013-06-30,19.0,19.52,18.9,19.3,9093400.0,0.0,1.0,19.0,19.52,18.9,19.3,9093400.0
2013-07-31,22.4,22.845,22.35,22.7,3226300.0,0.0,1.0,22.4,22.845,22.35,22.7,3226300.0
2013-08-31,21.6,21.6,21.28,21.34,1673600.0,0.0,1.0,21.6,21.6,21.28,21.34,1673600.0
