Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,3.0,3.14,2.9,2.93,409600.0,0.0,1.0,3.0,3.14,2.9,2.93,409600.0
2009-02-28,2.43,2.53,2.18,2.31,952000.0,0.0,1.0,2.43,2.53,2.18,2.31,952000.0
2009-03-31,2.26,2.5,2.18,2.34,1322700.0,0.0,1.0,2.26,2.5,2.18,2.34,1322700.0
2009-04-30,2.23,2.47,2.23,2.36,920100.0,0.0,1.0,2.23,2.47,2.23,2.36,920100.0
2009-05-31,3.01,3.45,2.98,3.29,2193600.0,0.0,1.0,3.01,3.45,2.98,3.29,2193600.0
2009-06-30,3.47,3.47,3.25,3.29,1128600.0,0.0,1.0,3.47,3.47,3.25,3.29,1128600.0
2009-07-31,5.31,5.49,5.1,5.2,1817100.0,0.0,1.0,5.31,5.49,5.1,5.2,1817100.0
2009-08-31,6.71,6.73,6.5,6.59,1149000.0,0.0,1.0,6.71,6.73,6.5,6.59,1149000.0
2009-09-30,6.85,6.85,6.45,6.75,3679100.0,0.0,1.0,6.85,6.85,6.45,6.75,3679100.0
2009-10-31,5.96,6.0,5.67,5.89,4811100.0,0.0,1.0,5.96,6.0,5.67,5.89,4811100.0
2009-11-30,8.44,8.5,8.02,8.33,5084400.0,0.0,1.0,8.44,8.5,8.02,8.33,5084400.0
2009-12-31,9.33,9.41,9.09,9.11,1267900.0,0.0,1.0,9.33,9.41,9.09,9.11,1267900.0
2010-01-31,10.5,10.85,10.38,10.68,4703000.0,0.0,1.0,10.5,10.85,10.38,10.68,4703000.0
2010-02-28,10.73,10.8,10.5,10.66,1191700.0,0.0,1.0,10.73,10.8,10.5,10.66,1191700.0
2010-03-31,13.89,14.22,13.88,13.93,979200.0,0.0,1.0,13.89,14.22,13.88,13.93,979200.0
2010-04-30,13.64,13.84,13.25,13.44,1255300.0,0.0,1.0,13.64,13.84,13.25,13.44,1255300.0
2010-05-31,13.11,13.325,12.73,12.89,1373800.0,0.0,1.0,13.11,13.325,12.73,12.89,1373800.0
2010-06-30,11.21,11.63,10.98,11.07,1558800.0,0.0,1.0,11.21,11.63,10.98,11.07,1558800.0
2010-07-31,12.66,13.25,12.66,13.02,1423700.0,0.0,1.0,12.66,13.25,12.66,13.02,1423700.0
2010-08-31,12.31,12.77,12.19,12.51,2041600.0,0.0,1.0,12.31,12.77,12.19,12.51,2041600.0
2010-09-30,15.91,16.05,15.735,15.99,2330500.0,0.0,1.0,15.91,16.05,15.735,15.99,2330500.0
2010-10-31,16.57,17.15,16.52,16.66,1159900.0,0.0,1.0,16.57,17.15,16.52,16.66,1159900.0
2010-11-30,14.87,14.94,14.51,14.51,2098700.0,0.0,1.0,14.87,14.94,14.51,14.51,2098700.0
2010-12-31,16.79,16.92,16.56,16.56,1093300.0,0.0,1.0,16.79,16.92,16.56,16.56,1093300.0
2011-01-31,14.77,15.02,14.56,14.74,1454400.0,0.0,1.0,14.77,15.02,14.56,14.74,1454400.0
2011-02-28,13.94,13.99,13.51,13.68,1107600.0,0.0,1.0,13.94,13.99,13.51,13.68,1107600.0
2011-03-31,15.24,15.85,15.17,15.85,2041300.0,0.0,1.0,15.24,15.85,15.17,15.85,2041300.0
2011-04-30,18.77,18.8,18.2937,18.48,2023400.0,0.0,1.0,18.77,18.8,18.2937,18.48,2023400.0
2011-05-31,17.97,18.21,17.57,17.73,2125800.0,0.0,1.0,17.97,18.21,17.57,17.73,2125800.0
2011-06-30,19.08,19.3,18.91,18.94,915800.0,0.0,1.0,19.08,19.3,18.91,18.94,915800.0
2011-07-31,17.19,17.65,16.89,17.44,1503300.0,0.0,1.0,17.19,17.65,16.89,17.44,1503300.0
2011-08-31,15.71,16.18,15.61,16.07,1137200.0,0.0,1.0,15.71,16.18,15.61,16.07,1137200.0
2011-09-30,13.88,14.54,13.69,13.97,1471400.0,0.0,1.0,13.88,14.54,13.69,13.97,1471400.0
2011-10-31,14.3,14.45,13.75,13.77,1490200.0,0.0,1.0,14.3,14.45,13.75,13.77,1490200.0
2011-11-30,12.93,13.77,12.5,13.77,3633000.0,0.0,1.0,12.93,13.77,12.5,13.77,3633000.0
2011-12-31,14.98,15.17,14.9301,15.01,660000.0,0.0,1.0,14.98,15.17,14.9301,15.01,660000.0
2012-01-31,17.58,17.85,17.333,17.7,1631900.0,0.0,1.0,17.58,17.85,17.333,17.7,1631900.0
2012-02-29,16.8,17.4,16.8,16.96,1119400.0,0.0,1.0,16.8,17.4,16.8,16.96,1119400.0
2012-03-31,20.24,20.6,19.26,19.3,1848100.0,0.0,1.0,20.24,20.6,19.26,19.3,1848100.0
2012-04-30,22.85,23.15,22.54,22.66,5770500.0,0.0,1.0,22.85,23.15,22.54,22.66,5770500.0
2012-05-31,22.16,22.27,20.85,21.31,1849100.0,0.0,1.0,22.16,22.27,20.85,21.31,1849100.0
2012-06-30,22.94,23.07,22.44,22.7,743300.0,0.0,1.0,22.94,23.07,22.44,22.7,743300.0
2012-07-31,25.5,25.85,24.945,24.99,1503600.0,0.0,1.0,25.5,25.85,24.945,24.99,1503600.0
2012-08-31,19.98,20.13,19.81,20.01,580900.0,0.0,1.0,19.98,20.13,19.81,20.01,580900.0
2012-09-30,17.75,18.13,17.71,18.05,1055100.0,0.0,1.0,17.75,18.13,17.71,18.05,1055100.0
2012-10-31,16.2,16.46,15.43,15.96,2455300.0,0.0,1.0,16.2,16.46,15.43,15.96,2455300.0
2012-11-30,17.99,17.99,17.53,17.6,809700.0,0.0,1.0,17.99,17.99,17.53,17.6,809700.0
2012-12-31,16.08,16.66,15.99,16.61,1735400.0,0.0,1.0,16.08,16.66,15.99,16.61,1735400.0
2013-01-31,17.86,18.49,17.79,18.38,1709200.0,0.0,1.0,17.86,18.49,17.79,18.38,1709200.0
2013-02-28,21.64,22.2901,21.6,22.23,1554800.0,0.0,1.0,21.64,22.2901,21.6,22.23,1554800.0
2013-03-31,22.61,23.44,22.59,23.41,903700.0,0.0,1.0,22.61,23.44,22.59,23.41,903700.0
2013-04-30,22.02,22.34,21.7,22.15,706000.0,0.0,1.0,22.02,22.34,21.7,22.15,706000.0
2013-05-31,22.56,22.73,22.17,22.17,430000.0,0.0,1.0,22.56,22.73,22.17,22.17,430000.0
2013-06-30,21.45,22.38,21.31,22.0,1401400.0,0.0,1.0,21.45,22.38,21.31,22.0,1401400.0
