Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-06-30,44.27,44.32,44.03,44.04,2445731.0,0.0,1.0,44.27,44.32,44.03,44.04,2445731.0
2017-07-31,46.52,46.74,46.14,46.65,1552992.0,0.0,1.0,46.52,46.74,46.14,46.65,1552992.0
2017-08-31,46.62,47.23,46.62,46.845,3183080.0,0.0,1.0,46.62,47.23,46.62,46.845,3183080.0
2017-09-30,44.16,44.38,43.96,44.08,3687646.0,0.0,1.0,44.16,44.38,43.96,44.08,3687646.0
2017-10-31,42.59,42.79,42.4,42.61,2496324.0,0.0,1.0,42.59,42.79,42.4,42.61,2496324.0
2017-11-30,44.31,44.87,44.21,44.62,1924996.0,0.0,1.0,44.31,44.87,44.21,44.62,1924996.0
2017-12-31,45.36,45.5,45.11,45.15,1105492.0,0.0,1.0,45.36,45.5,45.11,45.15,1105492.0
2018-01-31,47.82,48.06,47.59,47.73,2505388.0,0.0,1.0,47.82,48.06,47.59,47.73,2505388.0
2018-02-28,47.2,47.64,47.04,47.05,1847958.0,0.0,1.0,47.2,47.64,47.04,47.05,1847958.0
2018-03-31,50.0,50.0,48.16,48.6,3385787.0,0.0,1.0,50.0,50.0,48.16,48.6,3385787.0
