Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,13.45,13.5,12.9,12.9,47000100.0,0.0,1.0,9.9787813244417,10.015877165796,9.5707270695389,9.5707270695389,47000100.0
2009-02-28,12.51,13.14,12.49,12.74,69764500.0,0.0,1.0,9.3749957267824,9.8471178137426,9.3600077240217,9.5473577585297,69764500.0
2009-03-31,14.91,15.37,14.9,15.03,62044500.0,0.0,1.0,11.17355605806,11.518280121554,11.166062056679,11.263484074623,62044500.0
2009-04-30,15.61,16.16,15.5,15.78,77775200.0,0.0,1.0,11.698136154682,12.1103062306,11.615702139499,11.825534178148,77775200.0
2009-05-31,15.75,15.79,15.241,15.72,77293300.0,0.0,1.0,11.90530633888,11.935542037519,11.520557073706,11.882629564902,77293300.0
2009-06-30,16.38,16.64,16.24,16.55,67489500.0,0.0,1.0,12.381518592436,12.578050633585,12.275693647201,12.510020311649,67489500.0
2009-07-31,19.34,19.56,19.25,19.25,47557600.0,0.0,1.0,14.618960291679,14.78525663419,14.550929969743,14.550929969743,47557600.0
2009-08-31,20.09,20.38,19.97,20.32,53486200.0,0.0,1.0,15.298606213247,15.519442241213,15.207225787882,15.473752028531,53486200.0
2009-09-30,19.61,19.79,19.25,19.57,64725300.0,0.0,1.0,14.933084511786,15.070155149834,14.65894323569,14.902624369997,64725300.0
2009-10-31,19.31,19.34,18.7436,19.11,92276300.0,0.0,1.0,14.704633448373,14.727478554714,14.273317840648,14.55233273943,92276300.0
2009-11-30,19.11,19.26,19.0,19.2,48593600.0,0.0,1.0,14.661925347473,14.777011103733,14.577529126216,14.730976801229,48593600.0
2009-12-31,20.6,20.72,20.4,20.4,26429200.0,0.0,1.0,15.805110526319,15.897179131326,15.651662851306,15.651662851306,26429200.0
2010-01-31,20.13,20.2307,19.3,19.4,96053900.0,0.0,1.0,15.444508490039,15.521769394408,14.807700638736,14.884424476242,96053900.0
