Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,15.4,15.51,13.75,14.16,49747900.0,0.0,1.0,14.639181491027,14.743747073106,13.070697759845,13.460442202139,49747900.0
2009-02-28,14.3,14.65,14.01,14.21,12327000.0,0.0,1.0,13.593525670239,13.92623434049,13.317852772032,13.507972012175,12327000.0
2009-03-31,15.32,15.48,14.97,15.05,21029600.0,0.0,1.0,14.56313379497,14.715229187084,14.230425124719,14.306472820776,21029600.0
2009-04-30,21.43,22.35,21.39,21.65,12165800.0,0.0,1.0,20.371276581344,21.245825086003,20.333252733316,20.580407745502,12165800.0
2009-05-31,24.9,25.24,24.38,24.73,16601700.0,0.0,1.0,23.669845397829,23.993048106072,23.175535373457,23.508244043707,16601700.0
2009-06-30,23.47,23.93,23.26,23.6,16162400.0,0.0,1.0,22.310492830805,22.747767083134,22.110867628655,22.434070336898,16162400.0
2009-07-31,25.91,26.34,25.776,26.13,5778300.0,0.0,1.0,24.629947560552,25.03870392686,24.502567669656,24.83907872471,5778300.0
2009-08-31,23.5,23.5,22.98,23.07,5190400.0,0.0,1.0,22.339010716827,22.339010716827,21.844700692454,21.930254350519,5190400.0
2009-09-30,26.77,27.51,26.36,27.02,10014000.0,0.0,1.0,25.447460293168,26.150901481698,25.057715850874,25.685109343347,10014000.0
2009-10-31,26.33,26.85,25.27,25.51,7219500.0,0.0,1.0,25.029197964853,25.523507989225,24.021565992094,24.249709080266,7219500.0
2009-11-30,25.68,26.16,25.58,26.13,6652500.0,0.0,1.0,24.411310434388,24.867596610731,24.316250814316,24.83907872471,6652500.0
2009-12-31,27.14,27.23,26.66,26.67,2411600.0,0.0,1.0,25.799180887433,25.884734545497,25.342894711089,25.352400673096,2411600.0
2010-01-31,25.96,26.2,24.53,24.83,17334500.0,0.0,1.0,24.677477370588,24.90562045876,23.318124803564,23.603303663779,17334500.0
2010-02-28,27.92,28.05,27.54,27.98,7779300.0,0.0,1.0,26.540645923991,26.664223430084,26.179419367719,26.597681696034,7779300.0
2010-03-31,30.7,30.94,30.53,30.68,3680600.0,0.0,1.0,29.183303361982,29.411446450154,29.02170200786,29.164291437968,3680600.0
