Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,60.01,60.28,58.71,59.2,1225200.0,0.0,1.0,60.01,60.28,58.71,59.2,1225200.0
2009-02-28,56.16,56.66,55.0,55.01,2533300.0,0.0,1.0,56.16,56.66,55.0,55.01,2533300.0
2009-03-31,58.58,59.25,58.01,58.49,1171700.0,0.0,1.0,58.58,59.25,58.01,58.49,1171700.0
2009-04-30,63.88,64.58,63.73,64.15,1310900.0,0.0,1.0,63.88,64.58,63.73,64.15,1310900.0
2009-05-31,61.35,61.5,60.62,60.96,2532600.0,0.0,1.0,61.35,61.5,60.62,60.96,2532600.0
2009-06-30,67.01,68.09,67.01,67.79,1518900.0,0.0,1.0,67.01,68.09,67.01,67.79,1518900.0
2009-07-31,67.445,68.07,66.895,67.19,1401700.0,0.0,1.0,67.445,68.07,66.895,67.19,1401700.0
2009-08-31,70.32,70.75,69.43,69.79,856000.0,0.0,1.0,70.32,70.75,69.43,69.79,856000.0
2009-09-30,66.12,66.19,65.06,65.7,1649600.0,0.0,1.0,66.12,66.19,65.06,65.7,1649600.0
2009-10-31,69.6,69.9,68.48,68.89,1697900.0,0.0,1.0,69.6,69.9,68.48,68.89,1697900.0
2009-11-30,73.5,73.5,72.62,72.96,714700.0,0.0,1.0,73.5,73.5,72.62,72.96,714700.0
2009-12-31,75.44,75.44,74.83,74.84,498800.0,0.0,1.0,75.44,75.44,74.83,74.84,498800.0
2010-01-31,71.16,71.87,70.32,71.1,1584600.0,0.0,1.0,71.16,71.87,70.32,71.1,1584600.0
2010-02-28,73.14,73.855,73.08,73.31,711900.0,0.0,1.0,73.14,73.855,73.08,73.31,711900.0
2010-03-31,75.69,76.03,75.19,75.71,860800.0,0.0,1.0,75.69,76.03,75.19,75.71,860800.0
2010-04-30,78.96,79.17,78.53,78.57,1589600.0,0.0,1.0,78.96,79.17,78.53,78.57,1589600.0
2010-05-31,76.19,76.29,75.48,75.61,854900.0,0.0,1.0,76.19,76.29,75.48,75.61,854900.0
2010-06-30,76.04,76.76,75.28,75.35,1156300.0,0.0,1.0,76.04,76.76,75.28,75.35,1156300.0
2010-07-31,72.81,73.18,72.45,72.98,1504600.0,0.0,1.0,72.81,73.18,72.45,72.98,1504600.0
2010-08-31,73.67,74.08,72.33,72.62,1921700.0,0.0,1.0,73.67,74.08,72.33,72.62,1921700.0
2010-09-30,78.53,78.9,77.92,78.43,709800.0,0.0,1.0,78.53,78.9,77.92,78.43,709800.0
2010-10-31,80.28,81.495,80.11,81.32,1526400.0,0.0,1.0,80.28,81.495,80.11,81.32,1526400.0
2010-11-30,80.61,82.99,80.08,82.03,1484700.0,0.0,1.0,80.61,82.99,80.08,82.03,1484700.0
2010-12-31,88.05,88.81,87.83,87.92,399400.0,0.0,1.0,88.05,88.81,87.83,87.92,399400.0
2011-01-31,90.65,90.93,89.6,89.91,1609500.0,0.0,1.0,90.65,90.93,89.6,89.91,1609500.0
2011-02-28,89.7,90.69,89.53,90.13,889100.0,0.0,1.0,89.7,90.69,89.53,90.13,889100.0
2011-03-31,91.42,92.15,90.92,92.13,481000.0,0.0,1.0,91.42,92.15,90.92,92.13,481000.0
2011-04-30,95.92,96.54,95.65,96.47,782000.0,0.0,1.0,95.92,96.54,95.65,96.47,782000.0
2011-05-31,100.36,100.91,99.43,100.83,2445300.0,0.0,1.0,100.36,100.91,99.43,100.83,2445300.0
2011-06-30,95.54,96.87,95.52,96.79,786100.0,0.0,1.0,95.54,96.87,95.52,96.79,786100.0
2011-07-31,90.03,91.52,89.5,90.76,972400.0,0.0,1.0,90.03,91.52,89.5,90.76,972400.0
2011-08-31,83.71,84.58,82.88,83.53,803200.0,0.0,1.0,83.71,84.58,82.88,83.53,803200.0
2011-09-30,79.99,81.45,78.6,79.05,1113300.0,0.0,1.0,79.99,81.45,78.6,79.05,1113300.0
2011-10-31,85.98,86.49,83.85,83.85,753600.0,0.0,1.0,85.98,86.49,83.85,83.85,753600.0
2011-11-30,85.5,86.085,84.59,85.72,1011300.0,0.0,1.0,85.5,86.085,84.59,85.72,1011300.0
2011-12-31,86.51,86.84,85.86,85.97,397600.0,0.0,1.0,86.51,86.84,85.86,85.97,397600.0
2012-01-31,91.38,91.88,90.84,91.39,752900.0,0.0,1.0,91.38,91.88,90.84,91.39,752900.0
2012-02-29,90.66,90.74,89.72,89.89,1038800.0,0.0,1.0,90.66,90.74,89.72,89.89,1038800.0
2012-03-31,91.55,91.77,91.05,91.54,556600.0,0.0,1.0,91.55,91.77,91.05,91.54,556600.0
2012-04-30,87.5,87.93,87.33,87.89,557500.0,0.0,1.0,87.5,87.93,87.33,87.89,557500.0
2012-05-31,84.94,85.12,83.23,83.28,1504000.0,0.0,1.0,84.94,85.12,83.23,83.28,1504000.0
2012-06-30,92.97,94.15,92.21,92.61,1677500.0,0.0,1.0,92.97,94.15,92.21,92.61,1677500.0
2012-07-31,84.84,85.35,84.055,84.09,635800.0,0.0,1.0,84.84,85.35,84.055,84.09,635800.0
2012-08-31,87.63,88.37,87.55,87.95,632200.0,0.0,1.0,87.63,88.37,87.55,87.95,632200.0
2012-09-30,90.94,92.61,90.61,92.47,733300.0,0.0,1.0,90.94,92.61,90.61,92.47,733300.0
2012-10-31,85.0,85.67,84.36,84.73,874200.0,0.0,1.0,85.0,85.67,84.36,84.73,874200.0
2012-11-30,84.31,84.851,83.81,84.59,877900.0,0.0,1.0,84.31,84.851,83.81,84.59,877900.0
2012-12-31,85.65,86.62,84.91,86.62,486200.0,0.0,1.0,85.65,86.62,84.91,86.62,486200.0
2013-01-31,89.62,89.945,89.315,89.5,839600.0,0.0,1.0,89.62,89.945,89.315,89.5,839600.0
2013-02-28,89.0,89.03,88.542,88.6,948400.0,0.0,1.0,89.0,89.03,88.542,88.6,948400.0
2013-03-31,89.25,90.33,89.12,90.2,1297000.0,0.0,1.0,89.25,90.33,89.12,90.2,1297000.0
2013-04-30,93.58,93.65,92.52,93.36,669700.0,0.0,1.0,93.58,93.65,92.52,93.36,669700.0
2013-05-31,99.9,100.78,99.45,99.49,1015500.0,0.0,1.0,99.9,100.78,99.45,99.49,1015500.0
2013-06-30,100.44,100.78,99.17,100.1,747800.0,0.0,1.0,100.44,100.78,99.17,100.1,747800.0
2013-07-31,97.55,97.75,96.49,96.74,1032500.0,0.0,1.0,97.55,97.75,96.49,96.74,1032500.0
2013-08-31,95.86,96.37,95.5,95.72,580800.0,0.0,1.0,95.86,96.37,95.5,95.72,580800.0
2013-09-30,98.29,99.19,97.76,99.14,490600.0,0.0,1.0,98.29,99.19,97.76,99.14,490600.0
2013-10-31,101.34,101.93,100.2,100.9,870300.0,0.0,1.0,101.34,101.93,100.2,100.9,870300.0
2013-11-30,102.11,103.361,101.28,101.85,388500.0,0.0,1.0,102.11,103.361,101.28,101.85,388500.0
2013-12-31,91.35,91.99,91.19,91.37,361700.0,0.0,1.0,91.35,91.99,91.19,91.37,361700.0
2014-01-31,90.2,90.2,88.91,89.83,1665400.0,0.0,1.0,90.2,90.2,88.91,89.83,1665400.0
2014-02-28,93.43,94.7,93.07,93.54,957800.0,0.0,1.0,93.43,94.7,93.07,93.54,957800.0
2014-03-31,98.44,98.85,97.94,98.21,654800.0,0.0,1.0,98.44,98.85,97.94,98.21,654800.0
2014-04-30,98.39,99.98,98.23,98.7,1085200.0,0.0,1.0,98.39,99.98,98.23,98.7,1085200.0
2014-05-31,102.69,102.69,102.02,102.58,697700.0,0.0,1.0,102.69,102.69,102.02,102.58,697700.0
2014-06-30,101.5,102.84,101.47,102.4,1299700.0,0.0,1.0,101.5,102.84,101.47,102.4,1299700.0
2014-07-31,105.52,105.68,103.67,103.69,651200.0,0.0,1.0,105.52,105.68,103.67,103.69,651200.0
2014-08-31,105.3,107.32,105.3,107.23,420300.0,0.0,1.0,105.3,107.32,105.3,107.23,420300.0
2014-09-30,103.01,103.01,101.74,101.75,405682.0,0.0,1.0,103.01,103.01,101.74,101.75,405682.0
2014-10-31,109.31,109.47,108.24,109.29,901226.0,0.0,1.0,109.31,109.47,108.24,109.29,901226.0
2014-11-30,102.49,105.135,102.37,104.64,1132203.0,0.0,1.0,102.49,105.135,102.37,104.64,1132203.0
2014-12-31,109.57,109.77,107.79,107.9,895424.0,0.0,1.0,109.57,109.77,107.79,107.9,895424.0
2015-01-31,115.39,115.91,114.65,114.78,1302326.0,0.0,1.0,115.39,115.91,114.65,114.78,1302326.0
2015-02-28,124.48,124.48,122.86,123.03,1416239.0,0.0,1.0,124.48,124.48,122.86,123.03,1416239.0
2015-03-31,129.84,131.19,125.7926,126.09,1140640.0,0.0,1.0,129.84,131.19,125.7926,126.09,1140640.0
2015-04-30,120.92,121.13,118.73,119.56,1387254.0,0.0,1.0,120.92,121.13,118.73,119.56,1387254.0
2015-05-31,119.08,119.48,117.69,117.95,1239776.0,0.0,1.0,119.08,119.48,117.69,117.95,1239776.0
2015-06-30,120.21,121.28,119.53,121.22,1242616.0,0.0,1.0,120.21,121.28,119.53,121.22,1242616.0
2015-07-31,125.96,127.99,125.89,127.29,1265361.0,0.0,1.0,125.96,127.99,125.89,127.29,1265361.0
2015-08-31,119.55,120.53,117.59,117.81,667868.0,0.0,1.0,119.55,120.53,117.59,117.81,667868.0
2015-09-30,108.21,108.93,107.4,108.47,1126829.0,0.0,1.0,108.21,108.93,107.4,108.47,1126829.0
2015-10-31,122.57,123.9,121.88,122.74,879060.0,0.0,1.0,122.57,123.9,121.88,122.74,879060.0
2015-11-30,122.22,122.81,120.77,121.54,1412335.0,0.0,1.0,122.22,122.81,120.77,121.54,1412335.0
2015-12-31,123.76,124.67,123.23,123.64,604175.0,0.0,1.0,123.76,124.67,123.23,123.64,604175.0
2016-01-31,110.22,112.49,109.44,112.35,861474.0,0.0,1.0,110.22,112.49,109.44,112.35,861474.0
2016-02-29,110.79,111.21,109.71,109.84,779863.0,0.0,1.0,110.79,111.21,109.71,109.84,779863.0
