Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,34.79,34.81,31.94,32.11,1676800.0,0.0,1.0,34.79,34.81,31.94,32.11,1676800.0
2009-02-28,23.39,24.01,22.4,22.59,2115900.0,0.0,1.0,23.39,24.01,22.4,22.59,2115900.0
2009-03-31,29.83,30.45,28.98,29.87,1039800.0,0.0,1.0,29.83,30.45,28.98,29.87,1039800.0
2009-04-30,47.61,48.25,46.3,47.31,1596300.0,0.0,1.0,47.61,48.25,46.3,47.31,1596300.0
2009-05-31,36.8,38.7199,36.8,38.27,1252600.0,0.0,1.0,36.8,38.7199,36.8,38.27,1252600.0
2009-06-30,36.7,37.24,35.55,35.68,636700.0,0.0,1.0,36.7,37.24,35.55,35.68,636700.0
2009-07-31,49.82,52.6,49.82,51.58,3091600.0,0.0,1.0,49.82,52.6,49.82,51.58,3091600.0
2009-08-31,50.47,50.52,49.48,50.12,750300.0,0.0,1.0,50.47,50.52,49.48,50.12,750300.0
2009-09-30,47.35,48.36,46.34,47.69,2368000.0,0.0,1.0,47.35,48.36,46.34,47.69,2368000.0
2009-10-31,44.56,46.26,41.32,42.83,5327000.0,0.0,1.0,44.56,46.26,41.32,42.83,5327000.0
2009-11-30,41.38,41.41,39.84,41.08,821500.0,0.0,1.0,41.38,41.41,39.84,41.08,821500.0
2009-12-31,48.63,48.63,47.6,47.6,398900.0,0.0,1.0,48.63,48.63,47.6,47.6,398900.0
2010-01-31,43.2,43.2,41.33,41.41,1475700.0,0.0,1.0,43.2,43.2,41.33,41.41,1475700.0
2010-02-28,48.92,52.09,48.92,51.58,3071700.0,0.0,1.0,48.92,52.09,48.92,51.58,3071700.0
2010-03-31,54.15,55.11,54.03,54.38,631800.0,0.0,1.0,54.15,55.11,54.03,54.38,631800.0
2010-04-30,64.06,66.93,63.55,63.74,2030500.0,0.0,1.0,64.06,66.93,63.55,63.74,2030500.0
2010-05-31,57.1,57.75,55.41,56.16,518600.0,0.0,1.0,57.1,57.75,55.41,56.16,518600.0
2010-06-30,46.53,47.165,45.64,45.76,715800.0,0.0,1.0,46.53,47.165,45.64,45.76,715800.0
