Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,40.5,41.31,38.7,38.91,2272200.0,0.0,1.0,31.043774264726,31.664649750021,29.664050964072,29.825018682482,2272200.0
2009-02-28,37.9,39.39,36.23,36.6,2565200.0,0.0,1.0,29.579999817847,30.742907462401,28.276606686032,28.565382409847,2565200.0
2009-03-31,44.54,46.47,43.6,45.24,1410300.0,0.0,1.0,34.762353347939,36.268669961355,34.028706914463,35.308685798401,1410300.0
2009-04-30,55.0,55.0,51.63,52.45,1458300.0,0.0,1.0,42.926121107694,42.926121107694,40.295920596186,40.935910038155,1458300.0
2009-05-31,49.09,50.3,48.19,50.3,1503200.0,0.0,1.0,38.865809580576,39.823797553534,38.153256542839,39.823797553534,1503200.0
2009-06-30,51.43,52.07,50.5,50.93,892300.0,0.0,1.0,40.718447478693,41.225151861084,39.982142673031,40.32258467995,892300.0
2009-07-31,58.96,59.81,58.04,58.32,1048000.0,0.0,1.0,46.680141227761,47.353107985624,45.951753678074,46.17343684537,1048000.0
2009-08-31,61.05,62.66,60.38,61.76,983100.0,0.0,1.0,48.883750929111,50.172904721017,48.347270779684,49.452259744175,983100.0
2009-09-30,63.15,63.61,61.92,62.32,665900.0,0.0,1.0,50.565255875075,50.933585529906,49.580374406725,49.900661063099,665900.0
2009-10-31,65.39,65.64,62.25,62.85,1199200.0,0.0,1.0,52.358861150771,52.559040311005,49.844610898233,50.325040882795,1199200.0
2009-11-30,64.22,65.62,64.0,65.58,636700.0,0.0,1.0,51.985772342217,53.119065417258,51.807683430425,53.086685615114,636700.0
2009-12-31,67.32,67.94,66.84,66.89,441400.0,0.0,1.0,54.495207008378,54.997093941611,54.10664938265,54.14712413533,441400.0
2010-01-31,75.9,76.04,73.5,73.75,1837500.0,0.0,1.0,61.44067456827,61.554003875774,59.497886439629,59.700260203029,1837500.0
2010-02-28,76.54,77.64,75.76,77.43,1042000.0,0.0,1.0,62.513369381881,63.411784672187,61.876311266936,63.240269025856,1042000.0
2010-03-31,79.52,80.13,78.75,79.38,1217400.0,0.0,1.0,64.947258077439,65.445470192972,64.318367374224,64.832914313218,1217400.0
2010-04-30,89.06,89.56,87.17,87.35,814800.0,0.0,1.0,72.738968867916,73.147339454419,71.195328050935,71.342341462076,814800.0
2010-05-31,81.54,81.86,78.87,79.24,1592100.0,0.0,1.0,67.16921506862,67.43281758054,64.969781609787,65.274572014195,1592100.0
2010-06-30,86.4,87.88,84.79,84.95,1003400.0,0.0,1.0,71.172678218405,72.391839836035,69.846428080307,69.978229336267,1003400.0
2010-07-31,86.35,88.65,85.6,87.34,735300.0,0.0,1.0,71.131490325918,73.026133380343,70.513671938605,71.94701059717,735300.0
2010-08-31,84.81,86.53,84.38,85.64,721000.0,0.0,1.0,70.438583428781,71.86712208575,70.081448764539,71.127936385342,721000.0
2010-09-30,82.36,82.63,81.31,81.81,1094600.0,0.0,1.0,68.403746388332,68.627993735647,67.531673370996,67.946946236394,1094600.0
2010-10-31,74.37,74.82,73.49,74.75,1047300.0,0.0,1.0,61.767685999274,62.141431578132,61.036805756174,62.083293376977,1047300.0
2010-11-30,76.62,77.2,75.97,76.96,1466100.0,0.0,1.0,64.21500188844,64.701098222234,63.67023875574,64.499954911699,1466100.0
2010-12-31,86.44,87.39,85.81,87.05,676400.0,0.0,1.0,72.445115677849,73.241307948718,71.917114487693,72.95635492546,676400.0
2011-01-31,86.47,86.92,86.08,86.47,525200.0,0.0,1.0,72.470258591666,72.84740229892,72.143400712046,72.470258591666,525200.0
2011-02-28,89.04,89.49,87.97,88.05,882800.0,0.0,1.0,75.220275908593,75.600432289533,74.316348513914,74.383931870526,882800.0
2011-03-31,88.6,88.96,87.16,88.47,909800.0,0.0,1.0,74.84856744723,75.152692551982,73.632067028223,74.738744492736,909800.0
2011-04-30,88.89,89.0,88.25,88.37,465000.0,0.0,1.0,75.093557114947,75.186484230287,74.552890262055,74.654265296972,465000.0
2011-05-31,88.5,88.65,87.42,88.3,1459900.0,0.0,1.0,75.361381812023,75.489112967636,74.441717491605,75.191073604538,1459900.0
