Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,3.59,3.77,3.45,3.72,24624100.0,0.0,1.0,3.59,3.77,3.45,3.72,24624100.0
2009-02-28,3.2,3.38,3.07,3.22,8332300.0,0.0,1.0,3.2,3.38,3.07,3.22,8332300.0
2009-03-31,3.99,4.18,3.94,4.06,15048500.0,0.0,1.0,3.99,4.18,3.94,4.06,15048500.0
2009-04-30,4.91,5.09,4.86,4.88,36756100.0,0.0,1.0,4.91,5.09,4.86,4.88,36756100.0
2009-05-31,4.9,5.09,4.79,5.06,17532900.0,0.0,1.0,4.9,5.09,4.79,5.06,17532900.0
2009-06-30,5.11,5.23,4.95,5.06,16379200.0,0.0,1.0,5.11,5.23,4.95,5.06,16379200.0
2009-07-31,6.16,6.44,6.16,6.39,24461400.0,0.0,1.0,6.16,6.44,6.16,6.39,24461400.0
2009-08-31,7.45,7.47,7.28,7.37,11537900.0,0.0,1.0,7.45,7.47,7.28,7.37,11537900.0
2009-09-30,8.4,8.45,8.08,8.2,46518200.0,0.0,1.0,8.4,8.45,8.08,8.2,46518200.0
2009-10-31,7.28,7.28,6.76,6.79,26209200.0,0.0,1.0,7.28,7.28,6.76,6.79,26209200.0
2009-11-30,7.39,7.53,7.3,7.52,15458200.0,0.0,1.0,7.39,7.53,7.3,7.52,15458200.0
2009-12-31,10.75,10.87,10.56,10.56,20612800.0,0.0,1.0,10.75,10.87,10.56,10.56,20612800.0
2010-01-31,9.4499,9.5,8.57,8.72,42655600.0,0.0,1.0,9.4499,9.5,8.57,8.72,42655600.0
2010-02-28,9.08,9.15,8.87,9.06,20385500.0,0.0,1.0,9.08,9.15,8.87,9.06,20385500.0
2010-03-31,10.72,10.75,10.36,10.37,38781500.0,0.0,1.0,10.72,10.75,10.36,10.37,38781500.0
2010-04-30,10.14,10.15,9.33,9.35,52942300.0,0.0,1.0,10.14,10.15,9.33,9.35,52942300.0
2010-05-31,9.4,9.4,8.81,9.09,42979200.0,0.0,1.0,9.4,9.4,8.81,9.09,42979200.0
2010-06-30,8.72,8.92,8.45,8.49,38844700.0,0.0,1.0,8.72,8.92,8.45,8.49,38844700.0
2010-07-31,7.55,7.6,7.26,7.28,68687900.0,0.0,1.0,7.55,7.6,7.26,7.28,68687900.0
2010-08-31,6.45,6.6,6.36,6.4585,36309600.0,0.0,1.0,6.45,6.6,6.36,6.4585,36309600.0
2010-09-30,7.4,7.49,7.12,7.21,32572800.0,0.0,1.0,7.4,7.49,7.12,7.21,32572800.0
2010-10-31,8.2,8.27,8.12,8.255,86548500.0,0.0,1.0,8.2,8.27,8.12,8.255,86548500.0
2010-11-30,7.47,7.4999,7.23,7.269,29110000.0,0.0,1.0,7.47,7.4999,7.23,7.269,29110000.0
