Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,51.32,51.88,48.61,48.93,3276700.0,0.0,1.0,23.171741625356,23.424589936155,21.948136407025,22.092621156053,6553400.0
2009-02-28,45.52,47.21,44.19,45.54,2652400.0,0.0,1.0,20.622183318664,21.387813586866,20.019645888659,20.631244031897,5304800.0
2009-03-31,53.01,55.12,52.52,53.88,3457500.0,0.0,1.0,24.015420424481,24.971325670579,23.793432950269,24.409561450123,6915000.0
2009-04-30,59.75,60.27,55.68,56.75,3480100.0,0.0,1.0,27.068880784055,27.304459328117,25.225025641108,25.709773799081,6960200.0
2009-05-31,59.82,60.69,59.14,59.48,4377000.0,0.0,1.0,27.183681455988,27.579030885388,26.874672706572,27.02917708128,8754000.0
2009-06-30,59.24,59.93,57.94,58.97,1790100.0,0.0,1.0,26.920115169721,27.233668165452,26.329363148779,26.797420519218,3580200.0
2009-07-31,58.86,61.76,58.86,61.12,2105200.0,0.0,1.0,26.747433809753,28.065265241087,26.747433809753,27.77443347693,4210400.0
2009-08-31,61.15,61.15,59.95,60.46,971600.0,0.0,1.0,27.870919486024,27.870919486024,27.323984025954,27.556431596484,1943200.0
2009-09-30,67.18,67.18,65.27,65.96,2099600.0,0.0,1.0,30.619270172871,30.619270172871,29.748731232261,30.063219121801,4199200.0
2009-10-31,68.335,68.47,64.75,65.63,2881200.0,0.0,1.0,31.145695553188,31.207225792445,29.511725866231,29.912811870282,5762400.0
2009-11-30,64.54,65.59,64.36,65.25,1420600.0,0.0,1.0,29.495182049907,29.97503859085,29.412920928603,29.81965647283,2841200.0
2009-12-31,72.19,72.5,71.22,71.22,600700.0,0.0,1.0,32.991279705343,33.132951636478,32.547983662758,32.547983662758,1201400.0
2010-01-31,75.15,76.39,73.56,73.94,1982000.0,0.0,1.0,34.34401814457,34.910705869111,33.617378239715,33.791040606913,3964000.0
2010-02-28,71.51,72.87,70.97,72.64,1837300.0,0.0,1.0,32.76141895967,33.384486080144,32.514024661834,33.27911443477,3674600.0
2010-03-31,71.73,73.6,71.68,73.0,2564100.0,0.0,1.0,32.862209229158,33.718926519811,32.839302349729,33.44404396666,5128200.0
2010-04-30,78.34,78.68,75.54,76.4,2765700.0,0.0,1.0,35.890498689701,36.04626546982,34.607713441665,35.001711767847,5531400.0
2010-05-31,61.77,62.02,59.13,59.49,3389200.0,0.0,1.0,28.3695644943,28.484383842261,27.157072179827,27.322412040892,6778400.0
2010-06-30,60.29,61.29,59.91,60.33,3118400.0,0.0,1.0,27.689833954368,28.149111346214,27.515308545467,27.708205050042,6236800.0
2010-07-31,67.56,68.64,66.55,67.06,2270400.0,0.0,1.0,31.028780593085,31.524800176279,30.564910427321,30.799141897163,4540800.0
2010-08-31,68.37,70.85,67.59,69.78,3163100.0,0.0,1.0,31.482004233792,32.623957875737,31.122841394793,32.131260135059,6326200.0
2010-09-30,76.04,76.56,73.91,75.09,1191200.0,0.0,1.0,35.013772150615,35.253214043281,34.032981321041,34.576330231321,2382400.0
2010-10-31,79.37,81.72,79.37,81.48,1776000.0,0.0,1.0,36.547121194033,37.629214362812,36.547121194033,37.518702720043,3552000.0
