Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2013-01-31,26.02,26.92,25.75,26.37,970400.0,0.0,1.0,26.02,26.92,25.75,26.37,970400.0
2013-02-28,30.55,31.08,30.03,30.98,234900.0,0.0,1.0,30.55,31.08,30.03,30.98,234900.0
2013-03-31,30.01,30.44,29.43,29.65,2345700.0,0.0,1.0,30.01,30.44,29.43,29.65,2345700.0
2013-04-30,30.33,31.07,29.51,31.01,429700.0,0.0,1.0,30.33,31.07,29.51,31.01,429700.0
2013-05-31,30.77,31.4,30.49,30.75,211800.0,0.0,1.0,30.77,31.4,30.49,30.75,211800.0
2013-06-30,29.8,30.8,29.79,30.31,731600.0,0.0,1.0,29.8,30.8,29.79,30.31,731600.0
2013-07-31,29.76,30.86,29.32,30.31,561700.0,0.0,1.0,29.76,30.86,29.32,30.31,561700.0
2013-08-31,31.13,31.26,30.91,31.09,379200.0,0.0,1.0,31.13,31.26,30.91,31.09,379200.0
2013-09-30,30.73,30.976,30.19,30.85,924000.0,0.0,1.0,30.73,30.976,30.19,30.85,924000.0
2013-10-31,32.04,32.32,31.56,32.02,408900.0,0.0,1.0,32.04,32.32,31.56,32.02,408900.0
2013-11-30,34.42,34.495,34.0,34.1,132000.0,0.0,1.0,34.42,34.495,34.0,34.1,132000.0
2013-12-31,35.24,35.97,35.15,35.47,563000.0,0.0,1.0,35.24,35.97,35.15,35.47,563000.0
2014-01-31,34.66,35.29,34.36,35.02,602600.0,0.0,1.0,34.66,35.29,34.36,35.02,602600.0
2014-02-28,33.29,34.35,33.102,34.27,1208700.0,0.0,1.0,33.29,34.35,33.102,34.27,1208700.0
2014-03-31,31.89,32.37,31.81,32.27,1030500.0,0.0,1.0,31.89,32.37,31.81,32.27,1030500.0
2014-04-30,32.99,33.31,32.66,32.77,1390700.0,0.0,1.0,32.99,33.31,32.66,32.77,1390700.0
2014-05-31,33.32,33.78,33.1,33.75,962200.0,0.0,1.0,33.32,33.78,33.1,33.75,962200.0
2014-06-30,31.49,31.765,31.45,31.7,923900.0,0.0,1.0,31.49,31.765,31.45,31.7,923900.0
2014-07-31,32.78,33.08,32.55,32.78,1876300.0,0.0,1.0,32.78,33.08,32.55,32.78,1876300.0
2014-08-31,33.1,33.59,33.02,33.31,467300.0,0.0,1.0,33.1,33.59,33.02,33.31,467300.0
2014-09-30,35.77,36.31,35.77,36.02,521346.0,0.0,1.0,35.77,36.31,35.77,36.02,521346.0
2014-10-31,39.11,39.51,38.53,39.0,1080923.0,0.0,1.0,39.11,39.51,38.53,39.0,1080923.0
2014-11-30,42.67,45.07,42.63,43.89,1698418.0,0.0,1.0,42.67,45.07,42.63,43.89,1698418.0
2014-12-31,46.86,47.38,46.57,46.76,561738.0,0.0,1.0,46.86,47.38,46.57,46.76,561738.0
2015-01-31,44.0,44.31,43.49,43.76,875177.0,0.0,1.0,44.0,44.31,43.49,43.76,875177.0
2015-02-28,49.84,49.91,48.8,49.32,964709.0,0.0,1.0,49.84,49.91,48.8,49.32,964709.0
2015-03-31,53.11,54.05,52.61,54.01,1100343.0,0.0,1.0,53.11,54.05,52.61,54.01,1100343.0
2015-04-30,48.83,49.51,48.08,48.51,1107814.0,0.0,1.0,48.83,49.51,48.08,48.51,1107814.0
2015-05-31,54.2,54.805,54.075,54.56,3731436.0,0.0,1.0,54.2,54.805,54.075,54.56,3731436.0
2015-06-30,55.73,56.25,55.08,56.04,1400672.0,0.0,1.0,55.73,56.25,55.08,56.04,1400672.0
2015-07-31,61.71,63.22,61.41,62.42,2098937.0,0.0,1.0,61.71,63.22,61.41,62.42,2098937.0
2015-08-31,57.61,58.25,56.91,57.6,1664519.0,0.0,1.0,57.61,58.25,56.91,57.6,1664519.0
2015-09-30,56.6,57.71,56.24,57.3,1644578.0,0.0,1.0,56.6,57.71,56.24,57.3,1644578.0
2015-10-31,63.42,63.9,63.1,63.62,742731.0,0.0,1.0,63.42,63.9,63.1,63.62,742731.0
2015-11-30,57.81,58.24,57.145,57.44,1417919.0,0.0,1.0,57.81,58.24,57.145,57.44,1417919.0
2015-12-31,59.12,59.72,58.58,58.6,738042.0,0.0,1.0,59.12,59.72,58.58,58.6,738042.0
2016-01-31,42.57,45.4,42.21,45.37,5676359.0,0.0,1.0,42.57,45.4,42.21,45.37,5676359.0
2016-02-29,49.33,50.12,48.99,49.13,1730959.0,0.0,1.0,49.33,50.12,48.99,49.13,1730959.0
2016-03-31,54.29,55.59,53.908,55.29,2691957.0,0.0,1.0,54.29,55.59,53.908,55.29,2691957.0
2016-04-30,49.5,50.2,47.78,48.89,2526741.0,0.0,1.0,49.5,50.2,47.78,48.89,2526741.0
2016-05-31,47.04,47.12,46.21,46.41,1649445.0,0.0,1.0,47.04,47.12,46.21,46.41,1649445.0
2016-06-30,39.5,39.87,38.62,39.84,2012107.0,0.0,1.0,39.5,39.87,38.62,39.84,2012107.0
2016-07-31,43.0,43.21,42.43,42.6,2199103.0,0.0,1.0,43.0,43.21,42.43,42.6,2199103.0
2016-08-31,35.93,36.36,35.64,35.89,1950120.0,0.0,1.0,35.93,36.36,35.64,35.89,1950120.0
2016-09-30,37.32,38.0,36.93,37.7,1744062.0,0.0,1.0,37.32,38.0,36.93,37.7,1744062.0
2016-10-31,38.44,38.96,38.18,38.87,1593660.0,0.0,1.0,38.44,38.96,38.18,38.87,1593660.0
2016-11-30,40.48,40.48,39.32,39.81,1752351.0,0.0,1.0,40.48,40.48,39.32,39.81,1752351.0
2016-12-31,42.62,42.97,42.1,42.53,856919.0,0.0,1.0,42.62,42.97,42.1,42.53,856919.0
2017-01-31,47.88,48.11,46.83,47.0,1625213.0,0.0,1.0,47.88,48.11,46.83,47.0,1625213.0
2017-02-28,50.82,51.195,50.45,50.7,934959.0,0.0,1.0,50.82,51.195,50.45,50.7,934959.0
2017-03-31,50.99,51.2,50.4418,50.73,1108156.0,0.0,1.0,50.99,51.2,50.4418,50.73,1108156.0
2017-04-30,53.92,54.8686,53.09,53.93,2907470.0,0.0,1.0,53.92,54.8686,53.09,53.93,2907470.0
2017-05-31,50.25,50.2838,49.56,49.97,1345724.0,0.0,1.0,50.25,50.2838,49.56,49.97,1345724.0
2017-06-30,54.96,55.0,54.27,54.29,1025663.0,0.0,1.0,54.96,55.0,54.27,54.29,1025663.0
2017-07-31,55.45,55.73,54.975,55.07,886281.0,0.0,1.0,55.45,55.73,54.975,55.07,886281.0
2017-08-31,58.42,59.5,58.41,59.46,1792821.0,0.0,1.0,58.42,59.5,58.41,59.46,1792821.0
2017-09-30,53.46,54.15,52.44,54.05,2508346.0,0.0,1.0,53.46,54.15,52.44,54.05,2508346.0
2017-10-31,54.82,55.98,54.715,55.75,1441239.0,0.0,1.0,54.82,55.98,54.715,55.75,1441239.0
2017-11-30,54.0,54.69,52.36,54.16,3452181.0,0.0,1.0,54.0,54.69,52.36,54.16,3452181.0
2017-12-31,53.45,53.96,53.2,53.25,889909.0,0.0,1.0,53.45,53.96,53.2,53.25,889909.0
2018-01-31,60.0,61.05,60.0,60.74,1563751.0,0.0,1.0,60.0,61.05,60.0,60.74,1563751.0
2018-02-28,56.26,58.0,56.08,56.9,13020538.0,0.0,1.0,56.26,58.0,56.08,56.9,13020538.0
2018-03-31,52.52,54.16,52.32,52.87,2717891.0,0.0,1.0,52.52,54.16,52.32,52.87,2717891.0
