Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,57.69,59.83,56.59,57.52,3595200.0,0.0,1.0,47.675568027943,49.444084505319,46.766517502189,47.535078401236,3595200.0
2009-02-28,55.22,57.73,55.02,55.55,3584500.0,0.0,1.0,45.634336392842,47.708624410698,45.469054479068,45.907051550568,3584500.0
2009-03-31,57.92,60.59,57.92,59.82,3894600.0,0.0,1.0,48.148512212406,50.36806552054,48.148512212406,49.727969622688,3894600.0
2009-04-30,57.03,57.41,53.69,54.36,4077800.0,0.0,1.0,47.408661109694,47.724552591751,44.632141241092,45.18910780156,4077800.0
2009-05-31,55.27,57.6529,54.46,57.65,3639900.0,0.0,1.0,45.945584771748,47.926473752255,45.272237138944,47.924063001471,3639900.0
2009-06-30,53.92,54.7,53.37,53.68,2738900.0,0.0,1.0,45.049964481624,45.701651653279,44.590441475969,44.849445351884,2738900.0
2009-07-31,59.97,60.3,59.26,59.81,1653500.0,0.0,1.0,50.104717543824,50.380431347217,49.511515118343,49.971038123997,1653500.0
2009-08-31,58.24,58.56,57.63,58.46,1847100.0,0.0,1.0,48.659308816947,48.9266676566,48.149656028857,48.843118019209,1847100.0
2009-09-30,58.42,58.94,57.7,58.16,1878300.0,0.0,1.0,49.04236271117,49.478891786997,48.437937836949,48.824098173257,1878300.0
2009-10-31,51.0,51.09,49.71,50.25,3931700.0,0.0,1.0,42.813428590717,42.888981699995,41.73050069107,42.183819346736,3931700.0
2009-11-30,47.74,49.51,47.62,49.49,2982500.0,0.0,1.0,40.076727076879,41.562604892675,39.975989597842,41.545815312835,2982500.0
2009-12-31,52.84,52.89,52.4,52.4,1267200.0,0.0,1.0,44.620654705128,44.66287712631,44.249097398726,44.249097398726,1267200.0
2010-01-31,51.76,51.86,50.51,50.52,1933600.0,0.0,1.0,43.708650407597,43.793095249961,42.653089878047,42.661534362283,1933600.0
2010-02-28,53.36,53.51,52.7,53.29,1241700.0,0.0,1.0,45.05976788542,45.186435148966,44.502431925818,45.000656495766,1241700.0
2010-03-31,54.38,55.48,54.3,55.26,1870800.0,0.0,1.0,46.155311278948,47.088942069806,46.087410857795,46.902215911635,1870800.0
2010-04-30,55.5,56.13,54.83,54.98,2209100.0,0.0,1.0,47.105917175095,47.640632991677,46.537251147936,46.664564437598,2209100.0
2010-05-31,52.2,52.27,50.6,50.81,2229900.0,0.0,1.0,44.305024802521,44.36443767103,42.947016379456,43.125254984983,2229900.0
2010-06-30,47.13,47.75,46.6,46.7,2459300.0,0.0,1.0,40.230137975799,40.759369580828,39.777730313436,39.863090249731,2459300.0
