Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,435.0,435.0,412.94,426.09,63800.0,0.0,1.0,435.0,435.0,412.94,426.09,63800.0
2009-02-28,329.77,344.12,329.42,332.77,105500.0,0.0,1.0,329.77,344.12,329.42,332.77,105500.0
2009-03-31,440.0,443.1,418.09,427.75,146000.0,0.0,1.0,440.0,443.1,418.09,427.75,146000.0
2009-04-30,520.0,520.0,500.01,505.37,89800.0,0.0,1.0,520.0,520.0,500.01,505.37,89800.0
2009-05-31,483.02,494.9,483.0,494.9,91500.0,0.0,1.0,483.02,494.9,483.0,494.9,91500.0
2009-06-30,501.94,509.75,498.0,502.39,88400.0,0.0,1.0,501.94,509.75,498.0,502.39,88400.0
2009-07-31,610.0,611.0,601.05,601.15,74600.0,0.0,1.0,610.0,611.0,601.05,601.15,74600.0
2009-08-31,674.47,680.82,667.32,675.25,58800.0,0.0,1.0,674.47,680.82,667.32,675.25,58800.0
2009-09-30,644.85,645.475,631.22,637.37,32700.0,0.0,1.0,644.85,645.475,631.22,637.37,32700.0
2009-10-31,681.0,681.63,662.07,662.27,29100.0,0.0,1.0,681.0,681.63,662.07,662.27,29100.0
2009-11-30,679.91,679.91,669.34,673.15,28000.0,0.0,1.0,679.91,679.91,669.34,673.15,28000.0
2009-12-31,712.05,716.53,709.5,710.71,16300.0,0.0,1.0,712.05,716.53,709.5,710.71,16300.0
2010-01-31,674.0,689.51,667.19,684.14,70200.0,0.0,1.0,674.0,689.51,667.19,684.14,70200.0
2010-02-28,695.45,708.3,689.0,708.3,59700.0,0.0,1.0,695.45,708.3,689.0,708.3,59700.0
2010-03-31,744.99,746.0,726.5,726.5,56300.0,0.0,1.0,744.99,746.0,726.5,726.5,56300.0
2010-04-30,734.64,737.98,718.05,718.05,44500.0,0.0,1.0,734.64,737.98,718.05,718.05,44500.0
2010-05-31,687.61,693.01,678.43,685.28,53100.0,0.0,1.0,687.61,693.01,678.43,685.28,53100.0
2010-06-30,643.36,663.3,642.32,655.03,70700.0,0.0,1.0,643.36,663.3,642.32,655.03,70700.0
2010-07-31,620.6,631.53,617.07,626.5,40200.0,0.0,1.0,620.6,631.53,617.07,626.5,40200.0
2010-08-31,605.45,610.92,598.29,604.16,61500.0,0.0,1.0,605.45,610.92,598.29,604.16,61500.0
2010-09-30,647.0,654.4,644.971,647.53,30300.0,0.0,1.0,647.0,654.4,644.971,647.53,30300.0
2010-10-31,629.42,631.6,627.31,627.41,18000.0,0.0,1.0,629.42,631.6,627.31,627.41,18000.0
2010-11-30,616.15,623.94,613.99,619.98,52400.0,0.0,1.0,616.15,623.94,613.99,619.98,52400.0
2010-12-31,691.5,695.981,690.575,691.02,21900.0,0.0,1.0,691.5,695.981,690.575,691.02,21900.0
2011-01-31,770.0,774.78,763.07,765.0,71900.0,0.0,1.0,770.0,774.78,763.07,765.0,71900.0
2011-02-28,728.54,736.09,724.0,727.86,45800.0,0.0,1.0,728.54,736.09,724.0,727.86,45800.0
2011-03-31,758.12,759.41,751.0,756.0,25000.0,0.0,1.0,758.12,759.41,751.0,756.0,25000.0
2011-04-30,731.08,740.725,729.75,739.33,30000.0,0.0,1.0,731.08,740.725,729.75,739.33,30000.0
2011-05-31,745.19,750.68,740.66,746.0,59200.0,0.0,1.0,745.19,750.68,740.66,746.0,59200.0
2011-06-30,726.02,731.78,720.34,725.48,64400.0,0.0,1.0,726.02,731.78,720.34,725.48,64400.0
2011-07-31,676.71,690.57,674.29,680.09,55100.0,0.0,1.0,676.71,690.57,674.29,680.09,55100.0
2011-08-31,637.5,654.7,634.28,636.5,57200.0,0.0,1.0,637.5,654.7,634.28,636.5,57200.0
2011-09-30,610.5,614.4,602.33,603.98,41500.0,0.0,1.0,610.5,614.4,602.33,603.98,41500.0
2011-10-31,650.94,650.94,640.0,642.75,53700.0,0.0,1.0,650.94,650.94,640.0,642.75,53700.0
2011-11-30,656.0,678.73,654.7,669.85,99400.0,0.0,1.0,656.0,678.73,654.7,669.85,99400.0
2011-12-31,686.0,689.67,682.16,686.0,10900.0,0.0,1.0,686.0,689.67,682.16,686.0,10900.0
