Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,30.76,30.95,28.96,29.07,1858100.0,0.0,1.0,30.76,30.95,28.96,29.07,1858100.0
2009-02-28,32.35,33.59,31.55,33.36,8087500.0,0.0,1.0,32.35,33.59,31.55,33.36,8087500.0
2009-03-31,34.81,35.47,34.03,35.01,2442900.0,0.0,1.0,34.81,35.47,34.03,35.01,2442900.0
2009-04-30,39.42,40.5,38.04,38.85,5731600.0,0.0,1.0,39.42,40.5,38.04,38.85,5731600.0
2009-05-31,36.35,36.35,35.41,36.05,2519500.0,0.0,1.0,36.35,36.35,35.41,36.05,2519500.0
2009-06-30,38.42,38.87,37.8,38.08,1297700.0,0.0,1.0,38.42,38.87,37.8,38.08,1297700.0
2009-07-31,42.15,42.26,40.6575,40.66,3593000.0,0.0,1.0,42.15,42.26,40.6575,40.66,3593000.0
2009-08-31,38.58,38.63,37.85,38.28,1726800.0,0.0,1.0,38.58,38.63,37.85,38.28,1726800.0
2009-09-30,36.41,36.51,35.7,36.14,3008800.0,0.0,1.0,36.41,36.51,35.7,36.14,3008800.0
2009-10-31,37.56,37.88,37.05,37.28,3813300.0,0.0,1.0,37.56,37.88,37.05,37.28,3813300.0
2009-11-30,38.81,39.0,38.23,38.78,1183600.0,0.0,1.0,38.81,39.0,38.23,38.78,1183600.0
2009-12-31,38.65,38.7,38.12,38.12,694300.0,0.0,1.0,38.65,38.7,38.12,38.12,694300.0
2010-01-31,38.39,38.49,37.775,37.8,1804600.0,0.0,1.0,38.39,38.49,37.775,37.8,1804600.0
2010-02-28,39.63,39.68,39.14,39.3,1602300.0,0.0,1.0,39.63,39.68,39.14,39.3,1602300.0
2010-03-31,41.65,41.94,41.45,41.71,1617400.0,0.0,1.0,41.65,41.94,41.45,41.71,1617400.0
2010-04-30,49.0,49.69,48.85,48.87,2865700.0,0.0,1.0,49.0,49.69,48.85,48.87,2865700.0
2010-05-31,50.42,51.7,50.21,51.02,2701700.0,0.0,1.0,50.42,51.7,50.21,51.02,2701700.0
2010-06-30,47.64,48.47,47.3,47.56,1068300.0,0.0,1.0,47.64,48.47,47.3,47.56,1068300.0
2010-07-31,48.86,49.37,48.62,49.28,1909900.0,0.0,1.0,48.86,49.37,48.62,49.28,1909900.0
2010-08-31,46.82,47.37,46.56,47.27,1538200.0,0.0,1.0,46.82,47.37,46.56,47.27,1538200.0
2010-09-30,53.88,53.89,52.62,53.2,1539700.0,0.0,1.0,53.88,53.89,52.62,53.2,1539700.0
2010-10-31,57.1,58.6,56.87,58.5,1769200.0,0.0,1.0,57.1,58.6,56.87,58.5,1769200.0
2010-11-30,59.51,60.34,59.01,60.18,1467100.0,0.0,1.0,59.51,60.34,59.01,60.18,1467100.0
2010-12-31,60.96,61.06,60.28,60.42,422000.0,0.0,1.0,60.96,61.06,60.28,60.42,422000.0
2011-01-31,56.55,57.44,56.29,56.83,835400.0,0.0,1.0,56.55,57.44,56.29,56.83,835400.0
2011-02-28,55.68,56.8,55.18,55.58,1439000.0,0.0,1.0,55.68,56.8,55.18,55.58,1439000.0
2011-03-31,57.8,57.98,56.82,57.46,1088200.0,0.0,1.0,57.8,57.98,56.82,57.46,1088200.0
2011-04-30,58.56,59.5,58.39,59.06,2111900.0,0.0,1.0,58.56,59.5,58.39,59.06,2111900.0
2011-05-31,59.93,60.11,59.61,60.11,1634200.0,0.0,1.0,59.93,60.11,59.61,60.11,1634200.0
2011-06-30,64.84,65.63,64.5,65.51,1188700.0,0.0,1.0,64.84,65.63,64.5,65.51,1188700.0
2011-07-31,59.25,60.39,59.04,59.5,2046500.0,0.0,1.0,59.25,60.39,59.04,59.5,2046500.0
2011-08-31,65.44,66.02,64.54,64.88,1982400.0,0.0,1.0,65.44,66.02,64.54,64.88,1982400.0
2011-09-30,66.42,68.13,66.06,66.63,1475400.0,0.0,1.0,66.42,68.13,66.06,66.63,1475400.0
2011-10-31,75.6699,77.29,75.5,76.05,863300.0,0.0,1.0,75.6699,77.29,75.5,76.05,863300.0
2011-11-30,77.0,77.67,76.38,77.24,1086000.0,0.0,1.0,77.0,77.67,76.38,77.24,1086000.0
