Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,45.86,46.0,40.76,42.98,15533911.0,0.0,1.0,31.436366710994,31.532334686126,27.940390474054,29.462168365428,15533911.0
2009-02-28,32.2,34.02,32.2,33.1,10642943.0,0.0,1.0,22.54674814311,23.821129559895,22.54674814311,23.176936755806,10642943.0
2009-03-31,31.31,35.12,31.26,34.64,16731938.0,0.0,1.0,21.923561626111,24.591360086523,21.888551147628,24.255259493085,16731938.0
2009-04-30,50.35,52.91,50.03,51.6,11529448.0,0.0,1.0,35.255551832472,37.048088330806,35.03148477018,36.13081379455,11529448.0
2009-05-31,52.01,53.47,50.75,53.47,7676504.0,0.0,1.0,36.756574798302,37.78838789589,35.866105960659,37.78838789589,7676504.0
2009-06-30,51.4,52.3,51.32,51.43,4572834.0,0.0,1.0,36.325474805475,36.96152397522,36.268937101497,36.346676444466,4572834.0
2009-07-31,55.25,55.99,54.19,55.72,4085577.0,0.0,1.0,39.046351809387,39.569325571178,38.297227231686,39.378510820254,4085577.0
2009-08-31,63.94,64.24,62.44,63.62,3646134.0,0.0,1.0,45.531201758798,45.74482954309,44.463062837337,45.303332122219,3646134.0
2009-09-30,69.85,70.62,67.76,69.43,4770811.0,0.0,1.0,49.739669109353,50.287980422369,48.251395545451,49.440590211344,4770811.0
2009-10-31,67.62,69.24,65.29,67.89,8051557.0,0.0,1.0,48.151702579448,49.305292614626,46.492526788112,48.343967585311,8051557.0
2009-11-30,70.06,73.01,69.61,72.66,6679800.0,0.0,1.0,50.306633256935,52.424882873092,49.983510434132,52.173565122023,6679800.0
2009-12-31,81.66,82.27,79.72,79.8,2619700.0,0.0,1.0,58.636021578095,59.074032515673,57.243003186453,57.30044724384,2619700.0
2010-01-31,72.3,73.65,71.33,72.0,4296200.0,0.0,1.0,51.91506686378,52.884435332191,51.218557667959,51.699651648577,4296200.0
2010-02-28,78.32,79.31,77.7,78.29,4256700.0,0.0,1.0,56.711180187076,57.428034992811,56.262240813787,56.689457314175,4256700.0
2010-03-31,84.6,84.86,83.78,83.9,2355600.0,0.0,1.0,61.258501581034,61.44676647951,60.664743055072,60.751634546676,2355600.0
2010-04-30,91.61,93.28,88.56,89.02,3673900.0,0.0,1.0,66.334412882253,67.543652807079,64.125920803976,64.459004855126,3673900.0
2010-05-31,86.47,86.79,84.62,85.03,2597500.0,0.0,1.0,63.023989159193,63.257222379165,61.675609606233,61.974439669321,2597500.0
2010-06-30,81.83,83.47,80.49,80.75,3390100.0,0.0,1.0,59.642107469605,60.83742772196,58.665443360975,58.854945352201,3390100.0
2010-07-31,87.74,89.57,86.7,89.22,2783300.0,0.0,1.0,63.949633500955,65.283435977668,63.191625536048,65.028337143324,2783300.0
2010-08-31,89.55,90.79,88.78,90.45,2715800.0,0.0,1.0,65.707591988366,66.617445858445,65.142602085172,66.367969797295,2715800.0
2010-09-30,93.93,94.79,92.31,92.74,3103600.0,0.0,1.0,68.921430658484,69.552458342571,67.732750602413,68.048264444457,3103600.0
2010-10-31,96.37,96.98,96.02,96.02,2378800.0,0.0,1.0,70.711788273801,71.15937767763,70.45497468144,70.45497468144,2378800.0
2010-11-30,97.24,99.68,97.14,98.5,2968600.0,0.0,1.0,71.918680608533,73.723304021581,71.844720632589,72.850576305435,2968600.0
2010-12-31,99.5,100.29,99.27,99.49,1297000.0,0.0,1.0,73.590176064881,74.174459874844,73.420068120209,73.582780067287,1297000.0
2011-01-31,100.08,101.64,100.08,101.45,1421700.0,0.0,1.0,74.01914392536,75.172919550096,74.01914392536,75.032395595801,1421700.0
2011-02-28,107.27,110.27,107.27,110.04,2199900.0,0.0,1.0,79.933327928289,82.168808340192,79.933327928289,81.997421508613,2199900.0
2011-03-31,106.23,107.77,106.23,107.16,1550300.0,0.0,1.0,79.158361385496,80.30590799694,79.158361385496,79.851360313186,1550300.0
2011-04-30,115.1,115.84,113.02,114.54,1488200.0,0.0,1.0,85.767931803357,86.31935030496,84.21799871777,85.350642126468,1488200.0
