Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,15.04,15.14,14.46,14.52,2764500.0,0.0,1.0,14.662623661383,14.760114510196,14.097176738272,14.155671247559,2764500.0
2009-02-28,13.15,13.48,13.03,13.05,3184200.0,0.0,1.0,12.820046618829,13.14176641991,12.703057600254,12.722555770017,3184200.0
2009-03-31,11.9,12.09,11.75,11.9,2790000.0,0.0,1.0,11.601411008674,11.786643621418,11.455174735456,11.601411008674,2790000.0
2009-04-30,11.33,11.83,11.3,11.59,3109000.0,0.0,1.0,11.045713170444,11.533167414506,11.0164659158,11.299189377356,3109000.0
2009-05-31,11.41,11.66,11.31,11.56,2581300.0,0.0,1.0,11.123705849494,11.367432971525,11.026215000681,11.269942122712,2581300.0
2009-06-30,12.47,12.94,12.33,12.68,4111700.0,0.0,1.0,12.157108846905,12.615315836323,12.020621658568,12.361839629411,4111700.0
2009-07-31,13.69,13.79,13.45,13.66,2420400.0,0.0,1.0,13.346497202416,13.443988051229,13.112519165266,13.317249947772,2420400.0
2009-08-31,15.0,15.08,14.78,14.79,1305300.0,0.0,1.0,14.623627321858,14.701620000908,14.409147454471,14.418896539352,1305300.0
2009-09-30,15.38,15.47,14.77,15.15,5714800.0,0.0,1.0,14.994092547346,15.081834311277,14.39939836959,14.769863595077,5714800.0
2009-10-31,16.14,16.2,15.77,15.82,2399400.0,0.0,1.0,15.73502299832,15.793517507607,15.374306857714,15.42305228212,2399400.0
2009-11-30,17.05,17.24,16.9,17.11,1294000.0,0.0,1.0,16.622189722512,16.807422335256,16.475953449294,16.6806842318,1294000.0
2009-12-31,15.98,16.076,15.92,15.93,843400.0,0.0,1.0,15.57903764022,15.67262885508,15.520543130932,15.530292215814,843400.0
2010-01-31,16.23,16.27,16.03,16.08,1461400.0,0.0,1.0,15.822764762251,15.861761101776,15.627783064626,15.676528489032,1461400.0
2010-02-28,14.9,15.09,14.83,15.04,1611600.0,0.0,1.0,14.526136473046,14.71136908579,14.457892878877,14.662623661383,1611600.0
2010-03-31,16.39,16.56,16.2799,16.44,1369700.0,0.0,1.0,15.978750120351,16.144484563332,15.871412695808,16.027495544757,1369700.0
2010-04-30,18.5,18.66,18.27,18.27,2045300.0,0.0,1.0,18.035807030292,18.191792388392,17.811578078024,17.811578078024,2045300.0
2010-05-31,16.65,16.78,16.53,16.66,1617700.0,0.0,1.0,16.232226327263,16.358964430719,16.115237308688,16.241975412144,1617700.0
2010-06-30,15.33,15.8513,15.27,15.62,4561700.0,0.0,1.0,14.945347122939,15.453566917798,14.886852613652,15.228070584495,4561700.0
2010-07-31,16.88,17.14,16.75,17.06,1222300.0,0.0,1.0,16.456455279531,16.709931486444,16.329717176075,16.631938807394,1222300.0
2010-08-31,16.5,16.68,16.21,16.66,2074300.0,0.0,1.0,16.085990054044,16.261473581907,15.803266592488,16.241975412144,2074300.0
2010-09-30,17.82,17.95,17.591,17.69,1142600.0,0.0,1.0,17.372869258368,17.499607361824,17.149615214588,17.246131154912,1142600.0
2010-10-31,19.07,19.835,19.07,19.73,4080600.0,0.0,1.0,18.591504868523,19.337309861938,18.591504868523,19.234944470685,4080600.0
2010-11-30,20.5,20.74,20.38,20.61,1626700.0,0.0,1.0,19.98562400654,20.21960204369,19.868634987965,20.092863940234,1626700.0
2010-12-31,21.94,22.32,21.92,22.15,825900.0,0.0,1.0,21.389492229438,21.759957454925,21.369994059676,21.594223011944,825900.0
2011-01-31,19.27,19.31,19.12,19.22,1670400.0,0.0,1.0,18.786486566148,18.825482905673,18.640250292929,18.737741141741,1670400.0
2011-02-28,20.44,20.44,20.02,20.32,1338400.0,0.0,1.0,19.927129497253,19.927129497253,19.51766793224,19.810140478678,1338400.0
2011-03-31,19.65,20.34,19.61,20.28,2385000.0,0.0,1.0,19.156951791635,19.82963864844,19.11795545211,19.771144139153,2385000.0
2011-04-30,22.49,22.49,22.24,22.39,2333300.0,0.0,1.0,21.925691897907,21.925691897907,21.681964775876,21.828201049094,2333300.0
2011-05-31,21.78,21.96,21.46,21.96,2474700.0,0.0,1.0,21.233506871339,21.408990399201,20.921536155139,21.408990399201,2474700.0
2011-06-30,21.15,21.19,20.56,20.82,2946900.0,0.0,1.0,20.61931452382,20.658310863345,20.044118515827,20.29759472274,2946900.0
2011-07-31,20.28,20.62,20.16,20.39,1608800.0,0.0,1.0,19.771144139153,20.102613025115,19.654155120578,19.878384072846,1608800.0
2011-08-31,19.83,19.94,19.61,19.77,1891700.0,0.0,1.0,19.332435319497,19.439675253191,19.11795545211,19.27394081021,1891700.0
2011-09-30,18.18,18.35,17.66,18.0,2865100.0,0.0,1.0,17.723836314093,17.889570757074,17.216883900268,17.54835278623,2865100.0
2011-10-31,20.28,20.73,20.22,20.22,2075700.0,0.0,1.0,19.771144139153,20.209852958808,19.712649629865,19.712649629865,2075700.0
2011-11-30,19.03,19.49,18.96,19.47,2148400.0,0.0,1.0,18.552508528998,19.000966433535,18.484264934829,18.981468263772,2148400.0
2011-12-31,20.74,20.9,20.61,20.67,610900.0,0.0,1.0,20.21960204369,20.37558740179,20.092863940234,20.151358449521,610900.0
2012-01-31,20.89,20.98,20.62,20.9,2549100.0,0.0,1.0,20.365838316908,20.453580080839,20.102613025115,20.37558740179,2549100.0
2012-02-29,21.74,22.15,21.69,21.84,1994000.0,0.0,1.0,21.194510531814,21.594223011944,21.145765107407,21.292001380626,1994000.0
2012-03-31,23.78,23.9215,23.51,23.59,2317500.0,0.0,1.0,23.183323847586,23.321273398656,22.920098555793,22.998091234843,2317500.0
2012-04-30,21.69,21.71,21.44,21.6,2499400.0,0.0,1.0,21.145765107407,21.16526327717,20.902037985376,21.058023343476,2499400.0
2012-05-31,19.33,19.36,19.09,19.29,2405900.0,0.0,1.0,18.844981075435,18.874228330079,18.611003038285,18.80598473591,2405900.0
2012-06-30,26.05,27.44,25.4,27.06,14559000.0,0.0,1.0,25.396366115628,26.75148891412,24.762675598347,26.381023688633,14559000.0
2012-07-31,28.49,28.58,28.15,28.21,1914100.0,0.0,1.0,27.77514282665,27.862884590581,27.443673940688,27.502168449975,1914100.0
2012-08-31,33.0,33.23,32.71,32.94,2307200.0,0.0,1.0,32.171980108089,32.396209060357,31.889256646533,32.113485598801,2307200.0
2012-09-30,32.39,32.45,32.06,32.35,2369700.0,0.0,1.0,31.577285930333,31.635780439621,31.255566129252,31.538289590808,2369700.0
2012-10-31,35.58,36.0,35.22,35.34,1668300.0,0.0,1.0,34.687244007448,35.09670557246,34.336276951724,34.453265970299,1668300.0
2012-11-30,35.82,36.09,35.54,35.88,2474300.0,0.0,1.0,34.921222044598,35.184447336392,34.648247667923,34.979716553886,2474300.0
2012-12-31,34.35,35.47,34.14,35.39,1589700.0,0.0,1.0,33.488106567056,34.580004073755,33.28337578455,34.502011394705,1589700.0
2013-01-31,39.16,39.25,28.37,32.36,38179200.0,0.0,1.0,38.177416394932,38.265158158863,27.658153808075,31.548038675689,38179200.0
2013-02-28,44.49,44.74,43.89,44.24,2554000.0,0.0,1.0,43.373678636632,43.617405758663,42.788733543758,43.129951514601,2554000.0
2013-03-31,47.54,47.674,47.12,47.64,1491500.0,0.0,1.0,46.34714952541,46.477787262819,45.937687960398,46.444640374223,1491500.0
2013-04-30,47.55,49.36,47.39,49.35,4171100.0,0.0,1.0,46.356898610291,48.121482973796,46.200913252192,48.111733888914,4171100.0
2013-05-31,54.1,54.44,52.655,53.01,3360400.0,0.0,1.0,52.742549207503,53.074018093465,51.333806442164,51.679898955448,3360400.0
2013-06-30,51.71,52.31,51.42,52.12,3064700.0,0.0,1.0,50.412517920887,50.997463013761,50.129794459331,50.812230401018,3064700.0
2013-07-31,51.73,52.52,51.63,52.09,1948100.0,0.0,1.0,50.432016090649,51.202193796267,50.334525241837,50.782983146374,1948100.0
2013-08-31,54.5,54.695,53.98,54.25,949900.0,0.0,1.0,53.132512602753,53.322619757937,52.625560188928,52.888785480722,949900.0
2013-09-30,56.66,57.44,56.49,57.4,1288500.0,0.0,1.0,55.2383149371,55.998743557837,55.072580494119,55.959747218312,1288500.0
2013-10-31,64.59,65.415,64.49,65.3,2167000.0,0.0,1.0,62.969339247923,63.773638750625,62.87184839911,63.661524274491,2167000.0
2013-11-30,71.02,71.1,70.23,70.41,280600.0,0.0,1.0,69.238000826559,69.315993505609,68.467823120942,68.643306648804,280600.0
2013-12-31,70.0,70.575,69.83,70.38,907900.0,0.0,1.0,68.243594168673,68.804166549344,68.077859725692,68.61405939416,907900.0
2014-01-31,76.04,77.08,75.33,76.67,1841500.0,0.0,1.0,74.132041436941,75.14594626459,73.439856410373,74.746233784459,1841500.0
2014-02-28,81.59,82.21,80.67,81.03,1252000.0,0.0,1.0,79.542783546029,80.147226808666,78.645867736955,78.99683479268,1252000.0
2014-03-31,83.8,85.2,83.46,84.97,1833700.0,0.0,1.0,81.697331304783,83.062203188156,81.365862418821,82.837974235888,1833700.0
2014-04-30,79.44,79.92,78.63,79.84,1317700.0,0.0,1.0,77.446730296563,77.914686370862,76.657054421182,77.836693691812,1317700.0
2014-05-31,83.66,84.32,83.66,84.13,1045400.0,0.0,1.0,81.560844116445,82.204283718607,81.560844116445,82.019051105864,1045400.0
2014-06-30,88.37,88.57,87.89,88.13,1651000.0,0.0,1.0,86.152663095509,86.347644793134,85.68470702121,85.918685058359,1651000.0
2014-07-31,84.3,84.48,82.97,83.26,1472600.0,0.0,1.0,82.184785548845,82.360269076707,80.88815725964,81.170880721196,1472600.0
2014-08-31,87.04,87.19,86.16,87.09,531500.0,0.0,1.0,84.856034806304,85.002271079523,83.998115336755,84.90478023071,531500.0
2014-09-30,86.46,87.37,85.41,87.16,1232334.0,0.0,1.0,84.290587883192,85.177754607385,83.266933970662,84.973023824879,1232334.0
2014-10-31,90.53,91.6,90.101,91.54,1225931.0,0.0,1.0,88.258465429857,89.301617512149,87.840229688452,89.243123002862,1225931.0
2014-11-30,95.21,96.6,95.165,96.4,456059.0,0.0,1.0,92.821037154277,94.176159952769,92.777166272311,93.981178255144,456059.0
2014-12-31,99.19,99.25,98.1,98.17,1043133.0,0.0,1.0,96.70117293701,96.759667446297,95.638522684955,95.706766279123,1043133.0
2015-01-31,110.94,111.49,110.0,110.45,1058238.0,0.0,1.0,108.15634767247,108.69254734093,107.23993369363,107.67864251328,1058238.0
2015-02-28,116.05,116.29,114.41,114.72,718957.0,0.0,1.0,113.13813004678,113.37210808393,111.53928012626,111.84150175757,718957.0
2015-03-31,116.4,116.97,115.47,116.21,1161538.0,0.0,1.0,113.47934801762,114.03504585585,112.57268312367,113.29411540488,1161538.0
2015-04-30,116.13,116.93,115.74,115.94,1314875.0,0.0,1.0,113.21612272583,113.99604951633,112.83590841546,113.03089011308,1314875.0
