Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,33.06,33.16,31.02,31.26,1002100.0,0.0,1.0,26.614062271545,26.694564577266,24.971815234825,25.165020768557,1002100.0
2009-02-28,26.22,27.31,26.0,26.76,1723600.0,0.0,1.0,21.107704560191,21.985179692555,20.930599487603,21.542417011087,1723600.0
2009-03-31,29.34,29.57,28.55,29.12,1401300.0,0.0,1.0,23.923040640109,24.110576405181,23.278896055729,23.743658603952,1401300.0
2009-04-30,38.63,39.31,37.97,38.03,1383900.0,0.0,1.0,31.497854803251,32.052308369552,30.959708694783,31.00863106828,1383900.0
2009-05-31,34.82,35.7,34.42,35.7,1142300.0,0.0,1.0,28.391284086182,29.108812230807,28.065134929534,29.108812230807,1142300.0
2009-06-30,34.11,34.14,33.5,33.84,538400.0,0.0,1.0,28.05587024111,28.080545588728,27.554138172888,27.833792112553,538400.0
2009-07-31,39.75,40.28,39.35,40.15,616800.0,0.0,1.0,32.694835593203,33.130766734445,32.365830958302,33.023840228103,616800.0
2009-08-31,41.68,41.7,40.83,40.93,536500.0,0.0,1.0,34.282282956596,34.298733188341,33.583148107433,33.665399266158,536500.0
2009-09-30,42.44,43.35,41.74,42.69,748300.0,0.0,1.0,35.197773393402,35.952485311121,34.617225764387,35.405111832336,748300.0
2009-10-31,45.57,45.84,44.85,45.23,1685800.0,0.0,1.0,37.793650648853,38.017576162901,37.196515944724,37.511670371903,1685800.0
2009-11-30,48.66,48.78,48.12,48.57,1170200.0,0.0,1.0,40.356353754075,40.455876204763,39.908502725978,40.281711916058,1170200.0
2009-12-31,52.24,52.24,51.39,51.51,1379400.0,0.0,1.0,43.612825029071,43.612825029071,42.903198281853,43.00338088146,1379400.0
2010-01-31,51.79,52.15,51.0,51.25,2658100.0,0.0,1.0,43.237140280544,43.537688079366,42.577604833129,42.786318582311,2658100.0
2010-02-28,56.21,57.5,56.04,57.25,2616600.0,0.0,1.0,46.927199366082,48.004162311861,46.785274016638,47.795448562679,2616600.0
2010-03-31,58.11,58.2599,57.3,57.41,1268100.0,0.0,1.0,48.78449446389,48.910338479037,48.10448344142,48.196830617311,1268100.0
2010-04-30,64.99,64.99,62.13,62.15,3026100.0,0.0,1.0,54.560390555984,54.560390555984,52.159363982817,52.176154378434,3026100.0
2010-05-31,56.77,56.77,55.24,55.79,1665900.0,0.33,1.0,47.941445961274,47.941445961274,46.649383035067,47.113850100044,1665900.0
2010-06-30,50.31,51.17,49.9,50.52,2882600.0,0.0,1.0,42.486069161735,43.212326754243,42.139830076934,42.663411131999,2882600.0
2010-07-31,54.7,58.31,54.7,58.02,2357800.0,0.0,1.0,46.193360825818,49.241953743207,46.193360825818,48.997052927129,2357800.0
2010-08-31,53.26,54.05,52.75,53.64,1507400.0,0.0,1.0,44.977301601153,45.644445203573,44.546613959084,45.298206118773,1507400.0
2010-09-30,61.25,61.76,60.54,61.28,1663000.0,0.0,1.0,52.331525736407,52.767265787437,51.724907233993,52.357157504115,1663000.0
2010-10-31,60.94,62.04,60.94,61.97,2617300.0,0.0,1.0,52.066664136761,53.006495619374,52.066664136761,52.94668816139,2617300.0
2010-11-30,59.6,59.94,59.21,59.53,2209900.0,0.0,1.0,50.921778512487,51.21227187984,50.588565532288,50.861971054503,2209900.0
2010-12-31,67.06,67.36,66.701,66.87,888400.0,0.0,1.0,57.61785588768,57.875615457711,57.309403602209,57.454608159993,888400.0
2011-01-31,71.97,73.11,71.64,72.68,2198100.0,0.0,1.0,61.836520850526,62.816007216646,61.552985323492,62.446551832934,2198100.0
