Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-04-30,122.17,122.36,121.51,121.66,1285156.0,0.0,1.0,120.70733033143,120.89505557301,120.05523212386,120.20343626195,1285156.0
2017-05-31,123.87,124.96,123.535,124.85,2103365.0,0.0,1.0,122.38697722972,123.46392729979,122.055987988,123.3552442652,2103365.0
2017-06-30,126.52,126.92,125.8,126.53,1172413.0,0.0,1.0,125.73402588438,126.13154098361,125.01849870578,125.74396376186,1172413.0
2017-07-31,127.51,128.27,127.34,128.09,1074471.0,0.0,1.0,126.71787575496,127.47315444349,126.54893183779,127.29427264884,1074471.0
2017-08-31,122.05,122.16,120.16,121.18,2129003.0,0.0,1.0,121.29179465056,121.40111130285,119.41353580673,120.42719930975,2129003.0
2017-09-30,122.62,123.2,121.9,122.52,1282759.0,0.0,1.0,122.62,123.2,121.9,122.52,1282759.0
2017-10-31,132.48,132.95,132.215,132.45,1486180.0,0.0,1.0,132.48,132.95,132.215,132.45,1486180.0
2017-11-30,135.21,136.48,133.825,135.57,2113287.0,0.0,1.0,135.21,136.48,133.825,135.57,2113287.0
2017-12-31,136.02,136.49,135.28,135.64,809592.0,0.0,1.0,136.02,136.49,135.28,135.64,809592.0
2018-01-31,148.31,150.18,147.72,149.92,2069839.0,0.0,1.0,148.31,150.18,147.72,149.92,2069839.0
2018-02-28,141.97,142.77,138.89,139.0,1375046.0,0.0,1.0,141.97,142.77,138.89,139.0,1375046.0
2018-03-31,139.18,139.18,135.93,136.75,1367480.0,0.0,1.0,139.18,139.18,135.93,136.75,1367480.0
