Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,5.93,6.19,5.48,5.58,736000.0,0.0,1.0,5.93,6.19,5.48,5.58,736000.0
2009-02-28,4.1,4.25,3.81,4.05,1305200.0,0.0,1.0,4.1,4.25,3.81,4.05,1305200.0
2009-03-31,4.28,4.35,4.05,4.21,909700.0,0.0,1.0,4.28,4.35,4.05,4.21,909700.0
2009-04-30,5.98,6.24,5.7,6.06,2201100.0,0.0,1.0,5.98,6.24,5.7,6.06,2201100.0
2009-05-31,4.72,4.9,4.7,4.75,730800.0,0.0,1.0,4.72,4.9,4.7,4.75,730800.0
2009-06-30,6.52,6.73,6.39,6.49,1192600.0,0.0,1.0,6.52,6.73,6.39,6.49,1192600.0
2009-07-31,7.19,7.7,7.16,7.47,1585700.0,0.0,1.0,7.19,7.7,7.16,7.47,1585700.0
2009-08-31,9.2,9.31,8.97,9.19,683000.0,0.0,1.0,9.2,9.31,8.97,9.19,683000.0
2009-09-30,10.8,10.85,10.06,10.3,769800.0,0.0,1.0,10.8,10.85,10.06,10.3,769800.0
2009-10-31,9.93,10.06,9.49,9.49,1175200.0,0.0,1.0,9.93,10.06,9.49,9.49,1175200.0
2009-11-30,9.15,9.28,8.9,9.22,767600.0,0.0,1.0,9.15,9.28,8.9,9.22,767600.0
2009-12-31,9.99,10.09,9.77,9.81,779800.0,0.0,1.0,9.99,10.09,9.77,9.81,779800.0
2010-01-31,8.3,8.43,8.01,8.01,1727100.0,0.0,1.0,8.3,8.43,8.01,8.01,1727100.0
2010-02-28,7.27,7.6,7.21,7.55,1162300.0,0.0,1.0,7.27,7.6,7.21,7.55,1162300.0
2010-03-31,9.37,9.62,9.17,9.38,1734600.0,0.0,1.0,9.37,9.62,9.17,9.38,1734600.0
2010-04-30,14.44,14.79,14.33,14.36,2752800.0,0.0,1.0,14.44,14.79,14.33,14.36,2752800.0
2010-05-31,12.33,12.61,12.08,12.15,1409400.0,0.0,1.0,12.33,12.61,12.08,12.15,1409400.0
2010-06-30,9.53,9.75,9.28,9.32,1350900.0,0.0,1.0,9.53,9.75,9.28,9.32,1350900.0
2010-07-31,12.85,13.38,12.73,13.18,1341400.0,0.0,1.0,12.85,13.38,12.73,13.18,1341400.0
2010-08-31,11.12,11.43,10.89,11.25,1071100.0,0.0,1.0,11.12,11.43,10.89,11.25,1071100.0
2010-09-30,14.91,15.41,14.48,14.84,1364600.0,0.0,1.0,14.91,15.41,14.48,14.84,1364600.0
2010-10-31,18.43,18.865,18.3,18.79,728600.0,0.0,1.0,18.43,18.865,18.3,18.79,728600.0
2010-11-30,19.85,20.09,19.39,19.62,1172100.0,0.0,1.0,19.85,20.09,19.39,19.62,1172100.0
2010-12-31,22.7,23.04,22.67,22.75,610200.0,0.0,1.0,22.7,23.04,22.67,22.75,610200.0
2011-01-31,26.6,27.23,26.53,26.65,1977500.0,0.0,1.0,26.6,27.23,26.53,26.65,1977500.0
2011-02-28,32.31,32.66,30.59,30.98,1779400.0,0.0,1.0,32.31,32.66,30.59,30.98,1779400.0
2011-03-31,32.71,33.42,32.68,33.28,945100.0,0.0,1.0,32.71,33.42,32.68,33.28,945100.0
2011-04-30,29.29,29.53,28.7801,29.42,1388400.0,0.0,1.0,29.29,29.53,28.7801,29.42,1388400.0
2011-05-31,26.08,27.43,26.08,27.34,2723700.0,0.0,1.0,26.08,27.43,26.08,27.34,2723700.0
2011-06-30,24.47,25.63,24.34,25.4,1610800.0,0.0,1.0,24.47,25.63,24.34,25.4,1610800.0
2011-07-31,22.84,23.35,22.05,23.01,2941200.0,0.0,1.0,22.84,23.35,22.05,23.01,2941200.0
2011-08-31,17.15,17.46,16.37,16.68,3489600.0,0.0,1.0,17.15,17.46,16.37,16.68,3489600.0
2011-09-30,16.72,17.53,16.51,16.84,2508300.0,0.0,1.0,16.72,17.53,16.51,16.84,2508300.0
2011-10-31,23.87,24.11,23.3,23.41,1893500.0,0.0,1.0,23.87,24.11,23.3,23.41,1893500.0
2011-11-30,26.7,28.23,26.54,28.14,3086100.0,0.0,1.0,26.7,28.23,26.54,28.14,3086100.0
2011-12-31,29.59,30.14,29.29,29.55,956600.0,0.0,1.0,29.59,30.14,29.29,29.55,956600.0
2012-01-31,38.5,38.6,37.63,38.24,1738300.0,0.0,1.0,38.5,38.6,37.63,38.24,1738300.0
2012-02-29,42.49,42.85,41.43,41.68,1292300.0,0.0,1.0,42.49,42.85,41.43,41.68,1292300.0
2012-03-31,43.25,43.5,42.2614,42.89,1601000.0,0.0,1.0,43.25,43.5,42.2614,42.89,1601000.0
2012-04-30,46.89,47.09,45.89,46.68,5603400.0,0.0,1.0,46.89,47.09,45.89,46.68,5603400.0
