Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,35.93,37.87,35.79,37.13,4349600.0,0.0,1.0,35.93,37.87,35.79,37.13,4349600.0
2009-02-28,31.19,31.19,30.41,30.51,2572500.0,0.0,1.0,31.19,31.19,30.41,30.51,2572500.0
2009-03-31,30.17,31.01,30.12,30.44,1251600.0,0.0,1.0,30.17,31.01,30.12,30.44,1251600.0
2009-04-30,34.69,36.48,32.63,33.37,5920800.0,0.0,1.0,34.69,36.48,32.63,33.37,5920800.0
2009-05-31,35.01,35.76,34.95,35.76,1737500.0,0.0,1.0,35.01,35.76,34.95,35.76,1737500.0
2009-06-30,35.64,35.86,35.08,35.14,2491700.0,0.0,1.0,35.64,35.86,35.08,35.14,2491700.0
2009-07-31,34.55,35.46,34.53,35.27,1824500.0,0.0,1.0,34.55,35.46,34.53,35.27,1824500.0
2009-08-31,41.88,43.45,41.17,43.07,2717600.0,0.0,1.0,41.88,43.45,41.17,43.07,2717600.0
2009-09-30,42.07,42.47,41.67,42.13,850000.0,0.0,1.0,42.07,42.47,41.67,42.13,850000.0
2009-10-31,41.1,42.15,40.98,40.98,3021500.0,0.0,1.0,41.1,42.15,40.98,40.98,3021500.0
2009-11-30,46.97,47.61,46.64,46.74,1407500.0,0.0,1.0,46.97,47.61,46.64,46.74,1407500.0
2009-12-31,47.46,47.5,46.81,46.85,330600.0,0.0,1.0,47.46,47.5,46.81,46.85,330600.0
2010-01-31,49.79,50.74,49.57,50.29,1596500.0,0.0,1.0,49.79,50.74,49.57,50.29,1596500.0
2010-02-28,48.76,49.47,48.7075,48.97,1609100.0,0.0,1.0,48.76,49.47,48.7075,48.97,1609100.0
2010-03-31,55.6,55.63,55.15,55.33,797700.0,0.0,1.0,55.6,55.63,55.15,55.33,797700.0
