Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-01-31,37.02,37.02,35.75,36.17,1270000.0,0.0,1.0,37.02,37.02,35.75,36.17,1270000.0
2009-02-28,34.95,36.03,34.69,35.22,1305100.0,0.0,1.0,34.95,36.03,34.69,35.22,1305100.0
2009-03-31,36.48,37.77,36.32,36.95,1359400.0,0.0,1.0,36.48,37.77,36.32,36.95,1359400.0
2009-04-30,44.41,45.83,43.82,44.17,1695100.0,0.0,1.0,44.41,45.83,43.82,44.17,1695100.0
2009-05-31,43.94,44.06,42.87,43.32,1411700.0,0.0,1.0,43.94,44.06,42.87,43.32,1411700.0
2009-06-30,51.35,51.72,50.8,51.47,833400.0,0.0,1.0,51.35,51.72,50.8,51.47,833400.0
2009-07-31,50.74,51.28,49.93,50.25,787600.0,0.0,1.0,50.74,51.28,49.93,50.25,787600.0
2009-08-31,51.02,51.59,49.95,50.28,911300.0,0.0,1.0,51.02,51.59,49.95,50.28,911300.0
2009-09-30,55.26,56.19,54.59,55.86,894400.0,0.0,1.0,55.26,56.19,54.59,55.86,894400.0
2009-10-31,57.84,59.07,56.92,57.43,1730900.0,0.0,1.0,57.84,59.07,56.92,57.43,1730900.0
2009-11-30,59.26,59.26,58.45,58.78,873800.0,0.0,1.0,59.26,59.26,58.45,58.78,873800.0
2009-12-31,62.21,62.63,61.8,61.96,433600.0,0.0,1.0,62.21,62.63,61.8,61.96,433600.0
2010-01-31,58.03,58.69,56.97,56.98,1082400.0,0.0,1.0,58.03,58.69,56.97,56.98,1082400.0
2010-02-28,60.03,60.25,59.15,59.66,968400.0,0.0,1.0,60.03,60.25,59.15,59.66,968400.0
2010-03-31,67.62,67.75,67.04,67.54,495200.0,0.0,1.0,67.62,67.75,67.04,67.54,495200.0
2010-04-30,73.25,73.51,71.96,71.99,736000.0,0.0,1.0,73.25,73.51,71.96,71.99,736000.0
2010-05-31,69.66,70.07,68.33,68.44,1515800.0,0.0,1.0,69.66,70.07,68.33,68.44,1515800.0
2010-06-30,65.36,66.39,64.6,64.7,1330000.0,0.0,1.0,65.36,66.39,64.6,64.7,1330000.0
2010-07-31,64.13,64.83,63.32,64.16,854000.0,0.0,1.0,64.13,64.83,63.32,64.16,854000.0
2010-08-31,60.54,61.1,60.01,60.52,838700.0,0.0,1.0,60.54,61.1,60.01,60.52,838700.0
2010-09-30,71.37,72.26,70.66,70.78,696300.0,0.0,1.0,71.37,72.26,70.66,70.78,696300.0
2010-10-31,74.09,74.3494,73.66,74.13,591500.0,0.0,1.0,74.09,74.3494,73.66,74.13,591500.0
2010-11-30,76.78,77.7193,76.59,76.87,599000.0,0.0,1.0,76.78,77.7193,76.59,76.87,599000.0
2010-12-31,78.29,78.42,77.67,77.71,286400.0,0.0,1.0,78.29,78.42,77.67,77.71,286400.0
2011-01-31,76.12,76.94,75.58,76.39,534700.0,0.0,1.0,76.12,76.94,75.58,76.39,534700.0
2011-02-28,82.61,83.47,82.33,83.05,719700.0,0.0,1.0,82.61,83.47,82.33,83.05,719700.0
2011-03-31,86.65,87.11,86.3664,86.9,332500.0,0.0,1.0,86.65,87.11,86.3664,86.9,332500.0
2011-04-30,98.0,98.22,97.57,98.0,746000.0,0.0,1.0,98.0,98.22,97.57,98.0,746000.0
2011-05-31,98.59,98.75,97.43,98.56,610500.0,0.0,1.0,98.59,98.75,97.43,98.56,610500.0
2011-06-30,95.58,96.96,95.55,95.74,605900.0,0.0,1.0,95.58,96.96,95.55,95.74,605900.0
2011-07-31,86.63,88.88,86.07,87.89,1179800.0,0.0,1.0,86.63,88.88,86.07,87.89,1179800.0
2011-08-31,81.14,81.61,79.34,79.87,1141000.0,0.0,1.0,81.14,81.61,79.34,79.87,1141000.0
2011-09-30,76.59,77.11,75.34,75.49,1052000.0,0.0,1.0,76.59,77.11,75.34,75.49,1052000.0
2011-10-31,81.41,81.65,79.94,80.12,856000.0,0.0,1.0,81.41,81.65,79.94,80.12,856000.0
2011-11-30,77.3,80.7,77.3,80.0,1115200.0,0.0,1.0,77.3,80.7,77.3,80.0,1115200.0
2011-12-31,73.93,74.61,73.8,74.05,289400.0,0.0,1.0,73.93,74.61,73.8,74.05,289400.0
2012-01-31,86.66,87.5,86.13,86.57,733200.0,0.0,1.0,86.66,87.5,86.13,86.57,733200.0
2012-02-29,89.86,90.59,88.59,89.6,3246800.0,0.0,1.0,89.86,90.59,88.59,89.6,3246800.0
2012-03-31,92.28,92.96,91.91,92.66,519300.0,0.0,1.0,92.28,92.96,91.91,92.66,519300.0
2012-04-30,83.42,84.3,83.1,84.11,1069000.0,0.0,1.0,83.42,84.3,83.1,84.11,1069000.0
2012-05-31,80.84,80.8931,79.44,79.78,1398500.0,0.0,1.0,80.84,80.8931,79.44,79.78,1398500.0
2012-06-30,78.23,79.56,78.23,79.47,1171800.0,0.0,1.0,78.23,79.56,78.23,79.47,1171800.0
2012-07-31,78.12,78.8699,77.32,77.48,389500.0,0.0,1.0,78.12,78.8699,77.32,77.48,389500.0
2012-08-31,79.74,80.65,79.01,80.19,863300.0,0.0,1.0,79.74,80.65,79.01,80.19,863300.0
2012-09-30,83.69,83.78,82.83,83.33,747500.0,0.0,1.0,83.69,83.78,82.83,83.33,747500.0
2012-10-31,81.49,82.02,80.83,81.81,521700.0,0.0,1.0,81.49,82.02,80.83,81.81,521700.0
2012-11-30,84.39,84.74,83.97,84.55,612500.0,0.0,1.0,84.39,84.74,83.97,84.55,612500.0
2012-12-31,86.09,87.28,85.8,87.12,678100.0,0.0,1.0,86.09,87.28,85.8,87.12,678100.0
2013-01-31,91.58,92.29,91.11,91.57,437100.0,0.0,1.0,91.58,92.29,91.11,91.57,437100.0
2013-02-28,93.0,93.63,92.21,92.72,455600.0,0.0,1.0,93.0,93.63,92.21,92.72,455600.0
2013-03-31,93.31,94.0,92.83,93.91,617000.0,0.0,1.0,93.31,94.0,92.83,93.91,617000.0
2013-04-30,92.15,92.73,91.24,92.4,823900.0,0.0,1.0,92.15,92.73,91.24,92.4,823900.0
2013-05-31,97.23,98.16,96.67,96.71,625500.0,0.0,1.0,97.23,98.16,96.67,96.71,625500.0
2013-06-30,100.03,100.8,99.16,100.05,554000.0,0.0,1.0,100.03,100.8,99.16,100.05,554000.0
