Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2011-10-31,26.25,26.74,25.25,26.74,15106000.0,0.0,1.0,23.900913353706,24.347063736309,22.990402368803,24.347063736309,15106000.0
2011-11-30,24.06,24.195,23.33,23.9,2320800.0,0.0,1.0,21.999538580213,22.122977387708,21.332054658203,21.853240734293,2320800.0
2011-12-31,25.99,25.99,25.135,25.69,1169700.0,0.0,1.0,23.764256346623,23.764256346623,22.982477232488,23.489947885523,1169700.0
2012-01-31,26.11,26.25,25.65,25.91,792700.0,0.0,1.0,23.873979731063,24.001990346243,23.453373424043,23.691107423663,792700.0
2012-02-29,26.76,26.9499,25.91,25.98,4339600.0,0.0,1.0,24.468314730113,24.641951985989,23.691107423663,23.755112731253,4339600.0
2012-03-31,27.83,27.86,27.4,27.75,1310900.0,0.0,1.0,25.543167306263,25.570702161426,25.148501048926,25.469741025828,1310900.0
2012-04-30,28.32,28.32,27.81,27.88,364000.0,0.0,1.0,25.992903273926,25.992903273926,25.524810736154,25.589058731535,364000.0
2012-05-31,25.54,25.55,24.97,25.33,1021600.0,0.0,1.0,23.538484320828,23.547700642018,23.013154012963,23.344941575825,1021600.0
2012-06-30,25.28,25.51,25.03,25.17,1590300.0,0.0,1.0,23.298859969872,23.510835357256,23.068451940106,23.197480436775,1590300.0
2012-07-31,24.17,24.22,23.95,23.98,631500.0,0.0,1.0,22.275848317714,22.321929923667,22.07308925152,22.100738215092,631500.0
2012-08-31,24.33,24.33,23.935,24.29,1153800.0,0.0,1.0,22.515442583723,22.515442583723,22.1499021061,22.478425826496,1153800.0
2012-09-30,25.17,25.3372,24.99,25.15,1537800.0,0.0,1.0,23.292794485504,23.447524530716,23.12621907798,23.27428610689,1537800.0
2012-10-31,24.11,24.55,23.7,24.26,1763600.0,0.0,1.0,22.403488376049,22.812345069764,22.022508275088,22.542871339816,1763600.0
2012-11-30,26.11,26.31,25.95,26.09,970800.0,0.0,1.0,24.261927892934,24.447771844623,24.113252731583,24.243343497765,970800.0
2012-12-31,26.36,27.11,26.34,27.1,536900.0,0.0,1.0,24.494232832545,25.191147651377,24.475648437376,25.181855453792,536900.0
2013-01-31,27.93,28.01,27.885,27.93,922700.0,0.0,1.0,25.9531078533,26.027445433975,25.91129296417,25.9531078533,922700.0
2013-02-28,27.53,27.77,27.45,27.5,771500.0,0.0,1.0,25.68671264024,25.910643298927,25.612069087344,25.658721307904,771500.0
2013-03-31,27.37,27.59,27.26,27.56,1392700.0,0.0,1.0,25.537425534448,25.742695304912,25.434790649217,25.714703972576,1392700.0
2013-04-30,27.81,28.1,26.38,27.75,2809700.0,0.0,1.0,25.947965075375,26.218547954622,24.613711567364,25.891982410703,2809700.0
2013-05-31,28.41,28.7,28.14,28.14,910900.0,0.0,1.0,26.614630605626,26.886304061298,26.361693250346,26.361693250346,910900.0
2013-06-30,26.5,27.04,26.43,26.94,1758900.0,0.0,1.0,24.825333018272,25.331207728833,24.759756666903,25.237527226877,1758900.0
2013-07-31,25.45,25.45,24.79,24.93,6312300.0,0.0,1.0,23.841687747736,23.841687747736,23.223396434829,23.354549137567,6312300.0
2013-08-31,24.94,24.94,24.68,24.78,1844200.0,0.1164,1.0,23.473665370194,23.473665370194,23.228951938107,23.323072488909,1844200.0
2013-09-30,27.77,27.98,27.71,27.93,1112900.0,0.0,1.0,26.13727695791,26.334930114596,26.080804627429,26.287869839195,1112900.0
2013-10-31,33.45,34.66,33.3901,34.5,2501000.0,0.0,1.0,31.612680365704,32.756218280278,31.55607051357,32.605006655211,2501000.0
2013-11-30,34.76,34.86,34.525,34.56,563800.0,0.0,1.0,32.850725545946,32.945232811613,32.628633471628,32.661711014611,563800.0
2013-12-31,34.65,34.87,34.59,34.6,558000.0,0.0,1.0,32.746767553712,32.95468353818,32.690063194311,32.699513920878,558000.0
2014-01-31,33.0,33.385,32.62,33.36,1939700.0,0.0,1.0,31.187397670202,31.551250643021,30.828270060666,31.527623826604,1939700.0
2014-02-28,39.28,39.54,39.06,39.35,866900.0,0.0,1.0,37.247333694084,37.493879181875,37.038718281337,37.313711325412,866900.0
2014-03-31,36.22,36.51,36.1,36.42,771500.0,0.0,1.0,34.345682953149,34.620675997225,34.231892728015,34.535333328374,771500.0
