Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,16.15,17.32,16.0322,16.81,10269300.0,0.0,1.0,16.15,17.32,16.0322,16.81,10269300.0
2009-06-30,19.54,19.65,18.93,18.98,4540100.0,0.0,1.0,19.54,19.65,18.93,18.98,4540100.0
2009-09-30,24.22,24.49,23.405,23.8,4777500.0,0.0,1.0,24.22,24.49,23.405,23.8,4777500.0
2009-12-31,25.55,25.65,25.39,25.41,1959400.0,0.0,1.0,25.55,25.65,25.39,25.41,1959400.0
2010-03-31,29.2,29.6,29.13,29.38,1887100.0,0.0,1.0,29.2,29.6,29.13,29.38,1887100.0
2010-06-30,24.49,24.77,24.32,24.36,5140000.0,0.0,1.0,24.49,24.77,24.32,24.36,5140000.0
2010-09-30,32.47,32.5898,31.66,31.97,3739900.0,0.0,1.0,32.47,32.5898,31.66,31.97,3739900.0
2010-12-31,38.71,38.82,37.92,38.2,1491300.0,0.0,1.0,38.71,38.82,37.92,38.2,1491300.0
2011-03-31,43.59,44.43,43.54,44.11,3407600.0,0.0,1.0,43.59,44.43,43.54,44.11,3407600.0
2011-06-30,38.76,39.15,38.49,38.6,2808500.0,0.0,1.0,38.76,39.15,38.49,38.6,2808500.0
2011-09-30,28.87,29.05,27.75,27.79,4830600.0,0.0,1.0,28.87,29.05,27.75,27.79,4830600.0
2011-12-31,30.48,30.61,30.25,30.33,1131900.0,0.0,1.0,30.48,30.61,30.25,30.33,1131900.0
2012-03-31,42.18,42.5,41.87,42.32,2322500.0,0.0,1.0,42.18,42.5,41.87,42.32,2322500.0
2012-06-30,33.61,35.0,33.51,34.99,3097200.0,0.0,1.0,33.61,35.0,33.51,34.99,3097200.0
2012-09-30,33.27,33.89,33.1,33.35,2649000.0,0.0,1.0,33.27,33.89,33.1,33.35,2649000.0
2012-12-31,34.84,35.52,34.61,35.35,2556500.0,0.0,1.0,34.84,35.52,34.61,35.35,2556500.0
2013-03-31,40.62,41.3,40.43,41.25,1784800.0,0.0,1.0,40.62,41.3,40.43,41.25,1784800.0
2013-06-30,34.61,34.62,33.87,33.94,4020300.0,0.0,1.0,34.61,34.62,33.87,33.94,4020300.0
2013-09-30,41.21,41.4399,40.55,41.17,4474300.0,0.0,1.0,41.21,41.4399,40.55,41.17,4474300.0
2013-12-31,49.79,50.5,49.61,50.319,2002300.0,0.0,1.0,49.79,50.5,49.61,50.319,2002300.0
2014-03-31,48.78,49.695,48.69,49.18,2895800.0,0.0,1.0,48.78,49.695,48.69,49.18,2895800.0
2014-06-30,56.2,56.69,55.82,56.38,2248900.0,0.0,1.0,56.2,56.69,55.82,56.38,2248900.0
2014-09-30,55.11,55.37,54.19,55.1,2384588.0,0.0,1.0,55.11,55.37,54.19,55.1,2384588.0
2014-12-31,60.83,61.23,60.01,60.06,1899167.0,0.0,1.0,60.83,61.23,60.01,60.06,1899167.0
2015-03-31,58.36,59.4,58.36,58.64,2882630.0,0.0,1.0,58.36,59.4,58.36,58.64,2882630.0
2015-06-30,51.09,51.09,49.84,50.075,3551563.0,0.0,1.0,51.09,51.09,49.84,50.075,3551563.0
2015-09-30,45.39,45.98,43.9,44.14,6278770.0,0.0,1.0,45.39,45.98,43.9,44.14,6278770.0
2015-12-31,62.13,62.85,60.91,60.93,1353915.0,0.0,1.0,62.13,62.85,60.91,60.93,1353915.0
2016-03-31,57.83,58.618,57.47,58.31,1365069.0,0.0,1.0,57.83,58.618,57.47,58.31,1365069.0
2016-06-30,53.3,54.14,52.99,54.14,1875376.0,0.0,1.0,53.3,54.14,52.99,54.14,1875376.0
2016-09-30,72.03,72.59,71.41,72.33,1513358.0,0.0,1.0,72.03,72.59,71.41,72.33,1513358.0
2016-12-31,75.4,75.42,73.6,74.01,1529905.0,0.0,1.0,75.4,75.42,73.6,74.01,1529905.0
2017-03-31,86.02,86.9,85.37,86.47,1251607.0,0.0,1.0,86.02,86.9,85.37,86.47,1251607.0
2017-06-30,102.32,102.37,100.75,100.82,1659031.0,0.0,1.0,102.32,102.37,100.75,100.82,1659031.0
2017-09-30,111.25,112.76,111.0,112.26,2013739.0,0.0,1.0,111.25,112.76,111.0,112.26,2013739.0
2017-12-31,105.04,105.65,104.5301,104.83,1042328.0,0.0,1.0,105.04,105.65,104.5301,104.83,1042328.0
2018-03-31,134.53,134.59,127.1901,128.31,2987678.0,0.0,1.0,134.53,134.59,127.1901,128.31,2987678.0
