Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,22.99,23.56,22.71,23.19,1673600.0,0.0,1.0,15.413083893419,15.795226469289,15.225364733343,15.54716900776,1673600.0
2009-06-30,24.91,25.25,24.545,24.89,2245600.0,0.0,1.0,16.971821932031,17.203472652902,16.72313806992,16.958195419039,2245600.0
2009-09-30,26.0,26.0,25.25,25.28,2844300.0,0.0,1.0,17.973489668419,17.973489668419,17.455023620291,17.475762262216,2844300.0
2009-12-31,28.56,28.64,27.95,27.95,812600.0,0.0,1.0,20.025337336836,20.081430718732,19.59762529988,19.59762529988,812600.0
2010-03-31,26.11,26.14,25.86,26.08,1887300.0,0.0,1.0,18.583884529755,18.605237135496,18.405946148582,18.562531924014,1887300.0
2010-06-30,23.95,24.28,23.72,23.77,2083300.0,0.0,1.0,17.321210240519,17.559874097696,17.154868764306,17.191029954787,2083300.0
2010-09-30,28.64,28.7,28.2,28.4,2351800.0,0.0,1.0,20.996820943394,21.040808696767,20.674244085325,20.820869929901,2351800.0
2010-12-31,28.09,28.37,28.05,28.19,1073500.0,0.0,1.0,20.870144549924,21.078177318666,20.84042558296,20.944441967332,1073500.0
2011-03-31,28.28,28.38,28.05,28.07,1918500.0,0.0,1.0,21.306326208008,21.38166682402,21.133042791182,21.148110914384,1918500.0
2011-06-30,28.89,28.89,28.59,28.84,1302300.0,0.0,1.0,22.058395170801,22.058395170801,21.829336030917,22.020218647487,1302300.0
2011-09-30,30.32,30.42,29.76,29.77,3893000.0,0.0,1.0,23.457795284818,23.535162683515,23.024537852117,23.032274591987,3893000.0
2011-12-31,33.69,33.69,33.13,33.13,1304100.0,0.0,1.0,26.392836150865,26.392836150865,25.954130652364,25.954130652364,1304100.0
2012-03-31,32.28,32.58,32.18,32.58,1868100.0,0.0,1.0,25.602475574224,25.840416797033,25.523161833288,25.840416797033,1868100.0
2012-06-30,34.04,34.04,33.28,33.54,2007800.0,0.0,1.0,27.324563496427,27.324563496427,26.714496861371,26.923203868101,2007800.0
2012-09-30,32.54,32.72,32.35,32.67,1527100.0,0.0,1.0,26.441473669654,26.58773873605,26.287082766236,26.54710955094,1527100.0
2012-12-31,30.31,30.82,30.18,30.72,2461100.0,0.0,1.0,24.960341298443,25.380327245728,24.853286056978,25.297977059986,2461100.0
2013-03-31,34.67,35.12,34.65,35.02,2207100.0,0.0,1.0,28.887394240853,29.262338786812,28.870730038811,29.179017776599,2207100.0
2013-06-30,34.23,34.67,34.13,34.44,1876000.0,0.0,1.0,28.85377399435,29.224666794745,28.769480176079,29.030791012721,1876000.0
2013-09-30,34.87,35.13,34.73,34.84,1633900.0,0.0,1.0,29.748674678341,29.970488713798,29.629236351557,29.723080751173,1633900.0
2013-12-31,36.25,36.33,36.07,36.16,1051300.0,0.0,1.0,31.272311065229,31.341325820683,31.117027865456,31.194669465342,1051300.0
2014-03-31,41.0,41.465,40.8201,41.2,1350300.0,0.0,1.0,35.726884991718,36.13208015077,35.570122391474,35.901162479482,1350300.0
2014-06-30,40.53,40.99,40.46,40.88,1599300.0,0.0,1.0,35.67956195081,36.084511333918,35.617939218597,35.98767561187,1599300.0
2014-09-30,38.41,38.79,38.21,38.33,1248975.0,0.0,1.0,34.155513099747,34.493422367591,33.977666116671,34.084374306516,1248975.0
2014-12-31,47.27,47.4,46.08,46.13,1351993.0,0.0,1.0,42.4264402803,42.543119722578,41.358374616379,41.403251324947,1351993.0
2015-03-31,42.08,42.7,41.91,42.2,1915070.0,0.0,1.0,38.144818124307,38.706837782983,37.990715959832,38.25359612276,1915070.0
2015-06-30,37.84,37.97,37.585,37.68,2036697.0,0.0,1.0,34.672105139498,34.791221779776,34.438453268183,34.525500043771,2036697.0
2015-09-30,41.9,42.29,41.63,42.27,1503342.0,0.0,1.0,38.796026936442,39.157135540385,38.546028672174,39.138617150439,1503342.0
2015-12-31,43.95,44.0,42.92,43.23,2080411.0,0.0,1.0,41.096652453012,41.143406323834,40.133522714068,40.423396713167,2080411.0
2016-03-31,49.72,50.16,49.35,50.1,2533421.0,0.0,1.0,46.911296353381,47.326440568897,46.562197808515,47.269829994054,2533421.0
2016-06-30,52.64,53.59,52.47,53.58,2390710.0,0.0,1.0,50.53977603184,51.451873053691,50.376558670035,51.442272032409,2390710.0
2016-09-30,49.73,49.95,48.9,49.18,2012830.0,0.0,1.0,48.153021665766,48.366045288659,47.349341633942,47.620462608533,2012830.0
2016-12-31,52.49,52.88,52.25,52.46,951094.0,0.0,1.0,51.280406677305,51.661419415049,51.045937300233,51.251098005171,951094.0
2017-03-31,54.56,54.905,54.5,54.59,2105234.0,0.0,1.0,53.737909920471,54.07771158694,53.678813978476,53.767457891468,2105234.0
2017-06-30,54.73,54.96,54.38,54.67,1938283.0,0.0,1.0,54.327909500751,54.556219736183,53.980480881616,54.2683503089,1938283.0
2017-09-30,58.16,58.46,57.78,57.84,1835592.0,0.0,1.0,58.16,58.46,57.78,57.84,1835592.0
2017-12-31,59.24,59.44,58.98,58.99,1190331.0,0.0,1.0,59.24,59.44,58.98,58.99,1190331.0
2018-03-31,55.07,56.67,54.77,55.88,1785885.0,0.0,1.0,55.07,56.67,54.77,55.88,1785885.0
