Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,5.75,6.0,5.7,5.81,8344400.0,0.0,1.0,4.4185501420432,4.6106610177842,4.380127966895,4.464656752221,8344400.0
2009-06-30,11.44,11.64,10.98,11.61,13424900.0,0.0,1.0,9.8882423295831,10.061113698981,9.490638179967,10.035182993572,13424900.0
2009-09-30,15.37,15.37,14.66,14.82,8354800.0,0.0,1.0,13.28516473826,13.28516473826,12.671471376896,12.809768472414,8354800.0
2009-12-31,13.66,13.72,13.31,13.31,3479800.0,0.0,1.0,11.807114529904,11.858975940724,11.504589633457,11.504589633457,3479800.0
2010-03-31,10.96,11.12,10.83,11.0,9039400.0,0.0,1.0,9.4733510430272,9.6116481385458,9.3609846529183,9.5079253169068,9039400.0
2010-06-30,9.24,9.485,9.15,9.24,9740700.0,0.0,1.0,7.9866572662017,8.1984246937147,7.9088651499725,7.9866572662017,9740700.0
2010-09-30,11.47,11.57,11.21,11.35,4932400.0,0.0,1.0,9.9141730349929,10.000608719692,9.6894402547751,9.8104502133539,4932400.0
2010-12-31,12.16,12.27,12.15,12.18,2171400.0,0.0,1.0,10.510579259417,10.605658512586,10.501935690947,10.527866396357,2171400.0
2011-03-31,13.01,13.06,12.89,13.0,4404800.0,0.0,1.0,11.24528257936,11.288500421709,11.141559757721,11.23663901089,4404800.0
2011-06-30,12.68,12.76,12.5675,12.74,6323300.0,0.0,1.0,10.960044819853,11.029193367612,10.862804674566,11.011906230672,6323300.0
2011-09-30,10.12,10.12,9.76,9.76,7583300.0,0.0,1.0,8.7472912915543,8.7472912915543,8.4361228266373,8.4361228266373,7583300.0
2011-12-31,11.85,11.96,11.81,11.84,1541900.0,0.0,1.0,10.24262863685,10.337707890019,10.20805436297,10.23398506838,1541900.0
2012-03-31,13.13,13.13,12.985,13.07,4678900.0,0.0,1.0,11.349005400999,11.349005400999,11.223673658185,11.297143990179,4678900.0
2012-06-30,12.83,12.88,12.71,12.83,5722000.0,0.0,1.0,11.089698346901,11.132916189251,10.985975525262,11.089698346901,5722000.0
2012-09-30,10.85,11.02,10.83,10.97,5213100.0,0.0,1.0,9.3782717898581,9.5252124538467,9.3609846529183,9.4819946114971,5213100.0
2012-12-31,10.5,10.74,10.41,10.7,3652800.0,0.0,1.0,9.1104865944385,9.3187262880257,9.0323967093433,9.2840196724278,3652800.0
2013-03-31,12.57,12.61,12.47,12.57,4020600.0,0.0,1.0,10.94665157645,10.981485789899,10.859566042827,10.94665157645,4020600.0
2013-06-30,11.98,12.11,11.87,11.99,7134900.0,0.0,1.0,10.463396992283,10.576939697542,10.367322395526,10.472131046534,7134900.0
2013-09-30,13.39,13.43,13.24,13.29,3764000.0,0.0,1.0,11.732685066962,11.767734163503,11.601250954935,11.645062325611,3764000.0
2013-12-31,14.45,14.55,14.39,14.51,2330800.0,0.0,1.0,12.69705209755,12.784920970197,12.644330773961,12.749773421138,2330800.0
2014-03-31,14.4,14.44,14.18,14.28,6983300.0,0.0,1.0,12.698469337431,12.733742863368,12.504464944776,12.592648759619,6983300.0
2014-06-30,15.5,15.65,15.33,15.55,5983200.0,0.0,1.0,13.71621647983,13.848954058667,13.565780557148,13.760462339442,5983200.0
2014-09-30,14.25,14.34,14.05,14.18,3619160.0,0.0,1.0,12.652131597224,12.732039796786,12.474557820421,12.589980775343,3619160.0
2014-12-31,14.03,14.03,13.75,13.77,3758579.0,0.0,1.0,12.501448473002,12.501448473002,12.251954134268,12.269775158463,3758579.0
2015-03-31,12.74,12.87,12.68,12.85,4051317.0,0.0,1.0,11.444889240657,11.561673824745,11.390988663385,11.543706965655,4051317.0
2015-06-30,13.21,13.3,13.05,13.26,6800052.0,0.0,1.0,11.956538541035,12.037998682495,11.811720511771,12.001794175179,6800052.0
2015-09-30,9.53,9.82,9.47,9.79,11230173.0,0.0,1.0,8.693696475296,8.9582475747541,8.6389617650633,8.9308802196378,11230173.0
2015-12-31,9.5,9.73,9.37,9.57,5060221.0,0.0,1.0,8.7451139303631,8.9568377413087,8.6254439502634,8.8095516119552,5060221.0
2016-03-31,11.62,11.8,11.57,11.8,5656000.0,0.0,1.0,10.820511151231,10.988126642386,10.773951292577,10.988126642386,5656000.0
2016-06-30,12.08,12.48,12.0,12.48,10360981.0,0.0,1.0,11.360136563403,11.736300025767,11.28490387093,11.736300025767,10360981.0
2016-09-30,12.91,13.005,12.82,12.85,5867949.0,0.0,1.0,12.249694060646,12.339835109117,12.164297277884,12.192762872138,5867949.0
2016-12-31,11.73,11.79,11.59,11.62,3245241.0,0.0,1.0,11.235137929189,11.2926066654,11.101044211365,11.12977857947,3245241.0
2017-03-31,11.11,11.27,11.09,11.18,13804561.0,0.0,1.0,10.755206482125,10.910096944514,10.735845174327,10.82297105942,13804561.0
2017-06-30,11.18,11.247,11.11,11.11,4197568.0,0.0,1.0,10.938007067138,11.003556841154,10.869522228614,10.869522228614,4197568.0
2017-09-30,11.08,11.12,11.01,11.02,5074760.0,0.0,1.0,10.95631627907,10.995869767442,10.887097674419,10.896986046512,5074760.0
2017-12-31,10.77,10.875,10.74,10.83,4765527.0,0.0,1.0,10.77,10.875,10.74,10.83,4765527.0
2018-03-31,10.84,11.11,10.82,10.95,6968177.0,0.0,1.0,10.84,11.11,10.82,10.95,6968177.0
