Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,16.91,18.02,16.3,17.57,770400.0,0.0,1.0,3.9768365903708,4.2378826350373,3.8333788541126,4.1320531574698,3081600.0
2009-06-30,18.42,18.42,17.87,18.26,386500.0,0.0,1.0,4.331953281764,4.331953281764,4.2026061425148,4.2943250230733,1546000.0
2009-09-30,27.7,27.73,26.5,26.79,556400.0,0.0,1.0,6.5143922858232,6.5214475843277,6.2321803456431,6.30038156452,2225600.0
2009-12-31,35.03,35.34,34.55,34.56,373000.0,0.0,1.0,8.2382368870898,8.3111416383029,8.1253521110177,8.1277038771859,1492000.0
2010-03-31,40.88,42.0,40.83,41.23,518600.0,0.0,1.0,9.6140200954676,9.8774179063023,9.6022612646267,9.6963319113534,2074400.0
2010-06-30,45.46,46.924,44.91,44.95,574400.0,0.0,1.0,10.691129000488,11.035427567508,10.561781861239,10.571188925912,2297600.0
2010-09-30,51.22,51.85,50.91,51.03,645200.0,0.0,1.0,12.045746313352,12.193907581947,11.972841562139,12.001062756157,2580800.0
2010-12-31,57.48,57.9,56.69,56.69,187800.0,0.0,1.0,13.517951934625,13.616726113688,13.33216240734,13.33216240734,751200.0
2011-03-31,63.78,64.0,63.1,63.42,253100.0,0.0,1.0,14.999564620571,15.05130347627,14.839644521135,14.914901038516,1012400.0
2011-06-30,68.4,69.63,68.4,68.46,238900.0,0.0,1.0,16.086080590264,16.375347828948,16.086080590264,16.100191187273,955600.0
2011-09-30,57.0,57.89,56.14,56.29,409500.0,0.0,1.0,13.405067158553,13.61437434752,13.202815268091,13.238091760613,1638000.0
2011-12-31,75.95,76.17,74.9306,75.09,261300.0,0.0,1.0,17.86166404723,17.91340290293,17.621925004047,17.659412156768,1045200.0
2012-03-31,36.33,36.33,35.55,35.82,573300.0,0.0,1.0,17.087932977903,17.087932977903,16.721057455669,16.84805282875,1146600.0
2012-06-30,36.47,36.47,35.65,35.9,845400.0,0.0,1.0,17.153782430612,17.153782430612,16.768092779032,16.885681087441,1690800.0
2012-09-30,35.31,35.49,35.04,35.06,715300.0,0.0,1.0,16.608172679597,16.692836261651,16.481177306516,16.490584371189,1430600.0
2012-12-31,42.83,43.27,42.6301,43.09,691600.0,0.0,1.0,20.14522899652,20.352184419319,20.051205385117,20.267520837265,1383200.0
2013-03-31,63.63,64.55,63.63,63.96,622900.0,0.0,1.0,29.928576256096,30.361301231039,29.928576256096,30.083792823195,1245800.0
2013-06-30,52.05,52.9,51.46,52.0,6656600.0,0.0,1.0,24.481885810621,24.881686059209,24.204377402777,24.458368148939,13313200.0
2013-09-30,62.58,63.02,62.04,62.62,729400.0,0.0,1.0,29.527971220606,29.735582395695,29.273175687542,29.546844963796,1458800.0
2013-12-31,72.45,73.55,72.281,73.37,580500.0,0.0,1.0,34.27551600294,34.795917212095,34.195563453534,34.710760650597,1161000.0
2014-03-31,91.15,93.61,90.82,93.31,637800.0,0.0,1.0,43.254548775141,44.421923322446,43.097949750503,44.279560572775,1275600.0
2014-06-30,95.39,96.15,94.62,95.05,854500.0,0.0,1.0,45.503309565608,45.865847727573,45.136001164669,45.341121440518,1709000.0
2014-09-30,43.83,44.08,43.19,43.54,1353180.0,0.0,1.0,41.930894807516,42.170062585336,41.318625296295,41.653460185244,1353180.0
2014-12-31,60.26,60.94,59.76,59.76,906681.0,0.0,1.0,57.779216654608,58.431222418384,57.299800651831,57.299800651831,906681.0
2015-03-31,66.13,66.48,65.28,66.18,928999.0,0.0,1.0,63.605276649832,63.941914285208,62.787728106775,63.6533677406,928999.0
2015-06-30,64.55,65.48,64.2,64.43,1332409.0,0.0,1.0,62.270955990731,63.168120809808,61.933313316885,62.15519278827,1332409.0
2015-09-30,79.07,80.145,78.32,79.45,1450498.0,0.0,1.0,76.469957517435,77.509608514415,75.744619612565,76.837462055902,1450498.0
2015-12-31,81.0,81.45,79.8,80.51,817475.0,0.0,1.0,78.542750950101,78.97909956649,77.379154639729,78.067615790032,817475.0
2016-03-31,82.39,83.09,81.81,82.02,1102446.0,0.0,1.0,80.194286832294,80.875631665194,79.629743970749,79.834147420619,1102446.0
2016-06-30,57.95,58.29,57.3,58.29,1792089.0,0.0,1.0,56.643489317199,56.975823853314,56.00814388051,56.975823853314,1792089.0
2016-09-30,65.6,66.35,65.29,65.86,884090.0,0.0,1.0,64.388187281363,65.12433271522,64.083913835369,64.6433843651,884090.0
2016-12-31,88.74,89.1404,88.02,88.73,930988.0,0.0,1.0,87.420224867844,87.814669966301,86.710932982506,87.410373591659,930988.0
2017-03-31,93.36,93.57,92.18,92.22,1856876.0,0.0,1.0,92.256874423432,92.464393099835,91.090817098886,91.13034446582,1856876.0
2017-06-30,89.4,90.3072,88.83,89.76,1231824.0,0.0,1.0,88.657051635112,89.556712454389,88.091788554217,89.01405989673,1231824.0
2017-09-30,76.0,76.59,75.94,76.27,1030684.0,0.0,1.0,75.656626506024,76.243960843374,75.596897590361,75.925406626506,1030684.0
2017-12-31,74.67,74.848,73.47,73.51,1038134.0,0.0,1.0,74.67,74.848,73.47,73.51,1038134.0
2018-03-31,62.43,62.59,61.2034,61.49,2186343.0,0.0,1.0,62.43,62.59,61.2034,61.49,2186343.0
