Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,40.3,42.37,39.49,41.71,995600.0,0.0,1.0,40.203443545514,42.268483945991,39.395384258371,41.610065267578,995600.0
2009-06-30,58.21,58.25,56.09,58.19,627200.0,0.0,1.0,58.0705322279,58.110436390229,55.955611624514,58.050580146736,627200.0
2009-09-30,63.79,65.87,62.9,65.01,627200.0,0.0,1.0,63.637162872664,65.712179313723,62.749295260865,64.85423982367,627200.0
2009-12-31,67.25,67.87,67.11,67.35,399800.0,0.0,1.0,67.088872914041,67.707387430126,66.949208345892,67.188633319861,399800.0
2010-03-31,79.71,80.02,78.78,79.0,441100.0,0.0,1.0,79.519019479229,79.828276737272,78.591247705102,78.810720597907,441100.0
2010-06-30,61.5,61.75,60.39,60.77,871500.0,0.0,1.0,61.352649579383,61.602050593933,60.245309074779,60.624398616896,871500.0
2010-09-30,77.96,78.49,76.38,78.01,807400.0,0.0,1.0,77.773212377377,78.301942528224,76.196997965419,77.823092580287,807400.0
2010-12-31,98.83,100.05,98.36,99.22,277600.0,0.0,1.0,98.593209072039,99.810286023045,98.124335164685,98.982274654738,277600.0
2011-03-31,108.0,109.69,107.69,109.37,373300.0,0.0,1.0,107.74123828575,109.42718914411,107.4319810277,109.10795584548,373300.0
2011-06-30,101.3,102.01,100.3,101.45,314300.0,0.0,1.0,101.0572910958,101.76558997712,100.0596870376,101.20693170453,314300.0
2011-09-30,81.07,81.28,78.05,78.05,892800.0,0.0,1.0,80.875760998383,81.085257850606,77.862996742615,77.862996742615,892800.0
2011-12-31,97.07,97.07,95.78,95.95,265800.0,0.0,1.0,96.837425929605,96.837425929605,95.550516694525,95.720109384419,265800.0
2012-03-31,111.94,112.27,110.17,111.81,306600.0,0.0,1.0,111.67179827506,112.00100761427,109.90603909204,111.54210974749,306600.0
2012-06-30,107.97,110.25,107.92,109.45,545700.0,0.0,1.0,107.711310164,109.9858474167,107.66142996109,109.18776417014,545700.0
2012-09-30,122.67,123.5,121.79,123.0,410500.0,0.0,1.0,122.37608981956,123.20410118787,121.49819824834,122.70529915877,410500.0
2012-12-31,127.61,130.21,126.89,130.15,295100.0,0.0,1.0,127.30425386707,129.8980244184,126.58597894517,129.83816817491,295100.0
2013-03-31,151.8,153.9,151.1101,153.57,247400.0,0.0,1.0,151.43629603496,153.53126455719,150.74804899521,153.20205521798,247400.0
2013-06-30,160.05,163.94,158.41,163.94,999800.0,0.0,1.0,159.66652951513,163.54720930153,158.03045885968,163.54720930153,999800.0
2013-09-30,181.45,183.21,180.79,182.64,521000.0,0.0,1.0,181.01525636063,182.77103950307,180.35683768222,182.20240518989,521000.0
2013-12-31,215.17,217.48,215.17,216.88,241000.0,0.0,1.0,214.65446520318,216.95893057763,214.65446520318,216.36036814271,241000.0
2014-03-31,196.4,201.18,194.55,200.05,1140400.0,0.0,1.0,195.92943703074,200.69798442895,194.08386952307,199.57069184318,1140400.0
2014-06-30,201.84,205.93,201.84,205.4,8627900.0,0.0,1.0,201.35640310736,205.4366037054,201.35640310736,204.90787355456,8627900.0
2014-09-30,201.29,202.56,200.03,200.36,418654.0,0.0,1.0,200.80772087535,202.07467802927,199.55073976202,199.87994910122,418654.0
2014-12-31,214.65,215.24,212.11,212.24,247051.0,0.0,1.0,214.13571109292,214.72429748726,211.60179678509,211.73148531265,247051.0
2015-03-31,214.77,216.91,214.7,214.78,390425.0,0.0,1.0,214.2554235799,216.39029626445,214.18559129583,214.26539962049,390425.0
2015-06-30,221.27,222.45,216.9,218.6,603462.0,0.0,1.0,220.73984995821,221.91702274689,216.38032022387,218.07624712281,603462.0
2015-09-30,168.74,171.95,168.43,170.99,563809.0,0.0,1.0,168.3357087809,171.53801780772,168.02645152285,170.58031791185,563809.0
2015-12-31,159.64,162.17,157.8068,159.76,327367.0,0.0,1.0,159.25751185126,161.78145011851,157.42870409177,159.37722433825,327367.0
2016-03-31,162.31,163.9,161.79,162.4,390710.0,0.0,1.0,161.92111468666,163.5073051392,161.4023605764,162.0108990519,390710.0
2016-06-30,140.08,141.26,138.3775,140.77,1093786.0,0.0,1.0,139.74437647284,140.92154926152,138.04595556376,140.432723273,1093786.0
2016-09-30,142.71,145.27,141.29,144.7,581856.0,0.0,1.0,142.36807514591,144.92194153491,140.95147738327,144.35330722174,581856.0
2016-12-31,144.94,146.209,144.37,145.3,670342.0,0.0,1.0,144.5927321957,145.85869174556,144.02409788253,144.95186965666,670342.0
2017-03-31,163.29,164.93,162.84,163.94,380891.0,0.0,1.0,162.8987666637,164.53483731915,162.44984483751,163.54720930153,380891.0
2017-06-30,166.1,167.6,165.785,165.86,314752.0,0.0,1.0,165.91723151408,167.41558098592,165.602578125,165.67749559859,314752.0
2017-09-30,188.71,191.9799,188.26,189.83,175783.0,0.0,1.0,188.71,191.9799,188.26,189.83,175783.0
2017-12-31,207.32,207.6699,205.17,205.25,292887.0,0.0,1.0,207.32,207.6699,205.17,205.25,292887.0
2018-03-31,189.77,189.77,183.915,185.23,418759.0,0.0,1.0,189.77,189.77,183.915,185.23,418759.0
