Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,32.6,35.2,32.15,35.03,6785000.0,0.0,1.0,25.882133368687,27.946352594411,25.524864656543,27.811384414268,6785000.0
2009-06-30,46.63,48.13,46.5,47.7,3008500.0,0.0,1.0,37.415573682101,38.619162799046,37.311262625299,38.274133918855,3008500.0
2009-09-30,66.07,67.22,64.39,65.55,2358200.0,0.0,1.0,53.408011127216,54.337619312418,52.049974821877,52.987666556516,2358200.0
2009-12-31,69.35,69.88,67.07,67.07,1659900.0,0.0,1.0,56.464351887781,56.895874692402,54.607989633936,54.607989633936,1659900.0
2010-03-31,75.69,76.18,75.1801,75.44,998800.0,0.0,1.0,62.030448822274,62.432019966717,61.612568972169,61.825565585313,998800.0
2010-06-30,72.06,73.49,71.07,71.34,1630200.0,0.0,1.0,59.451093747534,60.630875374775,58.634321851752,58.857077823329,1630200.0
2010-09-30,83.95,84.95,82.63,83.12,1829400.0,0.0,1.0,69.668213866853,70.498091339955,68.57277560236,68.979415564179,1829400.0
2010-12-31,86.53,86.98,86.03,86.1,745900.0,0.0,1.0,72.224332412508,72.599935666704,71.8069954634,71.865422636275,745900.0
2011-03-31,93.8,94.95,93.57,94.85,776600.0,0.0,1.0,78.710998113459,79.676005019967,78.517996732157,79.592091375923,776600.0
2011-06-30,105.95,106.5,105.17,106.16,939000.0,0.0,1.0,89.332711549703,89.796449080164,88.675047415595,89.509774970425,939000.0
2011-09-30,91.29,92.72,89.02,89.1,2050200.0,0.0,1.0,77.395806407268,78.608162669317,75.471296816464,75.539120943012,2050200.0
2011-12-31,100.36,100.69,99.6,99.6,544200.0,0.0,1.0,85.557729242958,85.839056969643,84.909822963318,84.909822963318,544200.0
2012-03-31,104.61,105.31,104.32,104.99,1209100.0,0.0,1.0,89.651027278924,90.250929000511,89.402496565695,89.9766882135,1209100.0
2012-06-30,106.83,108.37,105.99,108.37,984200.0,0.0,1.0,92.038449628621,93.36522312322,91.314754995203,93.36522312322,984200.0
2012-09-30,110.79,111.19,110.32,110.61,909700.0,0.0,1.0,95.925674495514,96.272007827026,95.518732830988,95.769824496334,909700.0
2012-12-31,104.7,105.84,104.53,105.81,810100.0,0.0,1.0,91.210375028971,92.203496590892,91.062277953948,92.177361812946,810100.0
2013-03-31,100.3,101.47,99.93,101.06,1691600.0,0.0,1.0,87.941502639102,88.96734070578,87.617092310324,88.607858990106,1691600.0
2013-06-30,106.3,106.9,105.37,105.47,1079500.0,0.0,1.0,93.785229025166,94.314590618911,92.964718554861,93.052945487152,1079500.0
2013-09-30,106.68,107.97,106.282,106.9,994200.0,0.0,1.0,94.693644069662,95.838702195363,94.340362570414,94.888925300402,994200.0
2013-12-31,101.15,101.615,99.89,100.37,896800.0,0.0,1.0,92.378375015766,92.803050689343,91.227640932524,91.666015821378,896800.0
2014-03-31,114.2,115.2,113.2,114.53,685000.0,0.0,1.0,104.8964167403,105.81494928619,103.97788419441,105.19953248044,685000.0
2014-06-30,118.23,118.59,117.33,118.18,694800.0,0.0,1.0,109.19983137082,109.53233529785,108.36857155323,109.15365026984,694800.0
2014-09-30,115.9,116.31,114.86,115.76,1036530.0,0.0,1.0,107.65153232421,108.03235310293,106.68554790992,107.52149596075,1036530.0
2014-12-31,131.57,132.37,128.49,128.69,1107513.0,0.0,1.0,122.81384334274,123.56060228987,119.93882139628,120.12551113307,1107513.0
2015-03-31,141.89,142.23,140.18,140.48,943698.0,0.0,1.0,133.0628021031,133.38165017354,131.45918386647,131.74052039921,943698.0
2015-06-30,121.64,122.34,120.44,121.04,782851.0,0.0,1.0,114.67330866577,115.33321754497,113.54203630142,114.10767248359,782851.0
2015-09-30,118.66,119.6,117.245,118.4,983053.0,0.0,1.0,112.49901800166,113.39021197538,111.1574866476,112.25251754084,983053.0
2015-12-31,128.91,128.97,127.49,127.54,528575.0,0.0,1.0,124.00554722124,124.06326448781,122.63957191246,122.6876696346,528575.0
2016-03-31,126.69,127.23,126.04,127.08,716157.0,0.0,1.0,122.49488416033,123.01700301301,121.86640776358,122.87196999838,716157.0
2016-06-30,131.63,131.99,130.2,131.9,818453.0,0.0,1.0,127.91294247131,128.26277654629,126.52332378458,128.17531802754,818453.0
2016-09-30,137.39,137.9,135.87,136.29,830028.0,0.0,1.0,134.13741360672,134.63533980906,132.65339825857,133.06345513109,830028.0
2016-12-31,123.82,126.48,123.51,125.78,792511.0,0.0,1.0,121.6290477989,124.24198001619,121.324533142,123.5543662748,792511.0
2017-03-31,131.15,132.56,130.255,132.41,887545.0,0.0,1.0,129.56613116408,130.95910291354,128.6819398763,130.81091442955,887545.0
2017-06-30,123.5,124.02,122.63,123.02,569988.0,0.0,1.0,122.75012143782,123.2669640544,121.88540398316,122.2730359456,569988.0
2017-09-30,122.4,123.35,122.29,122.88,682909.0,0.0,1.0,122.4,123.35,122.29,122.88,682909.0
2017-12-31,129.1,130.42,129.025,130.03,649357.0,0.0,1.0,129.1,130.42,129.025,130.03,649357.0
2018-03-31,119.97,123.01,118.73,120.87,674921.0,0.0,1.0,119.97,123.01,118.73,120.87,674921.0
