Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,31.44,31.94,31.24,31.48,4408300.0,0.0,1.0,18.756648428308,19.054941183211,18.637331326347,18.7805118487,4408300.0
2009-06-30,30.82,30.95,30.4,30.55,2631200.0,0.0,1.0,18.490998776243,18.568994553041,18.239012420434,18.329007547509,2631200.0
2009-09-30,27.03,27.07,26.54,26.8,4793000.0,0.0,1.0,22.660559913805,22.694093853744,22.249769149551,22.467739759155,4793000.0
2009-12-31,32.63,32.8,32.22,32.24,1624300.0,0.0,1.0,27.500597681701,27.643873857181,27.155049258487,27.171905279131,1624300.0
2010-03-31,36.42,36.45,35.95,36.03,3133500.0,0.0,1.0,30.842182383403,30.867587805465,30.44416410443,30.511911896595,3133500.0
2010-06-30,33.75,34.16,33.52,33.61,4741100.0,0.0,1.0,28.745649995986,29.094856410752,28.549753714532,28.626408781187,4741100.0
2010-09-30,33.42,33.42,32.75,33.04,2853800.0,0.0,1.0,28.632020132472,28.632020132472,28.058008956866,28.306461555263,2853800.0
2010-12-31,38.4,38.59,38.25,38.31,1122300.0,0.0,1.0,33.064920706927,33.228523179175,32.935760860416,32.987424799021,1122300.0
2011-03-31,41.35,41.58,41.02,41.13,2650200.0,0.0,1.0,35.772163934991,35.971138486504,35.486678708908,35.581840450935,2650200.0
2011-06-30,45.21,45.48,44.97,45.42,4361600.0,0.0,1.0,39.298300397644,39.532994958745,39.089683009999,39.480840611833,4361600.0
2011-09-30,42.62,42.81,41.88,41.88,3671600.0,0.0,1.0,37.231733297245,37.397712399227,36.585288373736,36.585288373736,3671600.0
2011-12-31,40.53,40.93,40.45,40.61,870100.0,0.0,1.0,35.595985194482,35.947290254383,35.525724182501,35.666246206462,870100.0
2012-03-31,43.17,43.3,42.9,43.11,2030000.0,0.0,1.0,38.104524934116,38.219271013371,37.866206154125,38.05156520523,2030000.0
2012-06-30,41.64,42.0,41.16,42.0,3293800.0,0.0,1.0,36.970493387639,37.290123013469,36.544320553199,37.290123013469,3293800.0
2012-09-30,39.48,39.57,38.86,38.97,4259500.0,0.0,1.0,35.262784266594,35.343170552916,34.709012071931,34.807261977435,4259500.0
2012-12-31,40.67,41.19,40.49,41.18,1941900.0,0.275,1.0,36.8152138238,37.285927155208,36.652274593697,37.276874975758,1941900.0
2013-03-31,41.75,41.7975,41.55,41.62,6387700.0,0.0,1.0,38.042022868556,38.085304211939,37.859785633257,37.923568665612,6387700.0
2013-06-30,47.71,47.94,47.2,47.2,6540100.0,0.0,1.0,43.74826853819,43.959169853717,43.280617795065,43.280617795065,6540100.0
2013-09-30,52.0,52.23,51.79,52.15,1861500.0,0.0,1.0,47.957932040832,48.17005366332,47.764255776821,48.096272229411,1861500.0
2013-12-31,67.17,67.34,66.56,66.81,1232500.0,0.0,1.0,62.228138455286,62.385631138588,61.663017650496,61.894624537705,1232500.0
2014-03-31,70.23,70.63,69.71,69.98,3300300.0,0.0,1.0,65.345463120155,65.717642890169,64.861629419137,65.112850763896,3300300.0
2014-06-30,69.35,69.38,68.44,68.56,1578000.0,0.0,1.0,64.84622204576,64.87427376402,63.995319925188,64.10752679823,1578000.0
2014-09-30,75.81,75.964,74.9,74.92,1567833.0,0.0,1.0,71.20771137583,71.352362313066,70.352955837616,70.371741673621,1567833.0
2014-12-31,82.15,82.42,80.66,80.73,790566.0,0.0,1.0,77.486297895512,77.740969842338,76.080886040803,76.146912101092,790566.0
2015-03-31,90.57,91.42,90.16,90.27,2290088.0,0.0,1.0,85.750997905698,86.555771541779,85.362812975353,85.466960151787,2290088.0
2015-06-30,84.63,84.87,83.57,83.65,4071790.0,0.0,1.0,80.497353321854,80.7256336574,79.489115173193,79.565208618375,4071790.0
2015-09-30,77.63,78.16,76.11,76.82,2100854.0,0.0,1.0,74.211645083346,74.718307094092,72.75857667517,73.437312576358,2100854.0
2015-12-31,89.42,90.549,89.25,89.27,1059913.0,0.0,1.0,85.847867298045,86.931766226467,85.684658424855,85.70385946876,1059913.0
2016-03-31,81.78,82.43,81.46,81.95,1663002.0,0.0,1.0,78.884608725995,79.511595711467,78.575938210071,79.04858993758,1663002.0
2016-06-30,77.36,78.17,76.97,78.01,2992890.0,0.0,1.0,75.054496248517,75.840356408307,74.676119134545,75.685124771805,2992890.0
2016-09-30,77.11,78.0,76.78,77.7,2614015.0,0.0,1.0,75.248657907848,76.117174384803,74.926623708528,75.824416021784,2614015.0
2016-12-31,72.33,72.61,71.72,71.97,1613135.0,0.0,1.0,71.021984325139,71.296920805314,70.423015564758,70.668494564914,1613135.0
2017-03-31,81.51,81.97,81.22,81.55,1735844.0,0.0,1.0,80.475989764948,80.930154349561,80.189668613778,80.515482337523,1735844.0
2017-06-30,78.67,78.6729,77.73,77.92,1885757.0,0.0,1.0,78.130604612508,78.133484728859,77.197049657178,77.385746935383,1885757.0
2017-09-30,66.76,67.6,66.57,66.92,2796480.0,0.462,1.0,66.76,67.6,66.57,66.92,2796480.0
2017-12-31,61.93,62.12,61.26,61.27,1504633.0,0.0,1.0,61.93,62.12,61.26,61.27,1504633.0
2018-03-31,62.1,62.3999,60.82,61.22,2605031.0,0.0,1.0,62.1,62.3999,60.82,61.22,2605031.0
