Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,24.94,25.94,24.53,25.45,3048800.0,0.0,1.0,20.90414681166,21.742324310122,20.56049403729,21.331617335876,3048800.0
2009-06-30,35.89,36.33,34.48,35.21,2958500.0,0.0,1.0,30.242445619932,30.613208397106,29.054319447625,29.669448600663,2958500.0
2009-09-30,44.79,45.2189,43.62,44.81,3716500.0,0.0,1.0,37.890455627676,38.253286983307,36.900684851065,37.90737478625,3716500.0
2009-12-31,46.35,46.65,45.85,45.86,683500.0,0.0,1.0,39.352687932705,39.607397886962,38.928171342276,38.936661674085,683500.0
2010-03-31,61.93,62.49,61.61,61.95,2397000.0,0.0,1.0,52.743600614075,53.220532898007,52.4710678804,52.76063390993,2397000.0
2010-06-30,66.19,67.36,65.02,65.13,3268500.0,0.0,1.0,56.515771004289,57.51476559675,55.516776411827,55.610698980349,3268500.0
2010-09-30,92.4,92.86,89.68,90.58,2607700.0,0.0,1.0,79.149880334941,79.543916535743,76.819927147592,77.590867540465,2607700.0
2010-12-31,109.85,111.87,109.09,110.01,1091000.0,0.0,1.0,94.3608625996,96.096037314677,93.708024587987,94.498302180992,1091000.0
2011-03-31,109.24,110.334,108.58,109.62,1957000.0,0.0,1.0,94.058805716187,95.000771419716,93.490526589743,94.385996728382,1957000.0
2011-06-30,101.37,104.17,100.57,103.49,3547100.0,0.0,1.0,87.494280069112,89.911010701385,86.803785602748,89.324090404975,3547100.0
2011-09-30,83.88,84.62,81.51,81.66,5810800.0,0.0,1.0,72.745829054526,73.387601986099,70.690421152056,70.820510259807,5810800.0
2011-12-31,88.09,88.94,88.02,88.02,1149900.0,0.0,1.0,76.719414896424,77.459697592098,76.658450439133,76.658450439133,1149900.0
2012-03-31,120.62,120.76,118.61,120.04,1767800.0,0.0,1.0,105.39382741126,105.51615485146,103.63755487688,104.88704230183,1767800.0
2012-06-30,95.8,98.09,95.16,96.91,4166100.0,0.0,1.0,84.039717411445,86.048600009276,83.478282973624,85.013455264542,4166100.0
2012-09-30,92.13,92.69,91.16,92.21,1885000.0,0.0,1.0,81.213680818876,81.707327418882,80.358614386723,81.284201761734,1885000.0
2012-12-31,105.37,108.54,105.24,108.35,1680500.0,0.0,1.0,93.358364579598,96.167000962983,93.243183907724,95.998659981014,1680500.0
2013-03-31,114.14,116.0,113.82,115.81,1773400.0,0.0,1.0,101.56897053881,103.22411584459,101.28421435717,103.05504186174,1773400.0
2013-06-30,108.27,109.73,107.8,108.46,2775000.0,0.0,1.0,96.755455073684,98.060183663391,96.335439705764,96.925248520289,2775000.0
2013-09-30,132.15,133.87,131.74,132.87,925100.0,0.0,1.0,118.69312266744,120.23797450995,118.32487310033,119.33980483408,925100.0
2013-12-31,140.0,141.39,139.955,140.97,762700.0,0.0,1.0,126.34829190494,127.60274994599,126.30767995397,127.22370507028,762700.0
2014-03-31,148.35,150.3399,147.51,148.99,2115200.0,0.0,1.0,134.48184714559,136.28572599719,133.72037258137,135.06201824214,2115200.0
2014-06-30,154.65,155.3598,153.85,154.29,1056200.0,0.0,1.0,140.78100334004,141.42714854645,140.05274726069,140.45328810433,1056200.0
2014-09-30,132.89,133.15,131.24,131.98,1472490.0,0.0,1.0,121.61311221863,121.85104892701,120.10312926159,120.78033373929,1472490.0
2014-12-31,146.16,146.82,144.13,144.17,752586.0,0.0,1.0,134.47735119493,135.08459703366,132.60961020611,132.64641298421,752586.0
2015-03-31,139.0,139.12,138.09,138.64,1099406.0,0.0,1.0,128.60710162744,128.71812934107,127.76514146571,128.27401848653,1099406.0
2015-06-30,132.34,132.78,131.04,131.19,1424302.0,0.0,1.0,123.12458788601,123.53394876458,121.91511256296,122.05466740793,1424302.0
2015-09-30,109.02,109.3799,106.7001,108.58,2368402.0,0.0,1.0,102.20445590587,102.54185623316,100.02958783345,101.79196314676,2368402.0
2015-12-31,88.85,89.4899,88.0,88.01,1458647.0,0.0,1.0,84.121168071221,84.727010901258,83.316407318711,83.32587509227,1458647.0
2016-03-31,109.2,110.29,108.9,109.94,1752516.0,0.0,1.0,104.42165011697,105.46395413371,104.13477745181,105.12926935769,1752516.0
2016-06-30,109.97,112.44,109.46,112.44,1338268.0,0.0,1.0,106.08439565654,108.46712237539,105.59241564577,108.46712237539,1338268.0
2016-09-30,125.33,128.6,125.19,128.15,1760760.0,0.0,1.0,121.88348724613,125.0635638702,121.7473371766,124.62593864671,1760760.0
2016-12-31,136.61,137.6,136.13,136.67,1203088.0,0.0,1.0,133.85879107755,134.82885332165,133.38845786829,133.91758272871,1203088.0
2017-03-31,151.24,152.38,150.84,151.2,849395.0,0.0,1.0,149.19184999344,150.31641167681,148.79726694665,149.15239168876,849395.0
2017-06-30,160.72,163.275,160.13,162.22,975455.0,0.0,1.0,159.60345812428,162.14070822076,159.01755692783,161.09303743728,975455.0
2017-09-30,168.27,169.3,167.81,168.03,753586.0,0.0,1.0,168.27,169.3,167.81,168.03,753586.0
2017-12-31,177.73,177.92,176.5,176.64,551873.0,0.0,1.0,177.73,177.92,176.5,176.64,551873.0
2018-03-31,161.13,162.2287,158.36,158.75,1676214.0,0.0,1.0,161.13,162.2287,158.36,158.75,1676214.0
