Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,32.65,33.52,32.27,32.73,2059000.0,0.0,1.0,8.1625,8.38,8.0675,8.1825,8236000.0
2009-06-30,38.95,39.15,37.95,38.17,1821500.0,0.0,1.0,9.7375,9.7875,9.4875,9.5425,7286000.0
2009-09-30,57.13,57.72,56.0,56.93,1776400.0,0.0,1.0,14.2825,14.43,14.0,14.2325,7105600.0
2009-12-31,74.08,74.36,73.55,73.77,1359100.0,0.0,1.0,18.52,18.59,18.3875,18.4425,5436400.0
2010-03-31,75.29,75.52,74.29,74.45,1136800.0,0.0,1.0,18.8225,18.88,18.5725,18.6125,4547200.0
2010-06-30,85.06,87.57,84.89,85.82,3875400.0,0.0,1.0,21.265,21.8925,21.2225,21.455,15501600.0
2010-09-30,114.72,116.3982,111.75,111.8,3455400.0,0.0,1.0,28.68,29.09955,27.9375,27.95,13821600.0
2010-12-31,131.68,132.17,129.66,132.0,2009700.0,0.0,1.0,32.92,33.0425,32.415,33.0,8038800.0
2011-03-31,132.47,133.96,131.69,133.58,2738700.0,0.0,1.0,33.1175,33.49,32.9225,33.395,10954800.0
2011-06-30,147.15,149.61,146.9,148.98,1761300.0,0.0,1.0,36.7875,37.4025,36.725,37.245,7045200.0
2011-09-30,115.97,118.33,113.06,114.28,3072600.0,0.0,1.0,28.9925,29.5825,28.265,28.57,12290400.0
2011-12-31,102.06,103.1,101.3,101.46,2036100.0,0.0,1.0,25.515,25.775,25.325,25.365,8144400.0
2012-03-31,156.73,156.98,152.9,154.51,1605200.0,0.0,1.0,39.1825,39.245,38.225,38.6275,6420800.0
2012-06-30,135.34,138.31,135.155,138.26,2640200.0,0.0,1.0,33.835,34.5775,33.78875,34.565,10560800.0
2012-09-30,151.69,154.28,151.1,152.69,1553200.0,0.0,1.0,37.9225,38.57,37.775,38.1725,6212800.0
2012-12-31,163.81,168.33,162.91,168.1,1536800.0,0.0,1.0,40.9525,42.0825,40.7275,42.025,6147200.0
2013-03-31,175.83,179.22,175.08,178.83,1635300.0,0.0,1.0,43.9575,44.805,43.77,44.7075,6541200.0
2013-06-30,38.44,38.57,37.81,38.18,5064800.0,0.0,1.0,38.44,38.57,37.81,38.18,5064800.0
2013-09-30,51.14,52.25,50.76,51.91,5051500.0,0.0,1.0,51.14,52.25,50.76,51.91,5051500.0
2013-12-31,55.14,55.55,54.86,55.19,3101700.0,0.0,1.0,55.14,55.55,54.86,55.19,3101700.0
2014-03-31,56.17,57.18,56.14,57.09,6520600.0,0.0,1.0,56.17,57.18,56.14,57.09,6520600.0
2014-06-30,57.35,58.63,57.35,58.08,5393200.0,0.0,1.0,57.35,58.63,57.35,58.08,5393200.0
2014-09-30,57.17,57.675,56.71,57.53,3923604.0,0.0,1.0,57.17,57.675,56.71,57.53,3923604.0
2014-12-31,59.39,60.23,59.22,59.31,3240252.0,0.0,1.0,59.39,60.23,59.22,59.31,3240252.0
2015-03-31,66.51,67.96,66.46,66.81,4031406.0,0.0,1.0,66.51,67.96,66.46,66.81,4031406.0
2015-06-30,70.68,70.775,69.11,69.63,3559892.0,0.0,1.0,70.68,70.775,69.11,69.63,3559892.0
2015-09-30,69.08,69.62,67.82,69.43,4016898.0,0.0,1.0,69.08,69.62,67.82,69.43,4016898.0
2015-12-31,78.99,79.415,78.36,78.4,2463047.0,0.0,1.0,78.99,79.415,78.36,78.4,2463047.0
2016-03-31,74.06,74.39,73.38,73.83,4226854.0,0.0,1.0,74.06,74.39,73.38,73.83,4226854.0
2016-06-30,79.35,79.96,79.09,79.41,4644277.0,0.0,1.0,79.35,79.96,79.09,79.41,4644277.0
2016-09-30,71.3,71.79,71.25,71.33,5806105.0,0.0,1.0,71.3,71.79,71.25,71.33,5806105.0
2016-12-31,69.36,69.38,68.23,68.46,4523257.0,0.0,1.0,69.36,69.38,68.23,68.46,4523257.0
2017-03-31,82.27,82.93,82.19,82.49,3174023.0,0.0,1.0,82.27,82.93,82.19,82.49,3174023.0
2017-06-30,86.8,87.25,86.3,86.6,3922225.0,0.0,1.0,86.8,87.25,86.3,86.6,3922225.0
2017-09-30,92.77,93.47,92.62,93.42,4622036.0,0.0,1.0,92.77,93.47,92.62,93.42,4622036.0
2017-12-31,102.61,103.17,102.21,102.23,2448414.0,0.0,1.0,102.61,103.17,102.21,102.23,2448414.0
2018-03-31,120.09,120.16,112.715,113.81,8194019.0,0.0,1.0,120.09,120.16,112.715,113.81,8194019.0
