Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-12-31,22.8,22.84,22.38,22.43,156700.0,0.0,1.0,22.012157275975,22.050775095758,21.60667016826,21.654942442988,156700.0
2010-03-31,26.4,26.4,24.85,25.25,1212100.0,0.0,1.0,25.487761056392,25.487761056392,23.991320539824,24.377498737648,1212100.0
2010-06-30,28.28,28.72,27.21,27.55,1636800.0,0.0,1.0,27.302798586166,27.727594603772,26.269771906986,26.598023375137,1636800.0
2010-09-30,29.55,29.66,28.89,29.25,788100.0,0.0,1.0,28.528914364257,28.635113368659,27.891720337848,28.239280715889,788100.0
2010-12-31,30.61,30.84,30.34,30.67,572400.0,0.0,1.0,29.552286588491,29.77433905224,29.29161630496,29.610213318165,572400.0
2011-03-31,31.41,31.4499,30.86,31.35,902800.0,0.0,1.0,30.32464298414,30.363164259373,29.793647962132,30.266716254466,902800.0
2011-06-30,33.66,34.39,33.5305,33.89,1313300.0,0.0,1.0,32.4968953469,33.201670557929,32.371870155355,32.718947810649,1313300.0
2011-09-30,37.34,38.3885,36.94,37.76,1778000.0,0.0,1.0,36.049734766882,37.062004367929,35.663556569058,36.455221874598,1778000.0
2011-12-31,41.22,41.48,41.1,41.14,563600.0,0.0,1.0,39.795663285776,40.046679114362,39.679809826429,39.718427646212,563600.0
2012-03-31,46.5,46.64,43.18,46.2,3562500.0,0.0,1.0,44.893215497055,45.028377866293,41.687936455115,44.603581848687,3562500.0
2012-06-30,54.34,54.69,53.72,54.39,3181100.0,0.0,1.0,52.462308174408,52.800214097504,51.86373196778,52.510580449136,3181100.0
2012-09-30,51.83,51.99,51.5,51.54,26313000.0,0.0,1.0,50.039039983061,50.193511262191,49.720442969857,49.759060789639,26313000.0
2012-12-31,42.6,44.12,42.6,44.09,3404100.0,0.0,1.0,41.12797806827,42.595455220001,41.12797806827,42.566491855165,3404100.0
2013-03-31,50.3,50.72,50.24,50.58,33355800.0,0.0,1.0,48.561908376384,48.9673954841,48.503981646711,48.832233114861,33355800.0
2013-06-30,51.45,51.586,50.43,50.43,8498100.0,0.0,1.0,49.672170695129,49.803471282389,48.687416290677,48.687416290677,8498100.0
2013-09-30,56.23,56.76,55.71,56.46,1860400.0,0.0,1.0,54.287000159127,54.798686271244,53.784968501956,54.509052622876,1860400.0
2013-12-31,60.92,61.09,60.1404,60.32,1699800.0,0.0,1.0,58.814939528615,58.97906526269,58.062278221056,58.235672231879,1699800.0
2014-03-31,55.67,55.88,55.12,55.48,3526300.0,0.0,1.0,53.746350682173,53.949094236031,53.215355660165,53.562916038207,3526300.0
2014-06-30,57.0,57.55,56.5,57.36,10277100.0,0.0,1.0,55.030393189938,55.561388211947,54.547670442658,55.37795356798,10277100.0
2014-09-30,61.12,61.43,60.78,61.11,3255674.0,0.0,1.0,59.008028627527,59.307316730841,58.679777159376,58.998374172581,3255674.0
2014-12-31,71.21,71.7,70.65,70.7,1687001.0,0.0,1.0,68.74937366764,69.222441959975,68.208724190687,68.256996465415,1687001.0
2015-03-31,74.91,76.0,74.87,75.38,3289211.0,0.0,1.0,72.321521997514,73.373857586584,72.282904177731,72.775281379957,3289211.0
2015-06-30,78.46,78.56,77.54,77.74,1962572.0,0.0,1.0,76.186349153245,76.28345130613,75.293009346707,75.487213652476,1962572.0
2015-09-30,71.17,72.59,71.04,72.44,4207095.0,0.0,1.0,69.327626411805,70.71086695564,69.20099171413,70.564749996784,4207095.0
2015-12-31,72.04,72.22,71.76,71.87,1216225.0,0.0,1.0,70.390847129934,70.566726536977,70.1172569412,70.22473880106,1216225.0
2016-03-31,86.13,86.465,85.285,85.6,2594576.0,0.0,1.0,84.408916568745,84.737222467393,83.580801690066,83.889507236556,2594576.0
2016-06-30,94.08,94.16,93.25,94.0,3181675.0,0.0,1.0,92.454079189202,92.532696603479,91.638423516083,92.375461774926,3181675.0
2016-09-30,69.58,70.47,68.77,69.99,4880730.0,0.0,1.0,68.615678789834,69.493344126467,67.816904719414,69.019996529182,4880730.0
2016-12-31,74.1,74.435,73.67,74.07,1589389.0,0.0,1.0,73.313565401152,73.645009995071,72.888129056719,73.283883795726,1589389.0
2017-03-31,70.69,70.93,69.71,69.73,2122007.0,0.0,1.0,69.939756251112,70.177209094517,68.970157140544,68.989944877494,2122007.0
2017-06-30,71.3,72.49,71.05,72.09,2769326.0,0.0,1.0,70.807832255206,71.989617954837,70.55955794856,71.592379064204,2769326.0
2017-09-30,80.17,81.3,80.03,81.05,2453039.0,0.0,1.0,79.911355006825,81.037709393225,79.771806675766,80.788515944906,2453039.0
2017-12-31,92.92,93.85,92.87,93.01,2317632.0,0.0,1.0,92.92,93.85,92.87,93.01,2317632.0
2018-03-31,93.0,93.45,91.93,92.43,2067191.0,0.0,1.0,93.0,93.45,91.93,92.43,2067191.0
