Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,45.02,45.33,44.01,44.55,2332267.0,0.0,1.0,15.006666666666668,15.11,14.669999999999998,14.849999999999998,6996801.0
2009-06-30,42.65,43.28,41.966,42.1,1082400.0,0.0,1.0,14.216666666666665,14.426666666666666,13.988666666666667,14.033333333333333,3247200.0
2009-09-30,48.83,49.06,48.04,48.68,1771467.0,0.0,1.0,16.276666666666664,16.35333333333333,16.013333333333332,16.226666666666667,5314401.0
2009-12-31,48.56,48.95,48.3,48.3,394067.0,0.0,1.0,16.186666666666667,16.316666666666666,16.099999999999998,16.099999999999998,1182201.0
2010-03-31,59.7,59.9,59.01,59.22,967800.0,0.0,1.0,19.9,19.966666666666665,19.669999999999998,19.74,2903400.0
2010-06-30,41.8,42.3,41.6,41.63,2408100.0,0.0,1.0,20.9,21.15,20.8,20.815,4816200.0
2010-09-30,49.7,49.84,48.6,48.76,1522200.0,0.0,1.0,24.85,24.92,24.3,24.38,3044400.0
2010-12-31,56.53,56.79,56.01,56.08,710900.0,0.0,1.0,28.265,28.395,28.005,28.04,1421800.0
2011-03-31,56.2,56.24,54.91,55.52,1268800.0,0.0,1.0,28.1,28.12,27.455,27.76,2537600.0
2011-06-30,67.57,67.99,66.45,66.62,1526100.0,0.0,1.0,33.785,33.995,33.225,33.31,3052200.0
2011-09-30,74.36,76.22,74.01,75.14,1421000.0,0.0,1.0,37.18,38.11,37.005,37.57,2842000.0
2011-12-31,84.19,84.36,83.08,83.11,985800.0,0.0,1.0,42.095,42.18,41.54,41.555,1971600.0
2012-03-31,94.94,95.13,94.205,94.49,1491200.0,0.0,1.0,47.47,47.565,47.1025,47.245,2982400.0
2012-06-30,53.33,53.95,53.06,53.8,2568500.0,0.0,1.0,53.33,53.95,53.06,53.8,2568500.0
2012-09-30,48.23,48.43,47.82,48.29,2175400.0,0.0,1.0,48.23,48.43,47.82,48.29,2175400.0
2012-12-31,39.47,40.58,39.27,40.56,2278900.0,0.0,1.0,39.47,40.58,39.27,40.56,2278900.0
2013-03-31,47.77,48.47,47.33,48.43,2597700.0,0.0,1.0,47.77,48.47,47.33,48.43,2597700.0
2013-06-30,50.06,51.29,50.02,50.84,2607100.0,0.0,1.0,50.06,51.29,50.02,50.84,2607100.0
2013-09-30,56.76,57.43,56.36,57.16,2220600.0,0.0,1.0,56.76,57.43,56.36,57.16,2220600.0
2013-12-31,56.66,56.71,56.28,56.42,887200.0,0.0,1.0,56.66,56.71,56.28,56.42,887200.0
2014-03-31,52.25,52.41,51.71,52.18,2033800.0,0.0,1.0,52.25,52.41,51.71,52.18,2033800.0
2014-06-30,53.47,54.56,53.16,54.46,2963100.0,0.0,1.0,53.47,54.56,53.16,54.46,2963100.0
2014-09-30,55.99,56.3,55.86,56.07,1612693.0,0.0,1.0,55.99,56.3,55.86,56.07,1612693.0
2014-12-31,70.98,71.53,70.32,70.38,2182634.0,0.0,1.0,70.98,71.53,70.32,70.38,2182634.0
2015-03-31,81.67,82.44,81.13,81.145,2372932.0,0.0,1.0,81.67,82.44,81.13,81.145,2372932.0
2015-06-30,80.2,80.79,78.28,78.99,2482400.0,0.0,1.0,80.2,80.79,78.28,78.99,2482400.0
2015-09-30,67.13,67.24,66.05,66.66,4035519.0,0.0,1.0,67.13,67.24,66.05,66.66,4035519.0
2015-12-31,77.43,78.22,77.14,77.22,1163347.0,0.0,1.0,77.43,78.22,77.14,77.22,1163347.0
2016-03-31,83.25,83.55,81.8395,82.46,2180502.0,0.0,1.0,83.25,83.55,81.8395,82.46,2180502.0
2016-06-30,94.79,94.82,93.55,94.24,1791144.0,0.0,1.0,94.79,94.82,93.55,94.24,1791144.0
2016-09-30,77.47,79.32,77.28,78.93,4124962.0,0.0,1.0,77.47,79.32,77.28,78.93,4124962.0
2016-12-31,77.57,77.722,76.42,77.18,1688482.0,0.0,1.0,77.57,77.722,76.42,77.18,1688482.0
2017-03-31,79.28,79.88,78.44,78.46,2628316.0,0.0,1.0,79.28,79.88,78.44,78.46,2628316.0
2017-06-30,70.01,70.41,69.2301,69.92,2799580.0,0.0,1.0,70.01,70.41,69.2301,69.92,2799580.0
2017-09-30,85.68,87.19,85.68,86.82,1803445.0,0.0,1.0,85.68,87.19,85.68,86.82,1803445.0
2017-12-31,107.86,108.7,107.27,107.31,1345472.0,0.0,1.0,107.86,108.7,107.27,107.31,1345472.0
2018-03-31,95.68,95.68,93.06,93.63,1483266.0,0.0,1.0,95.68,95.68,93.06,93.63,1483266.0
