Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,18.15,18.57,17.78,18.19,5683100.0,0.0,1.0,18.15,18.57,17.78,18.19,5683100.0
2009-06-30,21.68,22.085,21.34,21.72,11538900.0,0.0,1.0,21.68,22.085,21.34,21.72,11538900.0
2009-09-30,19.3,19.47,18.93,19.05,6800200.0,0.0,1.0,19.3,19.47,18.93,19.05,6800200.0
2009-12-31,18.26,18.26,17.73,17.75,3866500.0,0.0,1.0,18.26,18.26,17.73,17.75,3866500.0
2010-03-31,18.66,18.73,18.56,18.66,4220500.0,0.0,1.0,18.66,18.73,18.56,18.66,4220500.0
2010-06-30,14.62,14.8,14.37,14.4,9358500.0,0.0,1.0,14.62,14.8,14.37,14.4,9358500.0
2010-09-30,16.42,16.75,16.24,16.4475,6043200.0,0.0,1.0,16.42,16.75,16.24,16.4475,6043200.0
2010-12-31,16.59,16.64,16.17,16.38,4571200.0,0.0,1.0,16.59,16.64,16.17,16.38,4571200.0
2011-03-31,19.67,19.78,19.4,19.53,3862000.0,0.0,1.0,19.67,19.78,19.4,19.53,3862000.0
2011-06-30,23.61,23.72,23.33,23.6,4357400.0,0.0,1.0,23.61,23.72,23.33,23.6,4357400.0
2011-09-30,20.42,20.99,20.33,20.45,6719700.0,0.0,1.0,20.42,20.99,20.33,20.45,6719700.0
2011-12-31,20.85,20.96,20.58,20.6,2027200.0,0.0,1.0,20.85,20.96,20.58,20.6,2027200.0
2012-03-31,16.56,16.78,16.43,16.485,4035000.0,0.0,1.0,16.56,16.78,16.43,16.485,4035000.0
2012-06-30,12.16,12.37,11.93,12.35,6509300.0,0.0,1.0,12.16,12.37,11.93,12.35,6509300.0
2012-09-30,12.69,12.72,12.45,12.69,4994400.0,0.0,1.0,12.69,12.72,12.45,12.69,4994400.0
2012-12-31,13.89,14.55,13.83,14.52,7190800.0,0.0,1.0,13.89,14.55,13.83,14.52,7190800.0
2013-03-31,17.63,17.73,17.39,17.7,6487400.0,0.0,1.0,17.63,17.73,17.39,17.7,6487400.0
2013-06-30,21.93,23.12,21.93,22.99,7366900.0,0.0,1.0,21.93,23.12,21.93,22.99,7366900.0
2013-09-30,25.59,25.76,25.16,25.55,5138800.0,0.0,1.0,25.59,25.76,25.16,25.55,5138800.0
2013-12-31,23.0,23.16,22.625,22.94,3337400.0,0.0,1.0,23.0,23.16,22.625,22.94,3337400.0
2014-03-31,28.63,29.34,28.39,29.01,3594900.0,0.0,1.0,28.63,29.34,28.39,29.01,3594900.0
2014-06-30,35.92,36.0,35.56,35.87,3521700.0,0.0,1.0,35.92,36.0,35.56,35.87,3521700.0
2014-09-30,35.78,36.12,35.51,35.61,2146424.0,0.0,1.0,35.78,36.12,35.51,35.61,2146424.0
2014-12-31,47.5,47.95,46.97,47.015,1842250.0,0.0,1.0,47.5,47.95,46.97,47.015,1842250.0
2015-03-31,59.0,59.44,58.49,58.815,2470955.0,0.0,1.0,59.0,59.44,58.49,58.815,2470955.0
2015-06-30,66.6,66.98,66.18,66.5,3140085.0,0.0,1.0,66.6,66.98,66.18,66.5,3140085.0
2015-09-30,66.81,67.87,66.49,67.75,2271152.0,0.0,1.0,66.81,67.87,66.49,67.75,2271152.0
2015-12-31,69.44,69.67,68.71,68.72,1143965.0,0.0,1.0,69.44,69.67,68.71,68.72,1143965.0
2016-03-31,66.33,67.1,65.7,66.11,2265048.0,0.0,1.0,66.33,67.1,65.7,66.11,2265048.0
2016-06-30,73.87,76.11,73.23,75.76,3371102.0,0.0,1.0,73.87,76.11,73.23,75.76,3371102.0
2016-09-30,84.35,85.825,83.77,85.4,2860302.0,0.0,1.0,84.35,85.825,83.77,85.4,2860302.0
2016-12-31,80.56,80.56,78.52,78.76,1815869.0,0.0,1.0,80.56,80.56,78.52,78.76,1815869.0
2017-03-31,90.1,90.17,88.85,89.52,1737741.0,0.0,1.0,90.1,90.17,88.85,89.52,1737741.0
2017-06-30,107.1,107.56,105.65,105.72,3193822.0,0.0,1.0,107.1,107.56,105.65,105.72,3193822.0
2017-09-30,116.71,118.17,116.3,118.06,1730832.0,0.0,1.0,116.71,118.17,116.3,118.06,1730832.0
2017-12-31,105.29,105.68,104.39,105.06,2033331.0,0.0,1.0,105.29,105.68,104.39,105.06,2033331.0
2018-03-31,126.37,126.99,118.92,119.98,3011352.0,0.0,1.0,126.37,126.99,118.92,119.98,3011352.0
