Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,2.84,2.87,2.63,2.63,45913600.0,0.0,1.0,2.2385052873988,2.2621514700122,2.0729820091052,2.0729820091052,45913600.0
2009-06-30,5.96,6.16,5.86,6.07,85531400.0,0.0,1.0,4.6977082791891,4.8553494966115,4.6188876704778,4.7844109487714,85531400.0
2009-09-30,7.48,7.5,7.14,7.21,95959600.0,0.0,1.0,5.8957815315997,5.9115456533419,5.6277914619815,5.6829658880794,95959600.0
2009-12-31,10.04,10.06,9.92,10.0,31253700.0,0.0,1.0,7.9135891146071,7.9293532363493,7.8190043841536,7.8820608711226,31253700.0
2010-03-31,12.82,12.95,12.42,12.57,433659100.0,0.0,1.0,10.104802036779,10.207268828104,9.7895196019343,9.9077505150011,433659100.0
2010-06-30,10.1,10.52,10.04,10.08,182831300.0,0.0,1.0,7.9608814798338,8.291928036421,7.9135891146071,7.9451173580916,182831300.0
2010-09-30,12.44,12.46,12.2,12.24,42679600.0,0.0,1.0,9.8052837236765,9.8210478454187,9.6161142627696,9.647642506254,42679600.0
2010-12-31,16.65,16.83,16.61,16.79,22417600.0,0.0,1.0,13.123631350419,13.265508446099,13.092103106935,13.233980202615,22417600.0
2011-03-31,14.82,14.95,14.71,14.91,41909100.0,0.0,1.0,11.681214211004,11.783681002328,11.594511541421,11.752152758844,41909100.0
2011-06-30,13.46,13.97,13.36,13.79,74076900.0,0.0,1.0,10.609253932531,11.011239036958,10.53043332382,10.869361941278,74076900.0
2011-09-30,9.89,10.01,9.65,9.67,56697200.0,0.0,1.0,7.7953582015402,7.8899429319937,7.6061887406333,7.6219528623755,56697200.0
2011-12-31,10.64,10.79,10.6,10.76,26815800.0,0.0,1.0,8.3865127668744,8.5047436799413,8.3549845233899,8.4810974973279,26815800.0
2012-03-31,12.55,12.58,12.4,12.475,36381000.0,0.0,1.0,9.932494118047,9.956237131875,9.813779048907,9.873136583477,36381000.0
2012-06-30,9.95,9.98,9.46,9.59,138138600.0,0.0,1.0,7.9096721317344,7.933520389418,7.5201505895686,7.6234930395309,138138600.0
2012-09-30,9.99,10.001,9.81,9.86,44586300.0,0.0,1.0,7.9846769349171,7.9934688714821,7.8408088820357,7.8807722300583,44586300.0
2012-12-31,12.88,13.08,12.76,12.95,106908900.0,0.0,1.0,10.340681024327,10.50125060545,10.244339275653,10.39688037772,106908900.0
2013-03-31,13.235,13.235,13.1,13.15,25472400.0,0.0,1.0,10.702801552089,10.702801552089,10.593630550236,10.634064254626,25472400.0
2013-06-30,15.56,15.65,15.44,15.47,45034700.0,0.0,1.0,12.677011921378,12.750336540461,12.579245762601,12.603687302296,45034700.0
2013-09-30,16.77,17.01,16.69,16.87,36511300.0,0.0,1.0,13.743761569902,13.940452254266,13.678198008448,13.825716021721,36511300.0
2013-12-31,15.29,15.43,15.26,15.43,27829000.0,0.0,1.0,12.603101171362,12.718499089216,12.578373046107,12.718499089216,27829000.0
2014-03-31,15.6,15.63,15.48,15.6,27054500.0,0.0,1.0,12.96395463046,12.988885312441,12.864231902533,12.96395463046,27054500.0
2014-06-30,17.3,17.35,17.2,17.24,24100000.0,0.0,1.0,14.487967991846,14.529840731707,14.404222512124,14.437720704013,24100000.0
2014-09-30,15.01,15.15,14.49,14.79,115033638.0,0.0,1.0,12.660189321986,12.778272366962,12.221595154935,12.474630251311,115033638.0
2014-12-31,15.51,15.64,15.47,15.5,17930162.0,0.0,1.0,13.199473023973,13.310106904896,13.165431829843,13.19096272544,17930162.0
2015-03-31,16.12,16.29,16.08,16.14,21790301.0,0.0,1.0,13.860910375894,14.007086229734,13.826516057343,13.878107535169,21790301.0
2015-06-30,15.17,15.18,14.9,15.01,28509259.0,0.0,1.0,13.166180566032,13.174859656715,12.931845117592,13.027315115105,28509259.0
2015-09-30,13.37,13.58,13.2701,13.57,40022242.0,0.0,1.0,11.718381563053,11.902439912211,11.630822376953,11.893675228918,40022242.0
2015-12-31,14.14,14.1635,14.04,14.09,19880921.0,0.0,1.0,12.517443160366,12.538246548928,12.428918102654,12.47318063151,19880921.0
2016-03-31,13.34,13.52,13.34,13.5,32937781.0,0.0,1.0,12.207866924792,12.372590766355,12.207866924792,12.354288117293,32937781.0
2016-06-30,12.56,12.57,12.26,12.57,44983767.0,0.0,1.0,11.620279536802,11.62953135172,11.342725089267,11.62953135172,44983767.0
2016-09-30,12.0,12.14,11.99,12.07,34903708.0,0.0,1.0,11.222331341895,11.353258540883,11.21297939911,11.287794941389,34903708.0
2016-12-31,12.24,12.28,12.08,12.13,27401012.0,0.0,1.0,11.591673892387,11.629555179617,11.440148743467,11.487500352505,27401012.0
2017-03-31,11.66,11.68,11.6,11.64,26717520.0,0.0,1.0,11.22035486055,11.239600752249,11.162617185453,11.201108968851,26717520.0
2017-06-30,11.18,11.28,11.16,11.19,40753331.0,0.0,1.0,10.903315939034,11.000841126324,10.883810901576,10.913068457763,40753331.0
2017-09-30,11.97,12.02,11.92,11.97,31168622.0,0.0,1.0,11.823428571429,11.872816326531,11.774040816327,11.823428571429,31168622.0
2017-12-31,12.58,12.61,12.49,12.49,18084247.0,0.0,1.0,12.58,12.61,12.49,12.49,18084247.0
2018-03-31,10.85,10.92,10.72,10.83,38263798.0,0.0,1.0,10.85,10.92,10.72,10.83,38263798.0
