Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,6.72,6.78,6.48,6.62,26918500.0,0.0,1.0,5.4701866365596,5.5190275886717,5.274822828111,5.388785049706,26918500.0
2009-06-30,9.44,9.44,9.0,9.11,16440000.0,0.0,1.0,7.6843097989765,7.6843097989765,7.3261428168208,7.4156845623597,16440000.0
2009-09-30,12.06,12.25,11.72,11.96,22107500.0,0.0,1.0,9.8704331771213,10.025937514074,9.5921622583633,9.7885887892513,22107500.0
2009-12-31,13.85,13.98,13.67,13.69,10380500.0,0.0,1.0,11.335447719994,11.441845424225,11.188127821828,11.204496699402,10380500.0
2010-03-31,14.48,14.63,14.33,14.41,17104900.0,0.0,1.0,11.913310364434,12.036721728707,11.789899000162,11.85571839444,17104900.0
2010-06-30,12.19,12.32,11.94,11.96,23448300.0,0.0,1.0,10.029230203208,10.136186718911,9.8235445960873,9.839999444657,23448300.0
2010-09-30,13.38,13.47,12.97,13.06,36484000.0,0.0,1.0,11.069632625271,11.144092037549,10.730428636006,10.804888048284,36484000.0
2010-12-31,14.47,14.61,14.4,14.56,5780200.0,0.0,1.0,11.971418840633,12.087244593065,11.913505964417,12.045878252911,5780200.0
2011-03-31,17.45,17.71,17.3,17.58,18616800.0,0.0,1.0,14.5011880646,14.717251611694,14.376536018199,14.609219838147,18616800.0
2011-06-30,17.52,17.76,17.41,17.7,14190700.0,0.0,1.0,14.559359019587,14.758802293828,14.467947518893,14.708941475267,14190700.0
2011-09-30,15.7,15.85,15.47,15.48,25307500.0,0.0,1.0,13.123518445059,13.248902379247,12.931263079303,12.939622008249,25307500.0
2011-12-31,17.88,17.95,17.78,17.84,8156700.0,0.0,1.0,14.945764955264,15.004277457886,14.862175665805,14.912329239481,8156700.0
2012-03-31,19.6,19.82,19.36,19.71,31927700.0,0.0,1.0,16.455062787524,16.639762471874,16.253572222779,16.547412629699,31927700.0
2012-06-30,22.28,22.34,21.88,22.29,47950000.0,0.0,1.0,18.705040760512,18.755413401699,18.369223152604,18.71343620071,47950000.0
2012-09-30,24.56,24.79,24.46,24.51,15756100.0,0.0,1.0,20.691773883177,20.885548638597,20.607523989515,20.649648936346,15756100.0
2012-12-31,24.52,25.55,24.4,25.51,23810800.0,0.0,1.0,20.658073925712,21.525847830422,20.556974053319,21.492147872957,23810800.0
2013-03-31,30.19,30.67,30.18,30.51,11509200.0,0.0,1.0,25.505488599987,25.911008127247,25.497040276502,25.775834951494,11509200.0
2013-06-30,32.46,32.85,32.43,32.58,33634500.0,0.0,1.0,27.42325803099,27.752742646889,27.397913060536,27.524637912805,33634500.0
2013-09-30,33.07,33.58,32.8,33.51,12143100.0,0.0,1.0,31.684385390348,32.17301667396,31.4256982402,32.105949635033,12143100.0
2013-12-31,35.0,35.21,34.995,35.17,6649600.0,0.0,1.0,33.533519463628,33.734720580409,33.528728960847,33.696396558165,6649600.0
2014-03-31,31.67,32.15,31.67,31.97,10982000.0,0.0,1.0,30.455626403921,30.917220994192,30.455626403921,30.74412302284,10982000.0
2014-06-30,35.31,35.61,35.12,35.15,11021600.0,0.0,1.0,33.956052046809,34.244548665729,33.773337521494,33.802187183386,11021600.0
2014-09-30,34.11,34.62,34.11,34.29,10073883.0,0.0,1.0,32.916342555424,33.408495434441,32.916342555424,33.090043571547,10073883.0
2014-12-31,38.88,39.02,38.4,38.405,6740090.0,0.0,1.0,37.519419482699,37.654520273018,37.056216773036,37.061041801262,6740090.0
2015-03-31,34.41,34.53,33.76,33.84,12670646.0,0.0,1.0,33.349302677458,33.465603645819,32.719339098837,32.796873077744,12670646.0
2015-06-30,32.62,32.91,32.36,32.545,14752607.0,0.0,1.0,31.614479899409,31.895540572948,31.362494467961,31.541791794184,14752607.0
2015-09-30,25.98,27.02,25.92,26.98,26798389.0,0.0,1.0,25.321844725576,26.335498248077,25.263364714662,26.296511574135,26798389.0
2015-12-31,27.2,27.4642,27.07,27.16,7038333.0,0.0,1.0,26.510938280818,26.768445262208,26.384231590505,26.471951606876,7038333.0
2016-03-31,27.98,28.035,27.8,27.88,8846220.0,0.0,1.0,27.417797661526,27.471692546136,27.241414402803,27.319806962236,8846220.0
2016-06-30,27.13,27.27,26.855,27.05,15012081.0,0.0,1.0,26.584876717556,26.722063696563,26.315402294506,26.506484158123,15012081.0
2016-09-30,24.21,24.42,24.04,24.22,9680353.0,0.0,1.0,23.901846364811,24.109173408867,23.734010186289,23.911719081194,9680353.0
2016-12-31,28.29,28.37,27.92,28.04,6161189.0,0.0,1.0,27.929914649339,28.008896380408,27.564624143144,27.683096739748,6161189.0
2017-03-31,32.22,32.6,32.2,32.39,6709777.0,0.0,1.0,31.997622699387,32.375,31.977760736196,32.166449386503,6709777.0
2017-06-30,28.25,28.37,27.86,28.34,7715489.0,0.0,1.0,28.055023006135,28.174194785276,27.667714723926,28.144401840491,7715489.0
2017-09-30,26.57,26.665,26.24,26.38,8836328.0,0.0,1.0,26.57,26.665,26.24,26.38,8836328.0
2017-12-31,34.3,34.7,34.3,34.53,8046143.0,0.0,1.0,34.3,34.7,34.3,34.53,8046143.0
2018-03-31,37.21,37.22,36.25,36.48,8811943.0,0.0,1.0,37.21,37.22,36.25,36.48,8811943.0
