Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2014-03-31,566.89,567.0,556.93,556.97,10800.0,0.0,1.0,566.89,567.0,556.93,556.97,10800.0
2014-06-30,578.66,579.57,574.75,575.28,1310200.0,0.0,1.0,578.66,579.57,574.75,575.28,1310200.0
2014-09-30,576.93,579.85,572.85,577.36,1618437.0,0.0,1.0,576.93,579.85,572.85,577.36,1618437.0
2014-12-31,531.25,532.6,525.8,526.4,1371819.0,0.0,1.0,531.25,532.6,525.8,526.4,1371819.0
2015-03-31,550.0,554.71,546.72,548.0,1583677.0,0.0,1.0,550.0,554.71,546.72,548.0,1583677.0
2015-06-30,526.02,526.25,520.5,520.51,2235595.0,0.0,1.0,526.02,526.25,520.5,520.51,2235595.0
2015-09-30,603.28,608.76,600.73,608.42,2332087.0,0.0,1.0,603.28,608.76,600.73,608.42,2332087.0
2015-12-31,769.5,769.5,758.34,758.88,1500923.0,0.0,1.0,769.5,769.5,758.34,758.88,1500923.0
2016-03-31,749.25,750.85,740.94,744.95,1718798.0,0.0,1.0,749.25,750.85,740.94,744.95,1718798.0
2016-06-30,685.47,692.32,683.65,692.1,1597714.0,0.0,1.0,685.47,692.32,683.65,692.1,1597714.0
2016-09-30,776.33,780.94,774.09,777.29,1585333.0,0.0,1.0,776.33,780.94,774.09,777.29,1585333.0
2016-12-31,782.75,782.78,770.41,771.82,1769950.0,0.0,1.0,782.75,782.78,770.41,771.82,1769950.0
2017-03-31,828.97,831.64,827.39,829.56,1401893.0,0.0,1.0,828.97,831.64,827.39,829.56,1401893.0
2017-06-30,926.05,926.05,908.31,908.73,2035931.0,0.0,1.0,926.05,926.05,908.31,908.73,2035931.0
2017-09-30,952.0,959.7864,951.51,959.11,1533133.0,0.0,1.0,952.0,959.7864,951.51,959.11,1533133.0
2017-12-31,1046.72,1049.7,1044.9,1046.4,867943.0,0.0,1.0,1046.72,1049.7,1044.9,1046.4,867943.0
2018-03-31,1063.0,1064.84,996.92,1005.1,3029471.0,0.0,1.0,1063.0,1064.84,996.92,1005.1,3029471.0
