Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2011-03-31,34.0,34.11,33.665,33.87,1960600.0,0.0,1.0,27.18082262377372,27.268760579321224,26.913011577333595,27.07689594903576,1960600.0
2011-06-30,32.78,33.39,32.63,33.0,1479200.0,0.0,1.0,26.20551075315596,26.69316668846484,26.085595359227547,26.381386664250964,1479200.0
2011-09-30,19.52,20.31,19.47,20.16,4126700.0,0.0,1.0,15.604989929884207,16.236544337907183,15.565018131908067,16.11662894397877,4126700.0
2011-12-31,21.22,22.35,21.22,22.03,1972500.0,0.0,1.0,16.96403106107289,17.867393695333607,16.96403106107289,17.611574188286326,1972500.0
2012-03-31,23.92,25.0,23.87,24.74,3719300.0,0.0,1.0,20.646821276677468,21.579035615256547,20.603663205446953,21.354613644857878,3719300.0
2012-06-30,29.79,31.39,29.79,30.43,8294800.0,0.0,1.0,25.7135788391397,27.094637118516122,25.7135788391397,26.26600215089027,8294800.0
2012-09-30,32.78,33.55,32.78,33.25,3565200.0,0.0,1.0,28.294431498724386,28.959065795674285,28.294431498724386,28.70011736829121,3565200.0
2012-12-31,30.15,30.59,29.86,30.17,5035300.0,0.0,1.0,30.15,30.59,29.86,30.17,5035300.0
2013-03-31,40.43,40.92,40.42,40.63,3415000.0,0.0,1.0,40.43,40.92,40.42,40.63,3415000.0
2013-06-30,36.23,36.47,35.4,36.06,16042800.0,0.0,1.0,36.23,36.47,35.4,36.06,16042800.0
2013-09-30,41.96,43.0,41.77,42.75,3834200.0,0.0,1.0,41.96,43.0,41.77,42.75,3834200.0
2013-12-31,47.25,47.98,47.18,47.71,1499800.0,0.0,1.0,47.25,47.98,47.18,47.71,1499800.0
2014-03-31,51.75,52.68,51.75,52.5,3919100.0,0.0,1.0,51.75,52.68,51.75,52.5,3919100.0
2014-06-30,55.62,56.83,55.521,56.38,3023600.0,0.0,1.0,55.62,56.83,55.521,56.38,3023600.0
2014-09-30,72.0,72.189,70.43,70.52,3417824.0,0.0,1.0,72.0,72.189,70.43,70.52,3417824.0
2014-12-31,74.54,74.915,73.3,73.39,1470208.0,0.0,1.0,74.54,74.915,73.3,73.39,1470208.0
2015-03-31,76.06,76.69,75.22,75.23,2111562.0,0.0,1.0,76.06,76.69,75.22,75.23,2111562.0
2015-06-30,91.58,91.58,90.31,90.72,4654572.0,0.0,1.0,91.58,91.58,90.31,90.72,4654572.0
2015-09-30,75.0,77.98,74.5,77.36,5818576.0,0.0,1.0,75.0,77.98,74.5,77.36,5818576.0
2015-12-31,67.95,68.86,67.6,67.63,2320243.0,0.0,1.0,67.95,68.86,67.6,67.63,2320243.0
2016-03-31,77.92,78.7,77.84,78.05,2312094.0,0.0,1.0,77.92,78.7,77.84,78.05,2312094.0
2016-06-30,77.17,77.5,76.21,77.01,2473825.0,0.0,1.0,77.17,77.5,76.21,77.01,2473825.0
2016-09-30,75.52,75.89,74.74,75.63,2572638.0,0.0,1.0,75.52,75.89,74.74,75.63,2572638.0
2016-12-31,73.85,74.26,72.855,74.02,1711055.0,0.0,1.0,73.85,74.26,72.855,74.02,1711055.0
2017-03-31,89.09,89.29,88.54,88.99,1709537.0,0.0,1.0,89.09,89.29,88.54,88.99,1709537.0
2017-06-30,87.23,87.79,87.095,87.2,1716638.0,0.0,1.0,87.23,87.79,87.095,87.2,1716638.0
2017-09-30,79.11,79.71,78.97,79.59,1452514.0,0.0,1.0,79.11,79.71,78.97,79.59,1452514.0
2017-12-31,88.48,89.06,87.78,87.84,1233601.0,0.0,1.0,88.48,89.06,87.78,87.84,1233601.0
2018-03-31,98.25,98.92,96.93,97.43,2093626.0,0.0,1.0,98.25,98.92,96.93,97.43,2093626.0
