Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,12.4,12.75,11.8,12.44,4302800.0,0.0,1.0,12.4,12.75,11.8,12.44,4302800.0
2009-06-30,14.53,14.98,14.35,14.7,3876800.0,0.0,1.0,14.53,14.98,14.35,14.7,3876800.0
2009-09-30,20.91,21.08,20.2,20.9,2831400.0,0.0,1.0,20.91,21.08,20.2,20.9,2831400.0
2009-12-31,24.49,24.75,24.25,24.25,1214400.0,0.0,1.0,24.49,24.75,24.25,24.25,1214400.0
2010-03-31,25.89,26.0,25.08,25.12,3183400.0,0.0,1.0,25.89,26.0,25.08,25.12,3183400.0
2010-06-30,19.93,20.46,19.76,19.9,3724400.0,0.0,1.0,19.93,20.46,19.76,19.9,3724400.0
2010-09-30,27.75,27.99,27.5,27.86,2794600.0,0.0,1.0,27.75,27.99,27.5,27.86,2794600.0
2010-12-31,32.19,32.19,31.64,31.88,1154000.0,0.0,1.0,32.19,32.19,31.64,31.88,1154000.0
2011-03-31,33.47,33.65,31.85,32.1,9312500.0,0.0,1.0,33.47,33.65,31.85,32.1,9312500.0
2011-06-30,32.97,33.33,32.855,33.07,2110300.0,0.0,1.0,32.97,33.33,32.855,33.07,2110300.0
2011-09-30,23.7,24.54,23.63,23.85,3977100.0,0.0,1.0,23.7,24.54,23.63,23.85,3977100.0
2011-12-31,30.67,30.95,30.27,30.48,1130200.0,0.0,1.0,30.67,30.95,30.27,30.48,1130200.0
2012-03-31,34.32,34.82,34.03,34.65,1603800.0,0.0,1.0,34.32,34.82,34.03,34.65,1603800.0
2012-06-30,25.99,26.18,25.8,25.94,4651700.0,0.0,1.0,25.99,26.18,25.8,25.94,4651700.0
2012-09-30,28.21,28.38,28.04,28.3,1741200.0,0.0,1.0,28.21,28.38,28.04,28.3,1741200.0
2012-12-31,36.57,37.61,36.41,37.54,2183700.0,0.0,1.0,36.57,37.61,36.41,37.54,2183700.0
2013-03-31,41.14,41.72,41.04,41.7,1658000.0,0.0,1.0,41.14,41.72,41.04,41.7,1658000.0
2013-06-30,46.6,46.89,46.16,46.16,2662400.0,0.0,1.0,46.6,46.89,46.16,46.16,2662400.0
2013-09-30,48.78,48.81,48.31,48.47,1871900.0,0.0,1.0,48.78,48.81,48.31,48.47,1871900.0
2013-12-31,47.1,47.235,46.68,47.02,1165000.0,0.0,1.0,47.1,47.235,46.68,47.02,1165000.0
2014-03-31,45.81,47.2,45.75,46.8,2346400.0,0.0,1.0,45.81,47.2,45.75,46.8,2346400.0
2014-06-30,51.6,52.16,51.53,52.01,1477300.0,0.0,1.0,51.6,52.16,51.53,52.01,1477300.0
2014-09-30,47.05,47.05,46.44,46.45,2295837.0,0.0,1.0,47.05,47.05,46.44,46.45,2295837.0
2014-12-31,67.52,67.95,66.5096,66.58,1620659.0,0.0,1.0,67.52,67.95,66.5096,66.58,1620659.0
2015-03-31,69.19,69.6,68.7511,69.01,3272650.0,0.0,1.0,69.19,69.6,68.7511,69.01,3272650.0
2015-06-30,66.82,67.19,65.96,66.21,1769418.0,0.0,1.0,66.82,67.19,65.96,66.21,1769418.0
2015-09-30,59.1,59.82,58.76,59.32,2280704.0,0.0,1.0,59.1,59.82,58.76,59.32,2280704.0
2015-12-31,54.28,54.915,53.97,53.97,1689020.0,0.0,1.0,54.28,54.915,53.97,53.97,1689020.0
2016-03-31,50.81,51.37,50.28,51.1,2538105.0,0.0,1.0,50.81,51.37,50.28,51.1,2538105.0
2016-06-30,47.91,49.13,47.38,49.03,3445983.0,0.0,1.0,47.91,49.13,47.38,49.03,3445983.0
2016-09-30,52.29,53.635,51.85,53.35,2289997.0,0.0,1.0,52.29,53.635,51.85,53.35,2289997.0
2016-12-31,64.2,64.58,63.52,64.39,1811519.0,0.0,1.0,64.2,64.58,63.52,64.39,1811519.0
2017-03-31,59.8,59.96,58.13,59.22,3993208.0,0.0,1.0,59.8,59.96,58.13,59.22,3993208.0
2017-06-30,62.46,63.455,62.25,63.06,2029198.0,0.0,1.0,62.46,63.455,62.25,63.06,2029198.0
2017-09-30,76.1,76.4,75.55,75.81,1399140.0,0.0,1.0,76.1,76.4,75.55,75.81,1399140.0
2017-12-31,65.14,65.34,64.13,64.13,1423990.0,0.0,1.0,65.14,65.34,64.13,64.13,1423990.0
2018-03-31,60.59,61.11,59.59,59.75,3134655.0,0.0,1.0,60.59,61.11,59.59,59.75,3134655.0
