Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,9.11,9.11,7.14,7.51,21895800.0,0.0,1.0,8.627524648257,8.627524648257,6.7618579570313,7.1122623609671,21895800.0
2009-06-30,9.67,9.97,9.55,9.69,8662300.0,0.0,1.0,9.1965889285074,9.4819019252553,9.0824637298083,9.2156097949573,8662300.0
2009-09-30,14.78,14.88,14.07,14.25,6577100.0,0.0,1.0,14.113213923847,14.208702516024,13.435244919386,13.607124385305,6577100.0
2009-12-31,12.93,12.94,12.74,12.77,1600700.0,0.0,1.0,12.382776357358,12.392353137217,12.200817540042,12.229547879618,1600700.0
2010-03-31,17.92,18.04,17.17,17.21,7739900.0,0.0,1.0,17.208034945321,17.323267322187,16.487832589909,16.526243382197,7739900.0
2010-06-30,14.01,14.34,13.855,13.91,5049100.0,0.0,1.0,13.479364315858,13.796865402527,13.330235017574,13.383151865352,5049100.0
2010-09-30,15.37,15.55,15.18,15.38,2899200.0,0.0,1.0,14.83065495574,15.004338618201,14.647322200919,14.840304048099,2899200.0
2010-12-31,18.61,18.81,18.59,18.75,2393400.0,0.0,1.0,18.002135624399,18.195602960502,17.982788890789,18.137562759671,2393400.0
2011-03-31,18.27,18.41,18.06,18.12,4895300.0,0.0,1.0,17.709549814869,17.845255177435,17.50599177102,17.564151212119,4895300.0
2011-06-30,18.47,18.64,18.1,18.15,6361500.0,0.0,1.0,17.940830323066,18.105959784621,17.581430906741,17.629998395433,6361500.0
2011-09-30,14.06,14.06,13.52,13.54,5319100.0,0.0,1.0,13.686579710192,13.686579710192,13.16092159899,13.180390417923,5319100.0
2011-12-31,19.83,19.98,19.65,19.65,1887300.0,0.0,1.0,19.356328712284,19.50274572221,19.180628300372,19.180628300372,1887300.0
2012-03-31,27.26,27.44,26.88,27.18,6942300.0,0.0,1.0,26.655533465855,26.831542124103,26.283959631775,26.577307395522,6942300.0
2012-06-30,29.98,30.93,29.62,30.91,8093700.0,0.0,1.0,29.362655488002,30.293093203599,29.010068564197,30.273505041166,8093700.0
2012-09-30,35.01,35.18,34.68,34.77,3632600.0,0.0,1.0,34.332661534644,34.499372544667,34.0090460446,34.097304814612,3632600.0
2012-12-31,37.59,38.72,37.25,38.67,3005700.0,0.0,1.0,36.904025946067,38.013404752107,36.570230553099,37.964317194318,3005700.0
2013-03-31,41.84,41.85,41.1075,41.48,3974200.0,0.0,1.0,41.115964962356,41.125791913829,40.396140766971,40.762194709334,3974200.0
2013-06-30,37.06,37.08,36.0,36.04,8860800.0,0.0,1.0,36.456236870542,36.475911040466,35.413505864531,35.45285420438,8860800.0
2013-09-30,35.24,35.78,35.02,35.4,4351100.0,0.0,1.0,34.707843095629,35.239688591419,34.491165301048,34.865426946234,4351100.0
2013-12-31,39.74,39.8,39.335,39.56,2742900.0,0.0,1.0,39.186126210942,39.245289964658,38.786770873362,39.008634949796,2742900.0
2014-03-31,39.75,39.95,39.14,39.62,2935700.0,0.0,1.0,39.236688795894,39.434106098011,38.634566024435,39.108367549517,2935700.0
2014-06-30,41.46,42.43,41.36,41.98,3233600.0,0.0,1.0,40.967651279859,41.926132267352,40.868838806921,41.481476139133,3233600.0
2014-09-30,39.39,39.51,38.8,38.83,3202204.0,0.0,1.0,38.960336108253,39.079027155041,38.376771794877,38.406444556574,3202204.0
2014-12-31,44.38,45.34,44.34,44.81,2639616.0,0.0,1.0,43.940088566124,44.890572681119,43.900485061332,44.365826242632,2639616.0
2015-03-31,51.36,52.17,51.11,51.81,3244128.0,0.0,1.0,50.896161300567,51.698846087433,50.648419082398,51.34209729327,3244128.0
2015-06-30,51.32,51.86,51.02,51.04,3149261.0,0.0,1.0,50.898700876612,51.434267877262,50.601163654028,50.620999468867,3149261.0
2015-09-30,47.69,48.25,46.96,48.13,3240376.0,0.0,1.0,47.335648333722,47.89148735798,46.611072462813,47.772378995639,3240376.0
2015-12-31,49.22,49.63,48.89,48.91,1589089.0,0.0,1.0,48.89199070614,49.299258406049,48.564189874506,48.584056591575,1589089.0
2016-03-31,47.67,48.44,47.67,48.36,2109232.0,0.0,1.0,47.396897511646,48.16248616455,47.396897511646,48.082944486326,2109232.0
2016-06-30,45.88,46.28,45.27,46.1,2313082.0,0.0,1.0,45.655811065167,46.053856497296,45.048791781171,45.874736052838,2313082.0
2016-09-30,42.42,42.58,42.05,42.34,1888329.0,0.0,1.0,42.24862851373,42.407982133772,41.880123267382,42.168951703708,1888329.0
2016-12-31,42.97,43.052,42.585,42.93,2367968.0,0.0,1.0,42.837068251587,42.918814576852,42.453259285405,42.797191995361,2367968.0
2017-03-31,51.2,51.38,51.015,51.19,1208994.0,0.0,1.0,51.085112430476,51.264708528864,50.900527551577,51.075134869454,1208994.0
2017-06-30,52.9,53.79,52.87,53.32,1802756.0,0.0,1.0,52.823104772702,53.71181107228,52.793148380581,53.242494262391,1802756.0
2017-09-30,52.59,53.56,52.49,52.8,3236544.0,0.0,1.0,52.552642514651,53.521953471852,52.452713549991,52.762493340437,3236544.0
2017-12-31,64.04,64.37,63.1,63.24,2123197.0,0.0,1.0,64.04,64.37,63.1,63.24,2123197.0
2018-03-31,59.39,59.4,58.25,58.67,2924929.0,0.0,1.0,59.39,59.4,58.25,58.67,2924929.0
