Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,29.11,30.98,28.79,30.83,1401300.0,0.0,1.0,20.130728223337,21.423907947749,19.909435436272,21.320176953813,1401300.0
2009-06-30,35.3,37.05,35.3,36.71,479700.0,0.0,1.0,24.855794757632,26.088022543067,24.855794757632,25.848618287611,479700.0
2009-09-30,45.91,46.03,44.48,45.13,292400.0,0.0,1.0,32.874600041483,32.960527987573,31.850625350581,32.3160683919,292400.0
2009-12-31,49.1,49.53,48.24,48.28,177600.0,0.0,1.0,35.672210570717,35.984614858811,35.047401994529,35.076462858538,177600.0
2010-03-31,53.22,53.22,51.75,51.79,546200.0,0.0,1.0,39.158518542087,39.158518542087,38.076913463979,38.106344894676,546200.0
2010-06-30,51.5,52.36,51.2,51.47,468900.0,0.0,1.0,38.339150723419,38.979377318023,38.115815864836,38.31681723756,468900.0
2010-09-30,58.28,59.09,57.29,58.28,490700.0,0.0,1.0,43.887414132695,44.497379909076,43.141900406008,43.887414132695,490700.0
2010-12-31,63.88,64.15,63.48,63.49,146000.0,0.0,1.0,48.593457240989,48.798845992634,48.289177608923,48.296784599724,146000.0
2011-03-31,63.16,64.31,63.02,64.2,451000.0,0.0,1.0,48.534150316267,49.417846846724,48.426569869081,49.333319352507,451000.0
2011-06-30,67.23,67.81,67.045,67.47,319000.0,0.0,1.0,52.179026306765,52.629180036617,52.035442789485,52.365296815669,319000.0
2011-09-30,60.9,61.79,60.09,60.22,558800.0,0.0,1.0,47.68894283008,48.385874835314,47.05465639835,47.156455455294,558800.0
2011-12-31,62.97,63.62,62.54,62.55,178300.0,0.0,1.0,49.837646667483,50.352089582107,49.497322893193,49.505237399572,178300.0
2012-03-31,66.22,67.11,66.0,67.03,641400.0,0.0,1.0,52.979346068044,53.69139103936,52.803334951539,53.627386996995,641400.0
2012-06-30,67.94,68.24,67.55,68.24,225700.0,0.0,1.0,54.903638751611,55.146074601265,54.588472147061,55.146074601265,225700.0
2012-09-30,65.3,65.62,65.09,65.31,276800.0,0.0,1.0,53.284047095272,53.545163405693,53.112689516558,53.292206979973,276800.0
2012-12-31,64.26,64.8,64.06,64.75,153400.0,0.0,1.0,52.981535175989,53.426758160662,52.816637774259,53.385533810229,153400.0
2013-03-31,69.11,69.5,68.795,69.06,280200.0,0.0,1.0,57.588238625302,57.913219280256,57.325754250147,57.546574438769,280200.0
2013-06-30,67.04,68.3,66.65,67.77,1027100.0,0.0,1.0,56.418777958154,57.47915475152,56.090566093541,57.033123243199,1027100.0
2013-09-30,62.72,63.15,62.03,62.5,468500.0,0.0,1.0,53.324506626504,53.690092370277,52.73786903766,53.137462757598,468500.0
2013-12-31,61.2,61.43,60.57,60.74,338000.0,0.0,1.0,52.610801635518,52.808521968462,52.069219853976,52.21536096963,338000.0
2014-03-31,67.57,68.66,66.99,68.27,467900.0,0.0,1.0,58.777291222995,59.725452351204,58.272765118077,59.386202039276,467900.0
2014-06-30,73.33,73.45,72.69,73.05,545000.0,0.0,1.0,64.478941320877,64.584457111938,63.916190435218,64.232737808401,545000.0
2014-09-30,66.08,66.25,65.24,65.65,1075119.0,0.0,1.0,58.689318596948,58.840305040069,57.943267936817,58.307411711404,1075119.0
2014-12-31,76.24,76.65,74.61,74.68,264799.0,0.0,1.0,68.455178281294,68.823313421579,66.991616626015,67.054468967039,264799.0
2015-03-31,77.59,78.25,77.0,77.27,407712.0,0.0,1.0,70.338801902315,70.937121392656,69.803940539738,70.048707603968,407712.0
2015-06-30,73.69,73.69,72.72,72.81,565067.0,0.0,1.0,67.491050388688,67.491050388688,66.602648721202,66.685077741897,565067.0
2015-09-30,81.46,82.13,80.9301,81.87,666385.0,0.0,1.0,75.365608008607,75.985482270402,74.87535223051,75.744934049407,666385.0
2015-12-31,92.07,92.74,90.8,90.81,504268.0,0.0,1.0,85.97397562539,86.599614418363,84.788063286471,84.797401178904,504268.0
2016-03-31,101.22,102.42,100.64,102.21,571706.0,0.0,1.0,95.386062998431,96.516899548501,94.83949199923,96.319003152239,571706.0
2016-06-30,105.36,106.43,104.57,106.4,1340384.0,0.0,1.0,100.10775849929,101.1244185372,99.357140340455,101.09591405015,1340384.0
2016-09-30,96.59,96.902,93.94,93.99,800437.0,0.0,1.0,92.471627552895,92.770324600172,89.934617375701,89.982485492252,800437.0
2016-12-31,96.77,98.35,96.1,97.92,847758.0,0.0,1.0,93.517048293377,95.043936133653,92.869570538323,94.628390708768,847758.0
2017-03-31,101.54,102.59,101.215,101.74,534700.0,0.0,1.0,99.025526601626,100.04952505476,98.708574699464,99.220573926033,534700.0
2017-06-30,105.44,106.09,104.72,105.38,671598.0,0.0,1.0,103.69877136245,104.33803730882,102.99066139108,103.63976219817,671598.0
2017-09-30,105.75,106.88,105.63,106.88,518832.0,0.0,1.0,104.91002465078,106.03104902766,104.7909778143,106.03104902766,518832.0
2017-12-31,100.86,101.07,100.09,100.56,461242.0,0.0,1.0,100.86,101.07,100.09,100.56,461242.0
2018-03-31,87.81,89.44,86.96,88.2,773497.0,0.0,1.0,87.81,89.44,86.96,88.2,773497.0
