Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,29.83,30.45,28.98,29.87,1039800.0,0.0,1.0,29.83,30.45,28.98,29.87,1039800.0
2009-06-30,36.7,37.24,35.55,35.68,636700.0,0.0,1.0,36.7,37.24,35.55,35.68,636700.0
2009-09-30,47.35,48.36,46.34,47.69,2368000.0,0.0,1.0,47.35,48.36,46.34,47.69,2368000.0
2009-12-31,48.63,48.63,47.6,47.6,398900.0,0.0,1.0,48.63,48.63,47.6,47.6,398900.0
2010-03-31,54.15,55.11,54.03,54.38,631800.0,0.0,1.0,54.15,55.11,54.03,54.38,631800.0
2010-06-30,46.53,47.165,45.64,45.76,715800.0,0.0,1.0,46.53,47.165,45.64,45.76,715800.0
2010-09-30,53.44,54.94,52.82,53.3,923300.0,0.0,1.0,53.44,54.94,52.82,53.3,923300.0
2010-12-31,57.5,57.65,56.72,56.76,308800.0,0.0,1.0,57.5,57.65,56.72,56.76,308800.0
2011-03-31,60.2,61.22,60.17,61.15,369200.0,0.0,1.0,60.2,61.22,60.17,61.15,369200.0
2011-06-30,59.82,60.56,59.71,59.99,379600.0,0.0,1.0,59.82,60.56,59.71,59.99,379600.0
2011-09-30,44.21,44.22,42.88,42.91,708900.0,0.0,1.0,44.21,44.22,42.88,42.91,708900.0
2011-12-31,60.76,60.93,59.83,59.85,384100.0,0.0,1.0,60.76,60.93,59.83,59.85,384100.0
2012-03-31,66.94,67.2,66.19,66.51,540100.0,0.0,1.0,66.94,67.2,66.19,66.51,540100.0
2012-06-30,68.52,69.92,67.8,69.83,442200.0,0.0,1.0,68.52,69.92,67.8,69.83,442200.0
2012-09-30,78.87,80.02,77.73,80.02,800000.0,0.0,1.0,78.87,80.02,77.73,80.02,800000.0
2012-12-31,89.41,90.51,89.08,90.47,862900.0,0.0,1.0,89.41,90.51,89.08,90.47,862900.0
2013-03-31,112.67,114.08,112.35,113.12,498200.0,0.0,1.0,112.67,114.08,112.35,113.12,498200.0
2013-06-30,113.24,113.53,111.04,112.49,755700.0,0.0,1.0,113.24,113.53,111.04,112.49,755700.0
2013-09-30,128.44,130.6,128.44,130.25,399400.0,0.0,1.0,128.44,130.6,128.44,130.25,399400.0
2013-12-31,147.91,149.01,147.25,148.9,533600.0,0.0,1.0,147.91,149.01,147.25,148.9,533600.0
2014-03-31,135.51,136.37,133.58,135.98,1092200.0,0.0,1.0,135.51,136.37,133.58,135.98,1092200.0
2014-06-30,136.7,138.39,135.5,138.34,658200.0,0.0,1.0,136.7,138.39,135.5,138.34,658200.0
2014-09-30,136.33,136.49,134.59,134.82,657307.0,0.0,1.0,136.33,136.49,134.59,134.82,657307.0
2014-12-31,155.68,157.73,155.13,155.36,399511.0,0.0,1.0,155.68,157.73,155.13,155.36,399511.0
2015-03-31,183.88,188.29,183.83,185.75,649353.0,0.0,1.0,183.88,188.29,183.83,185.75,649353.0
2015-06-30,189.97,192.49,189.43,190.9,473358.0,0.0,1.0,189.97,192.49,189.43,190.9,473358.0
2015-09-30,178.04,182.32,177.98,181.79,1350095.0,0.0,1.0,178.04,182.32,177.98,181.79,1350095.0
2015-12-31,189.29,191.1,188.78,189.39,404941.0,0.0,1.0,189.29,191.1,188.78,189.39,404941.0
2016-03-31,190.9,192.075,189.34,190.9,498284.0,0.0,1.0,190.9,192.075,189.34,190.9,498284.0
2016-06-30,188.95,190.36,186.515,189.76,554867.0,0.0,1.0,188.95,190.36,186.515,189.76,554867.0
2016-09-30,200.03,201.12,198.22,200.34,869101.0,0.0,1.0,200.03,201.12,198.22,200.34,869101.0
2016-12-31,203.16,203.16,198.45,199.68,440418.0,0.0,1.0,203.16,203.16,198.45,199.68,440418.0
2017-03-31,228.87,230.29,227.67,229.49,401244.0,0.0,1.0,228.87,230.29,227.67,229.49,401244.0
2017-06-30,240.51,242.85,239.83,241.69,324063.0,0.0,1.0,240.51,242.85,239.83,241.69,324063.0
2017-09-30,247.39,248.63,245.81,247.51,756333.0,0.0,1.0,247.39,248.63,245.81,247.51,756333.0
2017-12-31,276.56,278.48,275.8,275.9,310533.0,0.0,1.0,276.56,278.48,275.8,275.9,310533.0
2018-03-31,235.36,235.36,226.62,227.9,1187275.0,0.0,1.0,235.36,235.36,226.62,227.9,1187275.0
