Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,26.81,27.08,26.52,26.75,21897300.0,0.0,1.0,19.489342488831,19.685617105466,19.278529011705,19.445725907357,21897300.0
2009-06-30,27.85,28.05,27.29,27.96,21717800.0,0.0,1.0,20.534800331043,20.682267478842,20.121892317205,20.615907262332,21717800.0
2009-09-30,31.97,31.99,31.15,31.63,20409300.0,0.0,1.0,23.863360250772,23.878288846487,23.251287826448,23.609574123614,20409300.0
2009-12-31,36.8,37.07,36.5,36.54,7064000.0,0.0,1.0,27.750193513463,27.953795476741,27.523969109821,27.55413236364,7064000.0
2010-03-31,37.49,37.59,37.06,37.35,12966400.0,0.0,1.0,28.561800142489,28.6379852589,28.234204141921,28.455140979513,12966400.0
2010-06-30,35.32,35.34,34.75,34.97,21201100.0,0.0,1.0,27.201906741849,27.21730986005,26.762917873139,26.932352173343,21201100.0
2010-09-30,37.21,37.58,36.64,36.81,13696000.0,0.0,1.0,28.958159902576,29.246107206095,28.514565407965,28.646865520393,13696000.0
2010-12-31,35.96,36.25,35.93,36.04,5491800.0,0.0,1.0,28.279947747288,28.508011842024,28.256354909902,28.342861980319,5491800.0
2011-03-31,33.07,33.38,33.0,33.01,12613000.0,0.0,1.0,26.30911806989,26.555741190594,26.253428978119,26.261384562657,12613000.0
2011-06-30,35.22,35.465,35.1,35.29,12751200.0,0.0,1.0,28.320939708754,28.517947949204,28.224445876697,28.377227777454,12751200.0
2011-09-30,32.4,33.32,32.35,32.7,24230200.0,0.0,1.0,26.365252335597,27.113895303151,26.324565217795,26.609375042408,24230200.0
2011-12-31,37.59,37.87,37.47,37.7,7859900.0,0.0,1.0,30.955742970478,31.1863257859,30.856921763868,31.046329076537,7859900.0
2012-03-31,38.14,38.42,38.05,38.4,14116700.0,0.0,1.0,31.753282771157,31.986395492078,31.678353682289,31.969744583441,14116700.0
2012-06-30,40.89,41.75,40.89,41.75,23675500.0,0.0,1.0,34.41512564465,35.138945846519,34.41512564465,35.138945846519,23675500.0
2012-09-30,45.05,45.21,44.78,45.095,12497300.0,0.0,1.0,38.272975979891,38.408906638199,38.043592993996,38.31120647754,12497300.0
2012-12-31,40.28,40.97,40.02,40.94,14317400.0,0.0,1.0,34.555351729386,35.147287992874,34.332303282275,35.121551633592,14317400.0
2013-03-31,44.05,44.305,43.96,44.2,16641700.0,0.0,1.0,38.153974672499,38.374843311352,38.076021035256,38.283897401236,16641700.0
2013-06-30,47.46,47.48,46.445,46.45,16339800.0,0.0,1.0,41.476575320061,41.494053860019,40.589539417198,40.593909052187,16339800.0
2013-09-30,47.64,47.87,47.29,47.609,16244000.0,0.0,1.0,42.008021559771,42.210831067721,41.699398395499,41.980686365221,16244000.0
2013-12-31,49.74,50.08,49.53,50.05,8474900.0,0.0,1.0,44.259145782157,44.561681157428,44.072285697432,44.53498685961,8474900.0
2014-03-31,56.09,56.84,56.04,56.77,14181200.0,0.0,1.0,50.303060492291,50.97568119775,50.258219111927,50.91290326524,14181200.0
2014-06-30,57.61,58.2,57.53,57.85,8735000.0,0.0,1.0,52.05617233049,52.589294039828,51.983884641088,52.273035398695,8735000.0
2014-09-30,59.4,59.98,59.25,59.28,9246493.0,0.0,1.0,54.066560930399,54.594483579215,53.930029210878,53.957335554782,9246493.0
2014-12-31,57.27,57.85,56.73,56.79,7483648.0,0.0,1.0,52.523117468556,53.055043575274,52.027875920922,52.082902759548,7483648.0
2015-03-31,58.19,58.31,57.48,57.48,10458436.0,0.0,1.0,53.794405287207,53.905340647827,53.138037736873,53.138037736873,10458436.0
2015-06-30,57.71,57.71,56.705,56.93,11847325.0,0.0,1.0,53.758197348889,53.758197348889,52.822016646487,53.031609341054,11847325.0
2015-09-30,49.4,49.54,48.845,49.39,12587026.0,0.0,1.0,46.414778569203,46.546318427497,45.893316988112,46.40538286504,12587026.0
2015-12-31,52.8,53.2858,52.66,52.82,8292947.0,0.0,1.0,50.046907366931,50.507376829031,49.914207233761,50.065864528813,8292947.0
2016-03-31,53.08,53.48,52.76,52.91,8334945.0,0.0,1.0,50.747338864686,51.129760408505,50.441401629632,50.584809708564,8334945.0
2016-06-30,57.15,57.68,56.91,57.61,9277691.0,0.0,1.0,55.086414268254,55.597276902763,54.85508024508,55.529804479337,9277691.0
2016-09-30,61.89,62.73,61.86,62.41,13600560.0,0.0,1.0,60.09922531207,60.914920081211,60.070093356029,60.604179216776,13600560.0
2016-12-31,58.78,58.95,58.56,58.87,10772542.0,0.0,1.0,57.513380360604,57.679717119047,57.298121026148,57.601440997427,10772542.0
2017-03-31,63.26,63.63,63.25,63.54,7614025.0,0.0,1.0,62.350335241348,62.715014723474,62.340479039128,62.626308903498,7614025.0
2017-06-30,64.49,64.73,64.0,64.09,8169972.0,0.0,1.0,64.034822045352,64.273128097312,63.548280522601,63.637645292086,8169972.0
2017-09-30,64.29,64.53,63.33,64.03,11412426.0,0.0,1.0,64.29,64.53,63.33,64.03,11412426.0
2017-12-31,56.83,56.99,56.27,56.27,8403394.0,0.0,1.0,56.83,56.99,56.27,56.27,8403394.0
2018-03-31,53.99,54.555,53.47,53.75,15152690.0,0.0,1.0,53.99,54.555,53.47,53.75,15152690.0
